,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,בערך מ  5 30 אחרי הצהריים אתה מושהה ,As of  5:30 this afternoon you're suspended ,About 5:30 in the afternoon you are suspended,80
1,האם זה ברור ,Is that clear ,Is it clear,83
2,על מה לעזאזל אתה מדבר ג'ייק הא ,What the hell are you talkin' about Jake ,What the hell are you talking about Jake Ha,95
3,אתה לא אחד מהחברה האלה ,You're not one of these guys ,You're not one of those guys,96
4,אני לא יכול לחפות עליך יותר ליאו ,I can't cover for you any more Leo ,I can not cover you anymore Leo,80
5,ג'ייק  בוא לכאן זה אני ג'ייק ,Jake  Come on This is me Jake ,Jake Come here it's me Jake,76
6,העבודה הזאת זה כל מה שיש לי ,This job is all I got ,This job is all I have,84
7,הבאת את זה על עצמך ,You brought this on yourself ,You brought it on yourself,85
8,אני אקח את המגן והאקדח שלך ,I'll take your shield and your piece ,I'll take your shield and gun,77
9,ג'ייק  ליאו ,Jake  Leo ,Jake Leo,100
10,הוא קיבל את זה כמו גבר לא ,Took it like a man didn't he ,He accepted it like a man did not,72
11,מרדוק  אתה אידיוט ,Murdoch  You're an asshole ,Murdoch you're an idiot,79
12,אז מה כל כך מצחיק ,So what's so goddamn funny ,So what's so funny,82
13,המעיל שלך ,Your jacket ,Your coat,70
14,שיט מה זה היה ,Shit! What was that ,Sailing what it was,70
15,תבדוק את זה ,Check it out ,check this out,69
16,מיטשל!,Mitchell!,Mitchell!,100
17,תבדוק את זה ,Check it out ,check this out,69
18,רוי!,Roy!,Roy!,100
19,רוי!,Roy!,Roy!,100
20,מה קורה שם בחוץ ,- What's goin' on out there ,What's going on out there,98
21,הוא לעולם לא יצליח לעבור את השו  אני יוצא החוצה ,He'd never get through the secur  - I'm gettin' the fuck out ,He'll never make it through the show I'm going out,66
22,אתה מי שהוא רוצה הוא חושב שאני מת ,You're the one he's after He thinks I'm dead!,You're who he wants he thinks I'm dead,68
23,מה זה משנה ,- What do we do ,What does it matter,62
24,מה נעשה ,- What do we do ,what should we do,80
25,רק לחכות לו ועוד איך!,Just wait for him ,Just wait for him and how!,81
26,זה כל מה שאנחנו יכולים לעשות ,- Damn right! It's all we can do ,That's all we can do,69
27,הוא עדיין לא מכיר את הבית או באיזה חדר אנחנו נמצאים ,He still doesn't know the house or what room we're in ,He still does not know the house or what room we are in,89
28,באיזה חדר אנחנו ,"""He doesn't know what room we're in"" ",What room are we in?,64
29,יש עדיין אור באולם הוא מטפל בתיבת הנתיכים ,The light's still on in the hall! He's playin' with the fuse box!,There is still light in the hall he is handling in the fuse box,75
30,הוא בתוך הבית המחורבן שלך ,- He's inside your fucking house!,He's inside your damn house,84
31,שתוק ,- Shut up!,Shut,73
32,הי קח את המסדרון הזה ,Hey take this hallway ,Hi Take this hallway,93
33,לעזאזל ,Damn!,damn it,73
34,היי אדי!,Hey Eddie!,Hey Eddie!,100
35,הוא מתכוון לשחק איתנו ,He's playin' games with us ,He's going to play with us,75
36,גלגר!,Gallagher!,Gallagher!,100
37,ווריק!,Varrick!,Warrick!,86
38,הנה הלכו עוד שניים מהאנשים הקשוחים שלך ,There goes two more of your tough guys ,Here went two more of your tough people,70
39,אולי הוא מחפש אותנו ,Maybe he's gonna come lookin' for us ,Maybe he's looking for us,80
40,אני אראה לו עם מי לעזאזל הוא מתעסק ,I'll show him who the fuck he's dealin' with ,I'll show him who the hell he's messing with,76
41,אתה נראה קצת עצבני ,You look a little nervous ,You look a little nervous,100
42,ישו המשיח אתה זה כל הגיבוי שאני הולך לקבל ,Jesus Christ Are you the only backup I'm gonna get ,Jesus Messiah You are all the backup I'm going to get,72
43,הייתי רק מייל בהמשך הדרך ,I was just a mile down the road ,I was just an email down the road,81
44,אתה קפטן ווליגר ,- Are you Captain Wallenger ,You're Captain Woliger,72
45,אנחנו לא יכולים אלה אם אתה מוצא משהו ,We can't unless you find something ,We can not these if you find something,81
46,בן זו  מסוק!,Son of a  ! A helicopter! I'm impressed ,Son this is a helicopter!,64
47,גם אני לנו אין כאלה ,So am I We don't have any ,I don't have any either,67
48,קוצב הלב שלי  קוצב הלב ,My pace  Pacemaker!,My pacemaker My pacemaker,81
49,המפתח איפה המפתח ,The key Where's the key ,The key is where the key is,84
50,אדי  עזור לי ,- Eddie  help me ,Eddie help me,100
51,ניק קודם המפתח ,- Nick the key first ,Nick first the key,100
52,המפתח  בתוך ,Key  inside ,The key inside,83
