,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,כן תנו לו את הסיגריות שלו ,Yes Give him his cigarettes ,Yes give him his cigarettes,100
1,לא הניקוטין יהרוג אותך מר בונד ,It won't be the nicotine that kills you Mr Bond ,No nicotine will kill you Mr. Bond,70
2,כל השומרים לחדר הבקרה ,Armed guards to control room ,All guards to the control room,83
3,סגרו את הלוע ,- Close the crater ,Close the pharynx,73
4,אני מצפה בכליון עיניים לחסל אותך בעצמי מר בונד ,I shall look forward personally to exterminating you Mr Bond ,I look forward to eliminating you myself Mr. Bond,80
5,סגרו את המגופים ,- Close the crater ,Close the valves,62
6,יירוט יתרחש בעוד שמונה דקות ,Interception takes place in eight minutes ,Interception will take place in eight minutes,93
7,בוא איתי מר בונד ,- Come with me Mr Bond ,"Come with me, Mr. Bond",100
8,-ציפור 1 לבסיס ,- Bird 1 to base ,-Bird 1 to base,100
9,ננעלנו על המטרה ,Locked on target ,We locked on to the goal,65
10,אוסאטו!,- Osato ,Osato!,100
11,-כן מספר אחת ,- Yes Number One ,- Yes number one,100
12,בסיס קורא לציפור 1 ,Base calling Bird 1 ,Base calling the bird 1,90
13,שבע דקות ליירוט ,Seven minutes to interception ,Seven minutes for interception,88
14,קיבלתי בסיס אחת ,Roger Base One ,I got one base,64
15,יוסטון כאן הוואי ,Houston this is Hawaii ,Houston here is Hawaii,77
16,יש עצם בלתי מזוהה על המסך ,We have an unidentified object on scope ,There is an unidentified object on the screen,71
17,חמשו את כל כלי הנשק ,Arm all weapons ,Arm all weapons,100
18,היירוט יתרחש בעוד שש דקות ,Interception will occur in six minutes ,The interception will take place in six minutes,80
19,זה מחיר הכישלון מר בונד ,This is the price of failure Mr Bond ,That's the price of Mr. Bond's failure,82
20,בוא ,Come on ,Come on,100
21,להתראות מר בונד ,Goodbye Mr Bond ,Goodbye Mr. Bond,100
22,יש כפתור הפצצה בחדר הבקרה ,There's an exploder button in the control room ,There is a bomb button in the control room,77
23,פנו את חדר הבקרה!,Control room technicians ,Clear the control room!,65
24,פנו את חדר הבקרה!,Control room technicians ,Clear the control room!,65
25,טכנאי חדר הבקרה ,Control room technicians ,Control room technician,98
26,חייבת להיות עוד דרך להגיע לשם ,There must be another way up there ,There must be another way to get there,89
27,חפה עלי עד שאגיע למדרגות ,Give me cover till I get to the staircase ,Cover me until I get to the stairs,77
28,סוגרים על החללית שלנו במהירות ,Closing fast on our vehicle ,Closing on our spacecraft quickly,63
29,כל היחידות להתכונן למלת צופן ,All units stand by for codeword ,All units prepare for a code word,62
30,האויב!,The enemy!,The enemy!,100
31,כל היחידות לחזור לכוננות שגרה ,All units will return to first alert ,All units return to routine alert,72
32,טייגר עשינו את זה ,Tiger we've done it ,Tiger we did it,76
33,בעניין ירח הדבש  למה לא ,Now  about that honeymoon Why not ,As for the honeymoon why not,77
34,אבל לא ייתנו לך להישאר ,But they'll never let you stay ,But they will not let you stay,77
35,לעולם לא ימצאו אותנו ,But they'll never find us ,They will never find us,75
36,-תגידי לו לרדת לדווח ,- Tell him to come below and report ,-Tell him down to report,79
37,בואי לכאן,Come here ,come here,100
38,אל תשכחי את הצ'קי ,Don't forget the checkie ,Do not forget the check,89
39,אי אפשר להפיק מחזה בלי הצ'קי ,Can't produce plays without checkie ,It is impossible to produce a play without the check,74
40,אתה יכול לסמוך עליי איש צעיר ומלוכלך שכמוך ,You can count on me you dirty young man ,"You can trust me, a dirty young man like you",78
41,ביי ביי עיט זקנה,Bye-bye Old buzzard ,Bye bye an old eagle,67
42,יקירתי אחוז בי גע בי,Darling Hold me Touch me ,"My dear, hold on to me",71
43,לא במסדרון ,Not in the hall ,Not in the hallway,91
44,אני יודע שהיא כאן אני תוהה איפה היא מתחבאת איפה את,I know she's in here I wonder where she's hiding Where are you ,I know she's here I wonder where she's hiding where you are,98
45,איפה את אישה שטן,Where are you devil woman ,Where are the devil woman,84
46,הנה אני בא מוכנה או לא,Here I come ready or not ,Here I come ready or not,100
47,הנה את סטוץ קטן שכמוך ,There you are you little flirt ,Here's the little flick like you,65
48,מה קרה אבא לא רוצה לשחק עם התינוקת,What's the matter Papa no want to play with baby ,What happened Dad does not want to play with the baby,75
49,אני חושב שהצוואר של אבא שבור איזה רכרוכי,- I think Papa's neck is broken - What a sissy ,I think Dad's neck is broken,69
50,מיאו,Meow ,meow,100
51,מיאו,Meow ,meow,100
52,אני תוהה איפה טום הזקן הלילה,I wonder where old Tom is tonight ,I wonder where old Tom is tonight,100
53,או בילי בילי יקירי האם פגעתי בך זה רק פצע שטחי חתיכת טלה אל תדאג יקירי,Bialy Bialy darling did I hurt you - It's only a flesh wound lamb chop ,Or Billy Billy darling did I hurt you it's just a superficial wound a piece of lamb do not worry darling,63
54,"אני מתכוון  סלחו לי אתה מתכוון ""אופס"" נכון ",I mean excuse me ,"I mean excuse me you mean ""oops"" right",62
55,מר ביאליסטוק מר ביאליסטוק מה שלומך,Mr Bialystock Mr Bialystock ,Mr. Bialystok Mr. Bialystok How are you?,78
56,-אופס!,"- ""Oops!""",-Oops!,100
57,אופס,"- ""Oops!""",Oops,100
58,אני לא יכולה לסבול מציצנים אחד בדירה בדיוק מחוץ לחלון חדר השינה שלי,I can't abide a peeping Tom One in the apartment just opposite my bedroom window ,I can not stand one voyeur in the apartment just outside my bedroom window,75
59,אני נשבעת שהאיש הזה אף פעם לא מוריד את זכוכית המגדלת שלו ממני אפילו לא לדקה,I swear that man never takes his field glasses off me not for a minute ,I swear this man never takes his magnifying glass off me for even a minute,81
60,מרגיש יותר טוב כן טוב,- Feeling better - Yes Good ,Feels better yes good,91
61,בוא נתמזמז,Let's fool around ,Let's cuddle,62
62,עכשיו אני אהיה החלבנית התמימה ואתה תהיה איש הסוסים השובב,Now I'll be the innocent little milkmaid and you be the naughty stable boy ,Now I'll be the innocent milkman and you'll be the naughty horseman,84
63,החלב הזה כל כך כבד אף פעם לא אוכל להגיע לבית,This milk is so heavy I'll never reach the house ,This milk is so heavy I will never be able to get home,67
64,הצילו שמישהו יעזור לי חכי,Help me Will someone help me Wait!,Save someone from helping me wait,70
65,אנחנו לא יכולים לשחק היום יש לי יותר מידיי פגישות אי אפשר לשחק היום,We can't play today I have too many appointments We can't play today ,We can not play today I have too many meetings It is impossible to play today,63
66,ביום חמישי נשחק ביום חמישי נשחק ברוזנת ובנהג,"Thursday! We'll play on Thursday We'll play ""The Contessa and The Chauffeur """,On Thursday we played on Thursday we played with the countess and the driver,78
67,או הכי טוב עד יום חמישי אם כך הרוזנת מיה הרוזנת מיה,- The best one! - Until Thursday then Contessa mia Contessa mia ,Or best until Thursday so Countess Mia Countess Mia,84
68,לא יקירי בבקשה רק קצת,No darling please just a little ,No darling please just a little,100
