,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,מה ,What ,what,100
1,מצטער נגמר הזמן ,Sorry time's up ,Sorry time is running out,60
2,חכה דקה אני חושב ,Wait a minute I'm thinking ,Wait a minute I think,89
3,חדירה של לחות למערכת ,Entrance of moisture into the system ,Moisture infiltration into the system,82
4,-נסה שוב ,- Try again ,-Try again,100
5,נזק בתנועה ,- Vibration damage ,Traffic damage,67
6,-בסדר ,- Okay ,-OK,67
7,אז למה התעלמת מהתיכנות שלך ,Then why did you ignore your programming ,So why did you ignore your programming,92
8,"התיכנות אומר ""להשמיד"" ","Programming says ""Destroy"" ","Programming says ""destroy""",100
9,מספר חמש לא יכול לעשות זאת ,Number Five cannot ,Number five can not do that,71
10,למה ,Why ,Why,100
11,למה אתה לא יכול ,Why cannot ,why can not you,80
12,ניוטון קרוסבי דוקטור לא יודע את זה ,Newton Crosby PhD not know this ,Doctor Newton Crosby does not know this,77
13,בוודאי שאני יודע שזה לא בסדר להרוג אבל מי אמר לך את זה ,Well of course I know it's wrong to kill but who told you ,Sure I know it's wrong to kill but who told you that,79
14,אני אמרתי לעצמי ,I told me ,I told myself,82
15,הנה הבאתי לך מרק ,Here I brought you some soup ,Here I brought you soup,90
16,הוא מתקרר ,It's getting cold ,It's getting colder,94
17,תודה לך ,- Thank you ,Thank you,100
18,-השתכנעת ,- Convinced yet ,- You are convinced,73
19,צמח ירק עגבניה ,Plant vegetable tomato ,Tomato vegetable plant,100
20,מים מלח מונוסודיום גלוטמט ,Water salt monosodium glutamate ,Monosodium glutamate salt water,100
21,בסדר ,- Okay ,OK,67
22,תודה לך ,- Thank you ,Thank you,100
23,עכשיו אתה מדבר כמו רובוט ,Now you're talking like a robot ,Now you're talking like a robot,100
24,ציפור ,Bird ,A bird,80
25,עלה של עץ מייפל ,- Maple leaf ,Maple leaf,100
26,-איפה ,- Where ,-where,100
27,חרא!,No shit ,Shit!,73
28,אין חרא ,No shit ,No shit,100
29,איפה ראית חרא ,Where see shit ,Where did you see shit,78
30,בסדר הנה המעגל המתנדנד שלך ,Ok here's your oscillating circuit ,Okay here's your swinging circle,70
31,והנה  למה עשית את זה ,And here's  Now why'd you do this ,And here's why you did it,77
32,למה עשית את זה ,Why'd you do this ,why did you do this,94
33,הבנתי!,I got it!,got it!,86
34,יש כומר אב מנזר ורבי ,There's a priest a minister and a rabbi ,"There is a priest, a monastery and a rabbi",88
35,הם משחקים גולף ומנסים להחליט  כמה כסף לתת לצדקה ,They're out playing golf and they're trying to decide  how much to give to charity ,They play golf and try to decide how much money to give to charity,82
36,אז הכומר אומר נצייר מעגל על הקרקע  נזרוק את הכסף באוויר ומה שינחת  בתוך המעגל ניתן לצדקה ,So the priest says we'll draw a circle on the ground  we'll throw the money way up in the air and whatever lands  inside the circle we give to charity ,So the pastor says we will draw a circle on the ground we will throw the money in the air and what lands in the circle can be given to charity,83
37,"אז אב המנזר אומר ""לא"" נצייר מעגל על הקרקע נזרוק את הכסף באוויר ומה שיפול מחוץ למעגל  זה מה שניתן לצדקה ","The minister says ""no"" we'll draw a circle on the ground we'll throw the money way up in the air and whatever lands outside the circle  that's what we give to charity ","So the abbot says ""no"" we draw a circle on the ground we throw the money in the air and what falls outside the circle is what is given to charity",83
38,"הרבי אומר ""לא לא לא""  נזרוק את הכסף באוויר  וכמה שאלוהים ירצה הוא ישמור ","The rabbi says ""no no no""  we'll throw the money way up in the air  and whatever God wants He keeps ","The Rebbe says ""no no no"" we will throw the money in the air and as much as God wills he will keep",75
39,הבנתי!,I got it!,got it!,86
40,הוא צוחק ,- Is he laughing ,He laughs,70
41,-כן ,Yes!,-Yes,100
42,והבדיחה אפילו לא היתה כזאת מצחיקה ,And the joke wasn't even that funny ,And the joke wasn't even that funny,100
43,והבנתי שהרסתי את שורת המחץ ,And I figured I screwed up the punch line ,And I realized I had ruined the punch line,70
44,כן זה באמת נכון ,Yeah it's really true ,Yes it's really true,93
45,תחושת רגש ספונטנית ,Spontaneous emotional response ,Spontaneous feeling of emotion,73
46,כן כן אתה חי ,Yeah yeah yes you are ,Yes yes you are alive,71
47,כן!,Yes!,Yes!,100
48,כן!,Yes!,Yes!,100
49,היי!,Hey!,Hey!,100
50,אני מקווה שקנית מספיק לכולם ,I hope you bought enough for everybody ,I hope you bought enough for everyone,93
51,תני לי גם אחד סטפני ,Give me one too Steph ,Give me one Stephanie too,91
52,"סכנה! ""נובה""!",Danger! Nova!,"danger! ""Nova""!",100
53,מדוע ,Why ,why,100
54,פשוט תאמר להם שהוא חי ,Just tell them he's alive ,Just tell them he's alive,100
55,מה ,What ,what,100
56,חכה דקה ,Wait a minute ,wait a minute,100
57,התוכנית היתה שאנחנו נשכנע אותך ואתה תשכנע אותם ,The plan was: We convince you and you convince them ,The plan was that we would convince you and you would convince them,85
58,לעזאזל קרוסבי שוב פעם שיקרת לי ,Damn it Crosby you lied to me again ,Damn Crosby once again you lied to me,89
59,לפרוס כוחות!,Deploy!,Deploy forces!,63
60,קדימה קדימה!,All right come on come down ,come on come on!,71
61,לפרוס כוחות!,Deploy!,Deploy forces!,63
62,הצבא!,The army!,the military!,70
63,הצבא האמיתי!,The real army!,The real army!,100
64,המטרה שלכם נמצאת שם רבותיי ,Your target is there gentlemen ,Your goal is there gentlemen,79
65,קרוסבי  אם אני הייתי במקומך הייתי יוצא משם ,Crosby  if I were you I would come out of there ,Crosby If I were you I would get out of there,90
66,סטאט ,Stat ,State,89
67,אלוהים החבר'ה האלה רציניים!,Jesus these guys are really severe!,God these guys are serious!,60
68,נשקים רובי אם-16 אוטומטיים ,Weapons M-16 machine guns ,M-16 automatic rifle weapons,64
69,-תנו לי לטפל בזה ,- Let me handle it ,- Let me take care of it,63
70,היי הווארד ,Hi Howard ,Hi Howard,100
71,סקרודר ,Schroeder ,Screwdriver,70
72,מה שלומך ,How you doin' ,How are you,70
73,הווארד ,Howard ,Howard,100
74,הווארד!,Howard ,Howard!,100
75,אנחנו בסדר ,We're fine ,We are fine,67
76,מספר חמש נמצא כאן איתנו ,Number Five is right here with us ,Number five is here with us,90
77,הכול נמצא תחת שליטתי ,I've got it completely under my control ,Everything is under my control,61
78,עוד שקר ,- Another lie ,Another lie,100
79,-אני משקר להם לא לך ,- I'm lying to them not to you ,- I'm lying to them not you,94
80,אנחנו יוצאים עכשיו ,We're coming out now ,We're out now,79
81,הם מתכננים שם משהו ,They're cooking something up ,They're planning something there,70
82,אני יכול להריח את זה ,I can smell it ,I can smell it,100
83,אנחנו צריכים לטגן אותם עכשיו הווארד ,We gotta fire them now Howard ,We need to fry them now Howard,71
84,אל תעיזו לירות ברובים המטופשים שלכם ,Don't you dare shoot your stupid guns ,Do not dare to shoot your stupid guns,89
85,איפה מספר חמש ,- Where's Number Five ,Where is number five,87
86,-הוא בסדר ,- He's fine ,-he is fine,95
87,הוא בתוך הרכב ,He's in the van ,He's in the car,73
88,בסדר ,Okay ,OK,67
89,בסדר ,Okay ,OK,67
90,אולי אתה והגברת הצעירה תתרחקו מהרכב  ותתנו לנו לטפל בזה ,Why don't you and the young lady just get away from the van  and let us handle it ,Maybe you and the young lady will get out of the car and let us take care of it,65
