,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-אני לא עשיתי כלום!,Hey hey I didn't do anything!,-I did not do anything!,78
1,זה היית אתה שלא תיקנת את משטח הנסיעה כמו שצריך ,It was YOU who didn't fix the drive plates properly ,It was you who did not fix the ride surface properly,74
2,זה אני פה ,Is this me here ,It's me here,81
3,הצד החיובי ,The bright side ,The positive side,69
4,מה הצד החיובי ,Where's the bright side ,What is the positive side,62
5,אני מת ,I'm dead ,IM dead,93
6,אני עשוי לחלוטין מאור ואני לבדי בחלל עם אדם שיפסיד בקרב מוחות נגד איגואנה מפוחלצת ,I'm composed entirely of light and I'm alone in space with a man who'd lose a battle of wits with a stuffed iguana!,I am made entirely of light and I am alone in space with a man who will lose in a battle of minds against a stuffed iguana,81
7,איפה הצד החיובי ,Where's the bright side ,Where is the positive side,73
8,מה זה איגואנה ,What's an iguana ,What is an iguana,97
9,"אתה מת אבל אתה לא ""מת"" מת כי אתה עדיין פה ","I'm mean you're dead but you're not ""dead"" dead because you're still here aren't ya!","You are dead but you are not ""dead"" dead because you are still here",78
10,ליסטר אני לא באמת פה ,Lister I'm not really here!,Lister I'm not really here,100
11,זה לא באמת אני ,I'm not really me!,It's not really me,86
12,אני סימולציה ממוחשבת של הדמות שלי ,I'm a computer simulation of me ,I am a computer simulation of my character,77
13,זה אני שם ערימת הצואה של העכברים הלבקנים ,That's me there that pile of albino mouse droppings ,This is where I put the pile of feces of the albacore mice,61
14,אתה הולוגרמה אז מה ,You're a hologram ,You're a hologram so what,81
15,אני מניח שאתה צודק ליסטר ,So what I suppose you're right Lister ,I guess you're right Lister,66
16,אבל עלייך לעזור לי ,But you've got to help me ,But you must help me,76
17,אתה צריך להיות הידיים שלי במגע ,You've got to be my hands and my touch ,You should have my hands in touch,62
18,אני יודע במה אתה אוהב לגעת ,I know what you like to touch ,I know what you like to touch,100
19,שכח מזה ,Forget it ,forget about it,75
20,הפסקתי לזמן מה אבל התחלתי שוב עכשיו ,Yeah I stopped for quite a while but I'm back on them now ,I stopped for a while but started again now,68
21,אני לא יכול לרשום ,I can't write it down ,I can not register,62
22,אני אזכור לך ,I said you're still a smeghead ,I will remember you,61
23,רימר אני יודע שזה לא בסדר מצידי לדבר על המתים אבל אבל אתה עדיין טמבל ,Rimmer look I know it's wrong of me to speak ill of the dead and all that but you're still a smeghead ,Rimmer I know it's wrong of me to talk about the dead but but you're still a jerk,74
24,אמרתי שאתה עדיין טמבל ,I said you're still a smeghead ,I said you'm still a jerk,73
25,"ליסטר האם יש לך מושג מהו העונש על תיאור טכנאי בכיר מת כ""טמבל"" ",Do you have any conception of the penalty for describing a deceased superior technician as a smeghead ,"Lister Do you have any idea what the penalty is for describing a dead senior technician as a ""jerk""",73
26,ליסטר תקשיב לי ,Lister will you listen to me ,Lister listen to me,81
27,תקשיב לי ,Just listen to me ,listen to me,83
28,-תשתוק ,Shut up ,-shut up,100
29,תשתוק ,Shut up ,shut up,100
30,איך אני נראה ,Eeee! How am I looking ,how do I look,65
31,נראה נחמד ,Looking nice ,Looks nice,82
32,לא רגע ,No wait a minute ,Not a moment,64
33,מה זה ,This way!,What is,67
34,זה הצל שלי ,Oh it's my shadow ,This is my shadow,65
35,אפילו הצל שלי נראה נחמד ,Hey even my shadow's looking nice ,Even my shadow looks nice,83
36,אני נראה נחמד ,I'm looking nice ,I look nice,81
37,הצל שלי נראה נחמד ,My shadow's looking nice ,My shadow looks nice,86
38,איזה צוות!,What a team!,What a team!,100
39,ליסטר חכה רגע תקשיב לי  כדאי שאגרום לעצמי להיראות גדול ,Lister just hold your horses listen to me  Uh oh! Better make myself look big!,Lister wait a minute listen to me I should make myself look great,64
40,"""רק אני והצל שלי בוא ילד ""צועדים ב  """,# me and my shadow ooohhh! # Come on boy!,"""Just me and my shadow come boy"" walk in """,68
41,הולי מה זה היה ,Holly what was that ,Holly what was that,100
42,במהלך משבר הקרינה החתולה שלך והצאצאים שלה היו מוגנים בבידוד הם התרבו שם במשך 3 מיליון שנים ועברו אבולוציה לצורת החיים שראית עכשיו במסדרון ,During the radioactive crisis Dave your cat and her kittens were safely sealed in the hold and they've been breeding there for three million years and have evolved into the life form you just saw in the corridor,During the radiation crisis your cat and her offspring were protected by isolation they reproduced there for 3 million years and evolved into the way of life you now see in the hallway,67
43,אתה יודע איך בני האדם התפתחו מקופים ,Well you know man evolved from apes ,You know how humans evolved from apes,83
44,-כן אני יודע ,Yeah I know that ,-Yeah I know,81
45,אבותיו היו חתולים הוא צאצא של חתולים הוא חתול ,He evolved from cats his ancestors were cats ,His ancestors were cats he is a descendant of cats he is a cat,68
46,חתול ,Cat ,cat,100
47,תתרחק ליסטר ,Stand back Lister ,Stay away from Lister,63
