,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,תודה לך אולם אני מודאגת ממצב בריאותו של הדוד שלי ,Thank you but I'm only concerned for my uncle ,Thank you but I'm worried about my uncle's health,62
1,למתי מתוכנן הניתוח שלו ,When is his surgery scheduled ,When is his surgery scheduled?,100
2,הוא אמור להתבצע ב-8: 00 מחר בבוקר ,it is scheduled for 8:00 tomorrow morning ,It is scheduled to take place at 8:00 tomorrow morning,80
3,היו סיבוכים גברת הנרי ,There were complications Madame Henry ,There were complications Mrs. Henry,90
4,אולם כאשר נוכל להזיזו הוא יקבל חדר נחמד ועם אור שמש עם מרפסת לשם התאוששותו כמו גם טיפול אחיות צמוד מסביב לשעון ,But when we can move him he will have a splendid sunny room with a terrace for his recovery as well as 'round-the-clock nursing ,However when we can move it he will get a nice room and with sunlight with a balcony for his recovery as well as nursing close around the clock,71
5,כמובן ,Of course ,of course,100
6,אינני יודעת כיצד להודות לך ,I don't know how to thank you ,I do not know how to thank you,95
7,בוקר טוב את צריכה להיות האחיינית נטלי ,You must be Natalie the niece ,"Good morning, you should be Natalie's niece",68
8,בעלך כן אני היא הרוזנת דה צ'מברון ,Ah I'm the Comtess de Chambrun ,"Your husband, yes, I'm the Countess de Chambron",67
9,קטנטן שלי אנחנו רחוקים מהבית לא כן מכנסיים קטנים ,My we're a long way from home aren't we little britches ,My little one we are far from home not so little pants,64
10,את אמריקאית ,You're American ,You're American,100
11,הייתי ,I was ,I was,100
12,הדוד שלך הוא הסופר אני מניחה ,Your uncle the author I take it ,Your uncle is the writer I guess,63
13,אני לונגוורס קרובה של רוזוולט דרך נישואין ,I'm a Longworth related to the Roosevelts by marriage ,I'm a close Roosevelt longware through marriage,72
14,אנחנו לא יכולים לסמוך כרגע על האיש הזה בבית הלבן ,We can't count that man in the White House ,We can not currently trust this man in the White House,79
15,אף אחד לא יכול לבחור את קרוביו לא כן ,One can't choose one's relatives can one ,No one can choose his relatives no yes,77
16,מלבד בנישואין ,Except by marriage ,Except in marriage,83
17,זה הקשר שלי לפייר לבל ,That's my connection to Pierre Laval ,This is my connection to Pierre Lebel,79
18,בננו נשוי לבתו אישה קטנטנה שברירית וחמודה ,Our son married his daughter a lovely frail little thing ,Our son is married to his daughter a fragile and cute little woman,75
19,האם הזכרתי זאת ,Did I mention that ,Did I mention that,100
20,לא לא הזכרת ,No you didn't ,No you did not mention,74
21,הוא יהיה המושיע של צרפת ,He'll be the Savior of France ,He will be the savior of France,87
22,העזרה של בנות הברית לדה-גול מפתיעה אותי ,That the allies flock to De Gaulle amazes me ,The Allied help to de Gaulle surprises me,61
23,הוא בסך-הכול שרלטן ראוותני עם האף הנורא הזה ,Nothing but a posturing Charlatan with that horrendous nose ,He's just a showy charlatan with that awful nose,67
24,ההצהרה שצרפת הפסידה בקרב אבל לא במלחמה היא שטויות!,The statement that France lost a battle and not the war is rubbish!,The statement that France lost in battle but not in war is nonsense!,72
25,מדוע לא תצטרפי אלי לכוס תה במשרדו של בעלי ,Won't you join me in my husband's office for some tea ,Why don't you join me for a cup of tea in my husband's office,81
26,יש לנו על מה לשוחח ,We have something to discuss ,We have something to talk about,75
27,אני יודעת יש לזה טעם של עשב מורתח ,I know it tastes like boiled grass ,I know it tastes like boiled grass,100
28,הוא כמעט ומת מדימום פנימי ,He almost died of internal hemorrhaging Oh dear ,He almost died of internal bleeding,68
29,או יקירה בעלי אומר שהוא לא יכול לחזור לבאדן-באדן למשך זמן מה ,My husband says he can't return to Baden-Baden for some time ,Or my dear husband says he can not return to Baden-Baden for a while,78
30,אני מבינה שאת בוגרת מכללת רדקליף ומוסמכת לתואר שני בסורבון ,I understand you're Radcliffe with a Sorbonne Graduate degree ,I understand that you are a graduate of Radcliffe College and have a master's degree in Sorbonne,69
31,כן בתקופת חיים אחרת ,Yes in another lifetime ,Yes in another period of life,77
32,אל תהיי טיפשה ,Don't be soppy ,Do not be stupid,60
33,במקרה אני מנהלת של ספריה אמריקאית ,As it happens I manage the American Library ,I happen to be the director of an American library,69
34,העוזרת שלי נסעה הביתה כאשר הבושים צעדו ,My help went home when the Bosch marched ,My maid drove home as the shamans marched,62
35,מה בקשר לבני ,What about my son ,What about my son,100
36,את תעבדי אצלי ,You'll work for me ,You will work for me,79
37,דרך אגב היכן את מתגוררת ,By the way where are you staying ,By the way where do you live,73
38,בית החולים מספק מגורים מתאימים ביותר עבור הצוות שלו בסמוך ,The hospital provides perfectly adequate lodging for its staff close by ,The hospital provides the most suitable accommodation for its staff nearby,65
39,יהיו שם המון חדרים פנויים ,There will be plenty of room ,There will be lots of rooms available,68
40,אנחנו נסדר זאת מיד ,We'll arrange that right now ,We'll fix this right away,64
41,ואת תבואי לעבוד בשבילי בספריה ,And you'll come to work for me at the library ,And you will come to work for me in the library,85
42,את אדיבה ביותר ,You're terribly kind ,You are very kind,65
43,שטויות!,Nonsense!,Nonsense!,100
44,אני רוצה לחדש את כתיבת ספרי על המלט ומקבת ,I want to resume writing my book on Hamlet and Macbeth ,I want to resume writing my books on cement and macbeth,94
45,יש לי מלגה על שקספיר  מהמדינה ,I'm a Shakespeare Scholar  of sorts ,I have a scholarship for Shakespeare from the state,66
46,אפריל בפריס ,April in Paris ,April in Paris,100
47,אהבתי הראשונה הייתה בפריס ,I had my first love in Paris ,My first love was in Paris,81
48,באפריל ,in April ,April,77
49,לפני זמן רב ,A long time ago ,Long time ago,93
50,המקום והזמן היחידים ,The only time and place ,The only place and time,100
51,כל המדים הגרמניים הללו מקלקלים הכול ,All these German uniforms ruin everything ,All these German uniforms spoil everything,92
52,די מהר מפסיקים לשים לב אליהם ,One soon stops noticing them ,Pretty soon stop paying attention to them,67
53,די מהר גם מפסיקים לשים לב לכוכבים הצהובים הללו ,One soon doesn't notice those yellow stars either ,Pretty soon they also stop paying attention to these yellow stars,61
54,אף פעם ,Never ,Never,100
55,לא אני ,Not me ,not me,100
56,אם הבריטים לא היו נוטשים אותנו לבד בדנקירק לא היית רואה גרמנים בפריס ,If the British hadn't left us in the lurch at Dunkirk you wouldn't see that in Paris ,If the British had not left us alone in Dunkirk you would not have seen Germans in Paris,73
57,לרוע המזל הצ'רצ'יל הזה הוא לא יותר מאשר שיכור עם פה גדול ,Unfortunately that Churchill is nothing more than a drunken loudmouth ,Unfortunately this Churchill is nothing more than a drunk with a big mouth,80
58,בואי ונאכל ארוחת צהריים ,Come let's have lunch ,Let's have lunch,86
59,עוד מראה שלעולם לא אתרגל אליו השאנז-אליזה ,Another sight I'll never get used to - the Champs-Elysees ,Another show that I will never get used to the Champs-Elysees,86
60,האמיני לי הבושים טובים בהרבה מהבולשביקים ,Believe me the Bosch are a lot better than the Bolsheviks ,Believe me the Bushes are much better than the Bolsheviks,86
61,אם להיטלר היה שכל לא לפלוש לצרפת ולגמור את רוסיה במקום זאת הוא היה הופך היום לגיבור עולמי ,If Hitler had the sense not to invade France and finish Russia instead he would have been a world hero today ,If Hitler had been wise not to invade France and end Russia instead he would have become a world hero today,87
62,עכשיו אנחנו צריכים לחכות שהאמריקאים יצילו אותנו ,Now we have to wait for the Americans to rescue us ,Now we have to wait for the Americans to save us,94
