,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,"זה ""צ'סטרטון"" כן ","-It's ""Chesterton"" ","It's Chesterton, yes",88
1,אני ידעתי את זה ,Hey I know that ,I knew that,77
2,איך אתם יכולים כמה סתם לבזבז זמן עם שיחות חולין כאלה ,How you two can stand there wasting time with small talk beats me ,How can you all just waste time with such small talk,72
3,אני יכול להבטיח לך גברתי שאינני מבזבז זמן ,I can assure you young lady I haven't been wasting my time ,I can assure you ma'am I'm not wasting time,71
4,תמיד יש לי תכנית ,-There's always a way ,I always have a plan,65
5,אתה תמיד חושב על משהו סבא ,-You always think of something Grandfather ,"You're always thinking of something, Grandpa",86
6,תודה יקירתי אמונתך בי היא משהו שאני מאוד מעריך ,Thank you my dear Your faith in me is something that I prize very highly ,Thank you dear your faith in me is something I really appreciate,72
7,אתם כמובן מבינים שלא נוכל לעמוד בפני הדאלקים לבדנו ,You all realise of course we cannot succeed against the Daleks alone ,You of course understand that we can not stand the Daleks alone,61
8,ברור שלא ,-Of course not ,of course not,100
9,יש לנו כאן צבא מוכן הת'אלים ,-We have a ready-made army here The Thals ,We have an army ready for the Thalim here,84
10,הם חזקים ויש להם יתרון גדול על הדאלקים הם נעים הרבה יותר מהר ,They're strong and they have one great advantage against the Daleks They can move so much more quickly ,They are strong and have a big advantage over the Dalks and they move much faster,73
11,וגם יש להם חיסרון אחד גדול אין להם נשקים או תחמושת ,They have one great disadvantage They have no arms or ammunition ,And also they have one big downside they have no weapons or ammunition,70
12,המוח תמיד מנצח ,The mind will always triumph ,The mind always wins,75
13,אבל סבא אנחנו דיברנו והתווכחנו על זה כל הבוקר ,But Grandfather we've been talking and arguing about this all morning ,But Grandpa we talked and argued about it all morning,79
14,הת'אלים לא יילחמו הם נגד מלחמות ,The Thals won't fight They're against war ,The Thalim will not fight they are against wars,80
15,ילדתי היקרה אין לנו זמן למוסריות הם חייבים להילחם בשבילנו ,My dear child this is no time for morals -They must fight for us ,My dear girl we have no time for morality they must fight for us,79
16,למה ,-Why ,Why,100
17,-אוי איש צעיר אני מקווה שלא תהיה עקשן מדי ,Oh my dear young man I do hope you're not going to be difficult ,- Oh young man I hope you are not too stubborn,65
18,הדוקטור צודק ,The Doctor's right ,The doctor is right,86
19,רק אם נגרום לת'אלים לתקוף את העיר נוכל להביס את הדאלקים ולקחת את נוזל הקישור ,If only we can get the Thals to attack the city we could beat the Daleks and get the link back ,Only if we make the Thalim attack the city can we defeat the Daleks and take the link fluid,76
20,אישה צעירה המעטתי בערכך ,Young lady I've been underestimating you ,A young woman I underestimated,69
21,אני לא ארשה לכם להשתמש בת'אלים להילחם בשבילנו ,I will not allow you to use the Thals to fight for us ,I will not allow you to use thalim to fight for us,93
22,אתה מאתגר אותי ,-Are you challenging me ,You challenge me,79
23,-כמובן שיש לך!,-Of course you do ,-Of course you have!,82
24,אני חושבת שהדוקטור צודק ואני רוצה לצאת מכאן ,Well I think the Doctor's right and I want to get out of here ,I think the Doctor is right and I want to get out of here,92
25,אני מצטער אבל אני לא ארשה שמישהו ימות על המצפון שלי ,I am sorry I'm not having anyone's death on my conscience ,I'm sorry but I will not let anyone die on my conscience,76
