,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-לא ,-None ,-No,67
1,אתה בטוח ,-You sure -Yes I'm sure ,Are you sure,67
2,איש פה לא יסתכן בשביל מישהו אחר ,No one here will stick their neck out for anyone ,No one here will risk for anyone else,71
3,יש לי מי שיפיץ את השמועה ,I've got someone on the inside who 'll spread the word ,I have someone to spread the word,67
4,אל תדאג ,Don 't worry ,Do not worry,87
5,אני מזהיר אותך אם זה לא יצליח אתה תהיה על הכוונת במשימה הבאה -אין בעיות ,I'll tell you if this doesn 't work out the next guys who come will be coming for you ,I warn you if it does not work you will be on target in the next mission - no problems,61
6,על כמה אנשים אני יכול לסמוך ,How many can I count on ,How many people can I trust,64
7,מה אתך ,What about you ,what about you,100
8,-גם לי יש משפחה ,-We have families -I have a family ,- I also have a family,73
9,לפחות אנחנו יודעים איפה אנחנו עומדים ,I know where we stand Thank you sergeant ,At least we know where we stand,70
10,אתה משחק נגד עצמך ומפסיד ,Playing by yourself and losing ,You play against yourself and lose,66
11,הייתי מצטרפת לו יכולתי לשחק בישיבה ,I'd join you in this dumb game if I could play sitting down ,I would have joined if I could play sitting,71
12,תתפלא כמה עובדים יהיו חולים ביום א' ,You'd be surprised how many workers will be sick this Sunday It's your actual epidemic ,You'd be surprised how many workers will be sick on Sunday,78
13,'גם את תהיי חולה ביום א ,Are you going to be sick this Sunday ,'You too will be sick on Sunday,73
14,אם אתה מחפש אופי נעלה טעית במקום ,If you want sterling character you're in the wrong place ,If you are looking for a superior character you have mistaken the place,60
15,אם אתה הטיפוס שאתה אמור להיות לא היית נשאר כאן ,If you're the guy you're supposed to be you wouldn't stick around ,If you're the type you're supposed to be you would not be staying here,76
16,לכן שלחו אותך הנה ,-That's why they sent you ,That's why they sent you here,91
17,אולי הם טעו ,maybetheyareright ,Maybe they were wrong,68
18,-חששתי שתגיד משהו כזה ,I was afraid you'd say something like that ,- I was afraid you would say something like that,91
19,אתה באמת חושב שתשנה משהו ,You really think you're making a difference ,You really think you'll change something,63
20,אולי הם צודקים ,-Maybe they made a mistake ,Maybe they'm right,70
21,שלחו אותי לחרא הזה כי חשבו שאני שייך אליו ,They send me here to this pile of shit because they think I belong here ,They sent me to this shit because they thought I belonged to him,76
22,אני רוצה לגלות אם הם צדקו ,I want to find out    ifthey'reright ,I want to find out if they were right,77
23,מכונה שלמה עובדת כי כל אחד עושה את המוטל עליו,A whole machine works because everybody does what they're supposed to ,An entire machine works because everyone does what is required of them,72
24,זה התפקיד הקטן והמחורבן שלי במכונה המחורבנת ,That's my rotten little part in the rotten machine ,That's my crappy little job in the damn machine,64
25,זה לא מוצא חן בעיניי ,I don't like it ,I do not like it,90
26,אז אני רוצה לגלות אם הם צודקים ,So I'm going to find out if they're right ,So I want to find out if they'm right,82
27,טוב שנשאר לך עוד קצת שכל ,At least you have some sense left ,It's good you have some more common sense left,68
28,שוב אני עושה זאת ,I'm doing it again ,I do it again,84
29,היה לי זמן רב להתכונן למה שאגיד והנה אני מתבוננת בפניך ואין מילים בפי ,I've had so much time to prepare what to say and here I am looking at your face and my mouth has gone to mush ,I had a long time to prepare for what I would say and here I am looking at you and there are no words in my mouth,69
30,מה שלום פול ,Are you well ,How are you Paul,71
31,הבטחתי שידבר אתך ,I promised him he could talk to you ,I promised he would talk to you,76
32,הוא בחדר הסמוך ,He's in the next room ,He's in the next room,100
33,אתה בסדר ,Are you well ,Are you okay,67
34,פולי ואני  יש לנו מקומות בטיסה הביתה ,Paulie and I   The reservations have come through We're flying home ,Polly and I have seats on the flight home,62
35,-אני מבקשת  -אני לא יכול ,I can't ,-I ask -I can not,64
36,מדוע למען השם ,Then why for God's sake Because  ,Why for God's sake,73
37,-אני לא יכול ,I can't ,-I can not,88
38,הלוואי ויכולתי ,I wish I could ,I wish I could,100
39,-מה כל-כך חשוב לך ,What is so important ,- What's so important to you?,83
40,אני עייף מדי להסברים ,I'm too tired to try to explain ,I'm too tired of explanations,70
41,אתה חושב שמה שאתה עושה חשוב יותר מהמשפחה שלך ,You're making a difference Do you think what you're doing is worth giving up your family for ,You think what you do is more important than your family,61
42,אתה סתם בן-זונה עקשן ,You're a stubborn son of a bitch ,You're just a stubborn son of a bitch,93
43,משהו לא בסדר נכון ,Something's wrong there isn 't it No ,Something is wrong right,71
44,אני יודעת שאתה בצרה ,I know you're in some kind of trouble ,I know you'm in trouble,77
45,כשאתה מדבר במשפטים בני פחות מ-2 מילים אתה בצרה ,When you speak in sentences of less than two words you're in trouble ,When you speak in sentences of less than 2 words you are in trouble,90
46,שמור על עצמך ,Take care of yourself ,Take care of yourself,100
47,אני אוהבת אותך ,I love you ,I love you,100
48,-שלום פול ,Hi Paul ,- Hello Paul,71
49,מה שלומך ,How are you doing ,How are you,79
50,אימא הרשתה לי ללכת לישון מאוחר כדי שאוכל לדבר אתך ,I promised him he could talk to you ,Mom let me go to bed late so I could talk to you,60
51,אני מתגעגע אליך ,I miss you ,I miss you,100
52,אמא אומרת שכשתגמור תחזור אתנו הביתה ,Mommy says as soon as you get done you'll come home with us ,Mom says when she's done she will come home with us,60
53,תראה הרבה דברים נפלאים תוכל לשחק עם הרבה חברים ,You're going to see many wonderful things And you'll have friends to play with ,You will see a lot of wonderful things you can play with a lot of friends,73
54,"אימא אומרת שבטיסה לכדה""א מרדימים אותנו לשנה ",Mommy says that on the flight they put you to sleep for more than a year ,"Mom says that on a flight to the United States, we are put to sleep for a year",75
55,ביום הולדתך הבא אביא לך שתי מתנות ,Next birthday I'll get you two presents ,On your next birthday I will bring you two presents,76
56,אתה לא יכול לבוא אתנו ,Can 't you come home with us Not right now ,You can not come with us,74
57,בקרוב ,Soon ,soon,100
58,-בקרוב ,Soon ,-soon,100
59,אני אוהב אותך אבא ,I love you Daddy ,I love you dad,93
60,גם אני אוהב אותך פול ,I love you too Paul ,I love you too Paul,100
61,תשגיח על אימא ,You take care of Mommy ,Take care of Mom,84
62,כך חשבתי ,I thought so ,I thought so,100
63,אתה אמור להגן עלינו ,You should protect us You're the police ,You are supposed to protect us,64
64,אתה המשטרה ,You should protect us You're the police ,You're the police,61
65,איפה האנשים שלך ,Where are your men ,Where are your people?,82
66,האנשים שלי חארות ,My men are shit ,My people are shit,67
67,באתי למשרדך לעזור ראיתי אותך על המרקע בכיוון אליהם ,I saw you on the screen You're heading right for them You're in terrific shape ,I came to your office to help I saw you on the screen in the direction of them,62
68,הם החטיאו את העורק ,They've missed the artery ,They missed the artery,94
69,בוא אעצור את הדם ,I'll stop the bleeding ,Let's I stop the blood,73
70,ראית לאן הם פנו ,Where are your men ,You saw where they went,73
71,מנסים לנתק אותך ,They're trying to cut you off ,Trying to disconnect you,68
72,-כן -אני אלך מסביב ,I'll go out around them ,-Yes -I'll go around,78
73,תודה ,Thank you ,Thanks,67
74,אני יוצא ,I'm going outside ,I'm going out,87
75,הסתלקי מכאן!,Now get the hell out of here ,Get out of here!,70
76,-אני יכולה לעזור ,I can help ,-I can help,100
77,-אל תתווכחי -אוכל לעזור ,Don't argue with me!,-Don't argue -I can help,68
78,אני יכול לעזור ,I can help ,I can help,100
79,איפה הוא ,Where is he ,where is he,100
80,-אי שם בחוץ ,Outside somewhere ,- Somewhere out there,72
81,איפה בחוץ ,Outside where ,Where outside,100
82,אולי בחממה ,Maybe in the greenhouse ,Maybe in a greenhouse,86
83,מה שלום הזרוע ,How's the arm ,How is the arm,96
84,עמדתי לשתות עד אובדן חושים והחלטתי להיכנס לומר שלום ,I was on my way to drinking myself into a stupor and I thought I'd say goodbye ,I was about to drink to my senses and decided to go in and say hello,60
85,את ידידה טובה ,You were a good friend ,You're a good friend,95
86,תודה ,Thank you ,Thanks,67
87,עליי להודות לך ,Thank you ,I have to thank you,64
