,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,הארווי!,Harvey!,Harvey!,100
1,לא,No!,No,100
2,הוא יעבור את זה יש לו מזל שבאטמן הגיע לשם כל-כך מהר,He'll pull through He's lucky Batman got him here quickly - What about his face,He'll pass it on he is lucky that Batman got there so quickly,65
3,מה לגבי הפנים שלו זה סיפור אחר ניתוח פלסטי אמור לרפא את רוב הצלקות הפיזיות אני יותר דואג לגבי הצלקות הנפשיות,- That's a different matter A plastic surgeon should be able to repair the physical scars I'm more worried about the mental scars,What about his face is another story of plastic surgery supposed to cure most of the physical scars I worry about about the mental scars,63
4,נראה שדנט יצא מהתמונה סוף סוף הלוואי שיכולתי להיות בטוח בזה,Looks like Dent's out of your hair I wish I could be sure of that,Dent seems to come out of the picture I finally wish I could be sure of that,65
5,! אמרתי תן לי מראה,I said give me a mirror,!I said give me a mirror,100
6,הארווי מה קרה,Harvey what happened,Harvey what happened,100
7,הארווי,Harvey,Harvey,100
8,להתראות גרייס,Goodbye Grace,Goodbye Grace,100
9,טוב ג' בסולם אחד עד עשר הייתי אומר שאני 53,well G on a scale of one to ten I'd say I'm about a 53,Good gi on one to ten scale i would say i'm 53,76
10,וזה הלבשה מלאה,And that's fully clothed,And that is full dress,74
11,אבל אינך לבוש קצת יותר מידי מוקדם בשביל הדייט שלך,But aren't you dressed a bit early for your date,But you don't wear a little too early for your date,67
12,אני לא הולך לדייט אני הולך להתקשר,I'm not going on a date I'm going on a phone call,I'm not going to date I'm going to call,84
13,לזה אני קורה סקס בטוח,That's what I call safe sex,That's what's a safe sex,90
14,כן,Yes,Yes,100
15,גב' סיגר,Mrs Seger,Ms. Saigger,74
16,כן,Yes,Yes,100
17,כן,Yes,Yes,100
18,תודה רבה,Thank you very much,Thank you,64
19,כן,Yes,Yes,100
20,מה המצב מותק,What's up baby,whats up baby,89
21,כן זה סופרמן המשוזף שלך,Yeah this your suntanned Superman,Yes it is your looting Superman,62
22,הי מה את אומרת על זה ששלושתנו נצא בסוף השבוע הזה,Hey what do you say the three of us get together this weekend,Hi what do you say about the fact that the three of us will leave this weekend,71
23,כן אני את והשפופרת האדומה שלך,You me and your red tube top,Yes i and your red peak,63
24,טוב אם אנשוף לך באוזן האם את  תעזרי לי עם העבודה שלי בגיאוגרפיה על אלסקה,Yeah well if I blow in your ear will you   help me with my geography report on alaska,Good if you are in your ear will you help me with my job in geography on Alaska,77
25,כן,Yes,Yes,100
26,את מבינה אלסקה נמצאת שם למעלה קפואה ובודדה   ולעומת ארצות הברית חמה ומלאת הרים ורכסים,You see alaska was up there all cold and lonely  and along comes the United States  all warm and full of bulging mountain ranges,You understand Alaska there is frozen and lonely and with the United States hot and full of mountains and ridges,70
27,אז ארצות הברית אומרת:,So the United States says:,So the United States says:,100
28,את יודעת אני מעוניין להניח צינור,"""You know I'm thinking of laying a pipeline",You know I would like to put a pipeline,64
29,האם את מעוניינת,"Are you interested """,are you interested,100
30,בן דוד שלך אפילו מכין סנדוויץ' בצורה מגניבה,-Your cousin even makes sandwiches cool -Yeah,Your cousin even prepares a coolest sandwich,78
31,כן הוא הכי מגניב,He's the coolest,Yes is the coolest,76
32,חוץ ממתי שהוא שם את כובע הים שלו ורץ דרך הממטרות,Except when he wears his shower cap and runs through the sprinklers,Except when he put his sea hat and runs through the predominant,65
33,ילדים יש לי הפתע מיוחדת,children I have a special surprise,Children I have a special surprise,100
34,עוגיות בצורת הדמויות המצוירות האהובות עליכם,Cookies in the shapes of your favorite cartoon characters,Cookies in the form of your favorite cartoon characters,89
35,ג'פרי אני ממש לא חושבת שאני --וקווין ונרצה,Geoffrey I really don't think Kevin and I would Iike--,Jeffrey I really don't think I -Kuwin and want,72
36,אלמר פאד,elmer Fudd,Elmer Pad,74
37,כן זה מגניב,He's the coolest,Yes it's cool,62
38,תודה,-Thank you,Thanks,67
39,טוב לדעת שארבעת שנות הלימוד באוקספורד לא היו לחינם,It's good to know those four years at Oxford didn't go to waste,Good to know that the four years of study in Oxford had no free,65
40,אז אשלי מה את וקוו עושים בסוף השבוע הזה,So ashley what's you and Kev getting into this weekend,So Ashley what are you and line do this weekend,77
41,אותו דבר כמו כל שבוע,The same thing as every weekend,The same as every week,83
42,"השבוע זה: ""הממפט משתלטים על מנהטן""",This week it's The Muppets Take Manhattan,"This week is: ""The chatter takes over Manhattan""",74
43,מה,-What,what,100
44,את נראית חמודה,-You look cute,you look cute,100
45,שניכם נראים חמודים,Oh you both look cute,You both look cute,92
46,נכון שהם הזוג הכי חמוד,Aren't they just the cutest little couple,Is true that they are the cutest couple,75
47,תודה גב' בנקס,-Thank you Mrs Banks,Thanks Ms. Banks,82
48,הלארי כרפובליקני נאמן ואיש בוש מסור  אני מזהיר אותך אל תעשי את זה,hilary as a loyal republican and a staunch Bush man  I'm warning you don't do this,Larry as a loyal Republican and a traditional bush person I warn you don't do it,76
49,אתה לא איש שיח,You're not a Bush man,You are not a man of shrub,68
50,אתה יותר כמו גמד,You're more like a Pygmy,You are more like a dwarf,61
51,וויל אני מנסה למנוע מהלארי להביך את כולנו   בקדמת המסיבה הרפובליקנית,will I'm trying to keep hilary from embarrassing all of us  in front of the whole republican Party,Will I try to prevent the Larry from embarrassing us all at the front of the Republican party,76
52,האם את מצטרפת לצוות הרפובליקני,-Are you joining the republican Party,Do you join the Republican team,72
53,ארלונד שוויצינגר עושה מסיבת בריכה,arnold Schwarzenegger's having a pool party,Arnold Schwarzenegger makes a pool party,87
54,אני לא יודעת אם יש לי את החליפה המתאימה,I can't decide if I got the right suit,I don't know if I have the right suit,72
55,עכשיו ארלונד יצטרך להחזיר את שלו,Now arnold's gonna have to return his,Now Arlond will have to return his,79
56,הכובע הזה נראה טוב,That's a good-Iooking hat,This hat looks good,73
57,כאשר דגים ירכבו על אופנים,-When fish ride bicycles,When fish will ride on bikes,75
58,קווין אני אראה אותך מחר נעשה שעורי בית,Kevin I'II see you tomorrow to do homework,Kevin I will see you tomorrow we will make homework,71
59,אני מתכוונת אם אתה רוצה,-I mean if you want to,I mean if you want,92
60,אני מתכוון אם את רוצה,-I mean if you want to,I mean if you want,92
61,שחכתי את דפי הניר שלי,-I forgot my notebook paper,I forgot my candle pages,60
62,הינה,-Here,here,100
63,תודה,Thanks,Thanks,100
64,שיט שברתי את העיפרון שלי,Darn I broke my pencil,Sailing I broke my pencil,72
65,יש לי אחד,-I have one,I have one,100
66,תודה,Thanks,Thanks,100
67,אז מה ענית על השאלה הראשונה,So what did you get for your first question,So what answered the first question,62
68,ג' הנדגר הובר,J Edgar Hoover,Juder Hoover,62
69,מה את קיבלת,-What did you get,What do you get,90
70,אנחנו לא עושים מתמטיקה,-Aren't we doing math,We don't make math,68
71,חשבתי שאנחנו עושים היסטוריה,-I thought we were doing history,I thought we were making history,79
72,כפות הידיים שלי מזיעות,My palms are sweaty,My palms are sweating,90
73,האם הלב שלך גם פועם מהר,-Is your heart beating fast too,Is your heart beating quickly,75
74,את חושבת שיש לי שפעת,You think I got the flu,You think I have a flu,71
75,"אתה רוצה קצת ""טילנול ילדים"" (תרופה לשיכוך כאבים)",Do you want some children's tylenol,You want some “children's tillenol” (painkillers' cure),75
76,לא,No,No,100
77,אני חושב שארגיש יותר טוב אם אנשק אותך,I think I'd feel better if could kiss you,I think I will feel better if I will kiss you,77
78,אני מצטער,I'm sorry,I'm sorry,100
79,האם זה נורא,Is that terrible,Is it terrible,73
80,לא,No,No,100
81,האם זה נורא שאני גם רוצה לנשק אותך,Is it terrible that I want to kiss you back,Is it terrible that I also want to kiss you,93
82,אני יכול לנשוף לך באוזן,Can I blow in your ear,I can exhale you in the ear,65
83,למה,Why,Why,100
84,אני לא יודע,I don't know,I do not know,88
85,שמעתי את וויל אומר את זה,I heard will say it,I heard Will Say that,80
86,מה זה עושה,-What's it doing,what does it do,67
87,גם אני,Me too,me too,100
88,האחת הזו כל כך חמודה,This one is so cute,This one is so cute,100
89,אני לא רוצה להיות חמודה הערב הלארי,I don't want to be cute tonight hilary,I don't want to be cute tonight the Larry,91
90,תמיד הייתי חמודה,I've always been cute,I've always been cute,100
91,הגעתי עד לכאן עם חמודות,I'm up to here with cute,I have arrived here with cute,60
92,אשלי דברי איתי,ashley talk to me,Ashley Talk to me,100
93,זה לא רק בעניין בגדים נכון,This isn't just about clothes is it,This is not just about proper clothing,71
94,זה בנוגע למשהו הרבה יותר חשוב,It's about something a Iot more important,This about something much more important,77
95,זה יום רע לשיער נכון,It's a bad hair day isn't it,It's a bad day for the right hair,79
96,מותק ראית את בושם האופסיישין שלי,Honey have you seen my Obsession perfume,Honey you have seen my opsisha perfume,87
97,אני חושבת שזו היא השמלה הכי חמודה שיש לך,I think this is the cutest outfit you have,I think this is the cutest dress you have,84
98,טוב אני חמודה,Okay I'm cute,Well i'm cute,69
99,את זוכרת את הבן הראשון שהבאת לצפות איתך בטלוויזיה הלארי,You remember the first boy you had over to watch TV hilary,You remember the first son you brought to watch with you on the Larry television,65
100,אני לא זוכרת את הבחור שיצאתי איתו בשבוע שעבר,I don't remember the guy I went out with last week,I don't remember the guy I left with last week,90
101,כל התינוקות שלי גדלים,AII my babies are growing up,All my babies grow,70
102,נתראה,See you,see you later,70
103,אשלי מותק בואי ננהל שיחה קטנה טוב,ashley honey Iet's have a little talk okay,Ashley honey will be a good little call,62
