,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,זה לא השוטר זה שותף אתם לא מבינים ,It's not a cop it's a co-op You don't get it ,"It's not the cop, it's a partner you do not understand",66
1,זה שוטר שמשתף אתנו פעולה כבר שנים בלי לדעת על זה בגלל זה גם לא מעלים אותו בדרגה ,Tally how many of our jobs went off without a hitch thanks to him That's a cop who's been cooperating with us for years without knowing ,It's a cop who's been cooperating with us for years without knowing about it because it's also not elevating him in rank,64
2,אבל הוא שוטר לא -איזה שוטר זה שוטר זה ,But he's a cop no - What cop ,But he's not a cop - what kind of cop is that cop,71
3,-מצחי ק ,- Very funny ,-is funny,67
4,אני חבר שלו -חבר ,Besides that I like him I'm his friend - Friend ,I'm a friend of his - a friend,63
5,אם יפטרו אותו ויבוא שוטר אחר במ קומו זה יהיה סוף של החיים הטובים שלך ,If they fire him and replace him with a different cop that will be the end of the good life for you ,If he is fired and another policeman comes in his place it will be the end of your good life,65
6,אתה תוך שבועיים בפנים -אז מה רוצה ממני ,In two weeks you'll be on the inside - What do you want from me That I should break-in and get caught,You're in two weeks - so what do you want from me?,62
7,למהלא -הורוביץ אמרת למה לא ,- Horowitz you said why not ,Why not - Horowitz said why not,85
8,שאלה של תכנון -תכנון ,It's a question of planning ,Question of planning - planning,71
9,למה לא נעשה לו פשע ,Alright Why not We'll commit him a crime ,Why was he not made a crime,60
10,אבל לא סתם פשע משהו יפה ,But not just any crime something really nice ,But not just a crime something beautiful,71
11,פשע ממש -תחנת דל ק!,A real crime - A gas station ,A real crime - gas station!,96
12,רובינשטיין -5 1 שנה ,Rubinstein - 15 years ,Rubinstein -5 1 year,95
13,לא מעניין אותי ,Doesn't interest me I'm out - Wait!,does not interest me,73
14,-שבועיים על תנאי ,- 2000 cash - Two weeks on probation ,-Two weeks on probation,81
15,מה יש ,What's wrong ,What is,63
16,תימני אם אתה כבר עושה מצווה תעשה עם כל הלב ,Yemeni you're already doing a good deed so do it with all your heart ,Yemeni If you are already doing a mitzvah do with all your heart,82
17,אבל למה אני -מה זה חשוב מי ,- Why does it matter who it is ,But why I -what does it matter who,79
18,העי קר שיהיה בסדר ,The main thing is that it will be okay ,The main thing to be okay,73
19,-טוב בסדר אבל מה ,- Okay fine but what ,-Well fine but what,78
20,המנזר ,The monastery ,The monastery,100
21,תשמישי קדושה ,Religious articles ,Religious articles,100
22,אין מחיר היום לצלב וגם פרוכת מה זה ,Can't get a good price today for a crucifix and a holy curtain ,There is no price today for a cross and also a curtain what it is,66
23,זה טוב בשביל השוטר ,It's good for the officer ,This is good for the cop,61
24,הורוביץ  כמה זה המנזר ,Horowitz how much for the monastery ,Horowitz how much is the monastery,90
25,השופט שינדרמן ,Judge Shinderman ,Judge Schinderman,97
26,-שינדרמן ,- Shinderman ,-Shinderman,100
27,ואל תשכח שליש התנהגות טובה ,And don't forget a third off for good behavior ,And do not forget a third of good behavior,86
28,שישה חודשים ,Six months ,six months,100
29,יש פריצה פרצו חנות!,There's a burglary ,There is a burglary hacked store!,72
30,זה החנות ,This is the store ,This is the store,100
31,-כן ,- Yes ,-Yes,100
32,זה פרוץ  -לא -לא!,It's been broken open - No - No!,It's a no-no-no!,62
33,אתה לא רואה שלא ,Can't you see that it isn't ,You do not see that not,68
34,מה אני יכול לעשות ,What are you doing ,What can I do,65
35,בוא הנה ,Come here ,Come here,100
36,הורוביץ  בשביל מה צריך את כל החנטריש הזה להביא אותו להנה ,Go to the pick up point - Okay Horowitz what do we need all this bullshit for to bring him here ,Horowitz for what should all this gossip bring him here,62
37,הוא צריך לחשוב שהוא מגלה את הפשע במ קרה לא ,He needs to think that he's discovered the break-in by chance ,He should think he's discovering the crime in case he does not,63
38,פרחח! בוא הנה בוא הנה!,Come here come here ,brat! Come here Come here!,88
39,לא זז ,Not moving ,Not moving,100
40,-עוד סיבוב!,- Another round!,- Another round!,100
41,קווזימודו לא תפס!,"""Quasimono"" didn't take the bait ",Quasimodo did not catch!,60
42,גש למסעדה הטלפון תפוס ,Go to the restaurant the phone is busy ,Go to the restaurant The phone is busy,100
43,בוא הנה בוא הנה ,Come here come here ,Come here Come here,100
44,עזבו את הטלפון ,Put the phone down ,Leave the phone,61
45,אני מדברת!,I'm talking!,I'm speaking!,78
46,-יאללה!,Come here ,-Come on!,62
47,הי אני אהרוג אותך!,Hey I'll kill you!,Hi I'll kill you!,91
48,לא צריך להתערב ,No need to interfere ,No need to intervene,90
49,הולך עוזב עייף ,Going Leaving Tired ,Going to leave tired,82
50,שילכו על סכינים ,Let the knives go down ,Let them go on knives,79
51,לא!,No!,No!,100
52,בוא הנה עצור!,Come here ,"Come here, stop!",78
53,השוטר זז הוא כבר בדרך ,The cop is moving ,The moving cop is already on his way,64
54,-שמעתי ,- I heard ,- I heard,100
55,בן-אדם אתה פצוע!,Boy you're wounded!,Man you are wounded!,76
56,תן לי לעזור לך ,Let me help you ,Let me help you,100
57,הם באים!,They're coming!,they are coming!,76
58,הם באים!,They're coming!,they are coming!,76
59,גנבים גנבים  ,Thieves thieves  ,Thieves Thieves,100
60,-עוד לא יא חמר ,- Not yet you ass ,- Not yet clay,67
61,וואלי וואלי גנבים!,Thieves thieves  ,Valley Valley Thieves!,61
62,גנבים!,Thieves!,Thieves!,100
63,אדוני השוטר שוד בכנסייה ,Officer a robbery at the church ,"Sir, the policeman is robbing the church",60
64,שוד!,Robbery!,robbery!,100
65,-אני שומע!,- I hear!,-I hear!,100
66,יש פצועים בסביבה ,Are there any wounded ,There are wounded in the area,76
67,אתה כומר ,Are you a priest ,You are a priest,100
68,-מה כן אני עובד בכנסייה ,- What I work in the church ,- Why do I work in a church?,76
69,אתה לבד ,Are you alone ,Are you alone,100
70,או איפה יתר הכומרים ,Where are the other priests ,Or where the other priests are,95
71,-מה זה ,- What's that ,-What is,67
72,הכומרים ,The priest ,The priests,95
73,מה הם טוחנים שם כל הזמן ,They're still there They can't leave the place ,What are they grinding there all the time,60
74,כמה הם היו הגנבים כולם יחד ,How many thieves were there in all ,How many of them were the thieves all together,75
75,-לא יודע הם לא אמרו לי ,- Don't know they didn't tell me ,"- I do not know, they did not tell me",88
76,בטח שלא יגידו לך ,Of course they wouldn't tell you ,Surely they will not tell you,69
77,-לא אני שמעתי יריות ,- No I heard shooting ,-No I heard shots,86
78,-יריות ,- Shooting ,- Shots,62
79,-כן ,- Yes ,-Yes,100
80,אל תפחד ,- Don't be afraid ,Do not be afraid,90
81,-אל תדאג אתה בידי אנשי החו ק ,- Don't worry you're safe with a man of the law ,- Do not worry about the law,62
82,"לרשום את הדו""ח לא ",Let me write the report ,Write the report no,81
83,הוא עיוור האיש הזה ,That man is blind ,He's blind this man,72
84,מה יש ,- What's that ,What is,67
85,אה זה שוטר חרש זה ,The cop is deaf ,Oh it's this deaf cop,78
86,תבוא אחרי ותמשיך לדבר כאילו לא קרה שום דבר ,Folow me and keep talking as if nothing happened ,Come after me and keep talking like nothing happened,76
87,אני נולדתי בבצרה בבגדד ,I was born in Batzra Baghdad ,I was born in Basra in Baghdad,90
88,אבל  ,But  ,but,100
89,תרים את הידיים!,Raise your hands ,Raise your hands!,100
90,-נפלתי בפח ,Ring the bell ,- I fell into the trap,61
91,-מה חשבת ,- What did you think ,-what were you thinking,70
92,מה עושה משטרת ישראל עושה רפורטים ,What is the Israeli police doing just making out reports ,What the Israeli police do reports,76
93,תרים את הידיים ,Raise your hands ,Raise your hands,100
94,תרים את הידיים אל תזוז ,Raise your hands ,Raise your hands do not move,73
95,גאון ,Genius ,genius,100
96,-אומרים ,- So they say ,- They say,84
97,אסימון ,Got a token ,token,62
98,לפרוץ לדואר ,To break into the post office ,Break into the mail,67
99,-אידיוט!,Idiot ,-idiot!,100
100,יש לך אסימון ,Do you have a phone token ,You have a token,78
101,למי אתה מצלצל ,Who are you calling ,Who are you calling?,100
102,-כן ,- Yes ,-Yes,100
103,שום דבר ,- Shooting ,Nothing,67
104,-אזולאי תפס אותי ,- What - Azulai caught me ,-Azoulay caught me,79
105,דברו ,Talk ,Talk,100
106,תגיד זה מצחי ק אותך ,Tell me you think it's so funny ,Say it's funny to you,69
107,תפסתי אותך על חם אל תשכח ,I caught you red handed don't forget ,I caught you on hot do not forget,75
108,אתה יודע כמה ת קבל בשביל זה ,Do you know what you'll get for this ,You know how much you get for it,68
109,-שישה חודשים ,- Six months ,-six months,100
110,הנף ידיים ,Raise your hands ,Raise your hands,100
111,הרם רגליים ,Lift your legs ,Lift legs,78
112,"הנ""ל גילה תושייה ואומץ לב מעבר לצו החובה בשעה שהסתער לבדו על חבורת שודדים שגילה והחזיר לכנסייה היפואית את  מה זה ",The aforementioned displayed resourcefulness and courage beyond the call of duty when storming single handedly a gang of thieves and returning to the Jaffa Church the  what's it called ,The above showed resourcefulness and courage beyond the mandatory order while attacking a group of robbers alone who discovered and returned to the Hippo Church what it was,64
113,אי לזאת החליט מפ קד המחוז 'להעני ק לו דרגה של סמל א ,The Dept Chief is awarding him with the rank of first class sergeant ,"Therefore, the district commander decided to award him the rank of sergeant",68
114,סליחה רגע ,I'm sorry ,Sorry a minute,70
115,הלו ,Hello ,Hello,100
116,כן ,- Yes ,Yes,100
117,אה כן י קירתי ,- Yes ,Oh yes!,67
118,מה את רוצה ,What do you want ,What do you want,100
119,כן ,- Yes ,Yes,100
120,כבש ,Lamb ,Lamb,100
121,טוב אבל  תשלחי את אימא שלך פעם ש  מה עם הילד ,Okay but  Send your mom for once to  What about the boy ,OK but send your mom once in a while what about the child,75
122,בסדר ,Okay ,OK,67
123,אני מצטער ,I'm sorry ,I'm sorry,100
124,איפה עמדתי ,Where was I ,Where I stood,75
125,-הדרגה שלי ,- My rank ,- My rank,100
126,-מה ,- What ,-what,100
127,-כן ,- Yes ,-Yes,100
128,קבל את ברכותיי אברהם ,Accept my blessings Avraham ,Receive my blessings Abraham,69
129,הנה הדרגות שלך והנה התעודה ,Here are your stripes and here's your certificate ,Here are your ranks and here is the certificate,83
130,שיהיה בהצלחה ,Okay good ,Good luck,67
131,-תודה אדוני ,- Thank you sir ,-Thanks sir,78
132,-כל טוב ,- All the best to you ,-All the best,77
133,יחד עם זאת הוטל עליי לבשר לך סמל אזולאי שחוזה השרות שלך לא יחודש הפעם ,Along with this Sergeant Azulai I've been asked to announce that your contract will not be renewed this time ,"At the same time, I was instructed to inform you of the Azoulay symbol that your service contract will not be renewed this time",62
134,אתה תצא לפנסיה עם כל הזכויות עם כל ההטבות של סמל במשטרת ישראל ,You'll retire with all the rights and with full benefits of a sergeant in the Israeli police force ,You will retire with all the rights with all the benefits of a sergeant in the Israel Police,85
135,אז לא מאריכים -לא לא  למה ,They're not extending it ,So do not extend - no not why,67
136,דוו קא עכשיו עם הדרגה הייתי יכול לתרום תרומה גדולה מאוד ,Now with the rank I could have contributed so much more ,Dw Ka now with the rank I could make a very large contribution,70
137,עכשיו כשאתה בשיא ,Now that you're at the top ,Now that you're at your peak,74
138,-בטח טעות ,- Surely a mistake ,- Probably a mistake,76
139,יחד עם זה אתה מ קבל שעון מתנת משטרת ישראל ,In addition you receive as a gift a watch from the police force ,Along with this you are receiving a watch as a gift from the Israel Police,74
140,זה לרגל פרישתך אני מ קווה ששמך חרוט ,It's on the occasion of your retirement I hope it's engraved ,It's on the occasion of your retirement I m ​​hope your name is engraved,88
141,וזהו ,And that's it ,And that's it,100
142,כל טוב ,- All the best to you ,All the best,77
143,מה אמרת ב קשר לטיול ,What were you saying about a trip ,What did you say about the trip?,72
144,-כן כן כן ,- Yes yes ,-Yes Yes Yes,78
145,יכולת ל קחת עוד כמה אנשים  יכולנו לשלוח עוד 2 מכוניות ,You could have brought a few more people  We could have sent another couple cars ,Ability to take a few more people we could send 2 more cars,61
146,מר לפ קוביץ ,Mr Lefkowitz ,Mr. Lefkowitz,100
147,-בהזדמנות חגיגית  בהזדמנות חגיגית זו יורשה להגיש לך בזה  בור קס ,- On this special occasion  On this special occasion let me present you with  burecas ,- On a solemn occasion On this solemn occasion you will be allowed to be served in this Kess Pit,66
148,-תודה רבה גברת אזולאי תודה רבה ,- Thank you Mrs Azulai - Your quite welcome ,-Thank you very much Mrs. Azoulay Thank you very much,64
149,חביב מאוד ,Very nice ,Very kind,67
150,תודה רבה ,Thank you ,Thank you,100
151,הוא לא ישכח ,He won't forget ,He will not forget,79
152,תוריד את זה ממני ,Take care of it ,Take it off me,69
153,אין שום בעיה ,No problem ,no problem,100
154,אנחנו נלחץ ,We'll apply pressure ,We'll be stressed,65
155,אנחנו מטפלים בזה ,Take care of it ,We take care of it,91
156,זה יסודר ,I think this was arranged ,It will be arranged,64
157,אל תדאג ,Don't worry ,Do not worry,87
158,אגב אתה יודע שאני מ קבל מכונית חדשה ,Oh did you know that I'm getting a new car ,By the way you know I'm from getting a new car,80
159,מה-7 לחודש ,On the 7th of the month ,From the 7th of the month,83
160,-איזה יופי ,What what Azulai ,-What a beauty,62
161,רגע אחד שכחתי משהו ,Wait a second I forgot something ,One moment I forgot something,72
162,'מר לפ קוביץ ,Mr Lefkowitz ,Mr. Lefkowitz,100
163,-מה אזולאי ,- What Azulai ,- What Azoulay,87
164,אפשר לשאול אותך שאלה ,May I ask you something ,can I ask you a question,60
165,ודאי בגלל השוד ,Of course it was for the robbery ,Certainly because of the robbery,69
166,- אז לא מגיע לי ,- So don't I deserve ,- So I do not deserve,81
167,אני חושב שזה היה מאורגן ,I think this was arranged ,I think it was organized,61
168,החבר'ה ביפו ארגנו את זה בשבילי ,The boys in Jaffa organized this for me ,The guys in Jaffa organized it for me,76
169,מה מה אזולאי ,What what Azulai ,What what Azoulay,91
170,החבר'ה ארגנו בשבילך שוד כדי שאתה ת קבל סמל א' לא לא ,The guys organized the robbery for you so that you'd receive first class sergeant ,The guys have organized a robbery for you so that you can get symbol A. No no,66
171,-ברצינות אני  לא אתה קצת מרוגש מהט קס מהשעון מהדרגות מכל היום הזה ,Can't be - Seriously I  No you must be a little excited from the ceremony the watch the ranks from this whole day ,-Seriously I'm not you a little excited from Hath Kess from the clock from the ranks from all this day,71
172,אני אמרתי לך וחוץ מזה אני לא טירון ,I told you and besides that I'm not a recruit ,"I told you and besides, I'm not a rookie",83
