,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-מה הבעיה שלך גברתי  -מה ,- Whas your problem lady ,- What's your problem?,78
1,כיצד אוכל להפנות את גבי לגברת היקרה הזו ,- Eh How can I turn my back to such a dear woman ,How can I turn my back on this dear lady,70
2,זו האנושיות שבי ,Is the humanity in me ,This is the humanity within me,71
3,אני שומעת  ציפורים מצייצות ,- I hear  - Oh! Birds chirping ,I hear birds chirping,93
4,אני שומעת ילדים מצחקקים ,I hear children giggling ,I hear kids giggling,68
5,אני שומעת את צלצול המטבעות ,I hear coins jingling ,I hear the ringing of the coins,73
6,חמישים סנט לכל אוזן ,Fifty cents an ear ,Fifty cents per ear,81
7,הו תבורך דוקטור ,Oh bless you Doctor ,Oh Blessed Doctor,83
8,אני שומעת!,I can hear!,I hear!,75
9,אני שומעת!,I can hear!,I hear!,75
10,חברים התרופה שלי ריפאה אותה!,My medicine cured her folks!,Friends my medicine cured her!,86
11,שמעתם אותה מברכת אותי ,Did you hear her bless me ,You heard her greet me,72
12,ובכן גם אני ברכתי אותה ,Well I bless her too ,Well I blessed her too,95
13,כמה נהדר אני מרגיש בדיוק כאן בליבי ,How wonderful I feel right here in my heart ,How great I feel right here in my heart,80
14,- אנשים שעוזרים לאנשים ,People helping people ,- People who help people,84
15,כולכם צריכים לקבל עזרה ,You should all have help ,You all need help,68
16,מה יש לנו פה ,What have we here ,What do we have here,92
17,הו דוקטור דוקטור דוקטור ,Oh Doctor Doctor Doctor [Panting],Oh Doctor Doctor Doctor,85
18,כל מה שאני מבקש זה נס ,All I'm askin' for is a miracle ,All I ask is a miracle,85
19,כל מה שהוא מבקש זה נס חברים ,All I'm askin' for is a miracle ,All he asks is a miracle friends,77
20,איך אני אסרב לו ,How can I deny him ,How can I refuse him,68
21,אם הוא מתכוון לשלם על זה הוא יקבל את זה ,If he's willing to pay for it he's gonna get it ,If he intends to pay for it he will get it,76
22,-כל מחיר ,- Any price ,-All price,78
23,-דולר אחד אדוני ,- One dollar sir ,- One dollar sir,100
24,-אני בוטחת בו ,- I trust him ,- I trust him,100
25,-אני מאמינה בדוקטור ,- I believe in the Doc ,- I believe in the Doctor,93
26,אני אפקיד את חיי בידיו ,I'd put my life in his hands ,I will entrust my life into his hands,74
27,"""חברים אתם ראיתם נס ותראו עוד רבים נוספים ",# My friends you've seen a miracle and you'll see many more #,"""Friends, you have seen a miracle and you will see many more",87
28,"""אנשים יגיעו מעבר לים ",# People will come pourin' in from land and sea #,"""People will come from overseas",62
29,"""אני אספור כל מי שחי פה יהיה בריא וחזק ",# I'll do the counting Everyone who lives here will be strong and healthy #,"""I will count everyone who lives here will be healthy and strong",87
30,"""כל העולם הרחב יביט בנו ויגיד:",# The whole wide world will look at us and say #,"""The whole wide world will look at us and say:",100
31,"""זה  ",# Is #,"""This",67
32,"""פארדונמקואאדי לא ",# Pardonmaquassy # No ,"""Pardonmkoadi no",69
33,"""פאקווהמסאדי לא לא פאסהממאסי ",# Paquamassady no no Passamamassy #,"""Pakwhamsadi is not not Passahmassi",71
