,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,התרחק מהחמור שלי ,Get away from my burro ,Stay away from my donkey,61
1,לא תוכל להפחיד עם זה אפילו אדם חולה ,You can't frighten even a sick louse with that ,You can not scare even a sick person with it,71
2,תוכל לירות רק באחד מאיתנו ולו לא יהיה ממש אכפת ,You can only shoot one of us  and he wouldn't mind too much ,You can only shoot one of us if he does not really care,64
3,-ירי ,- Shooting ,-shooting,100
4,-דובס מת ,- Dobbs is dead ,- Dobbs is dead,100
5,- מה ,- What ,- What,100
6,- השלל שלנו ,- Our goods ,- Our loot,71
7,מה עם השלל ,What about our goods ,What about the loot,72
8,- מה ,- What ,- What,100
9,-הוא אומר שהשלל שלנו בטוח במשרדו ,- He says our goods are safe in his office ,- He says our loot is safe in his office,77
10,-זה לא כאן האוורד ,- It's not here Howard ,- This is not Howard here,88
11,מה ,- What ,what,100
12,הוא שמע את השודדים מדברים בזמן שחיכו שיירו בהם ,He heard the bandits talking while they were waiting to be shot ,He heard the robbers talking while they waited for them to be shot,74
13,הם חשבו ששקי חול הוסתרו בין העורות כדי שישקלו יותר כשדובס יילך למכור אותם ,They thought it was bags of sand hidden among the hide  to make it weigh more when Dobbs went to sell them ,They thought sandbags were hidden between the skins so they would weigh more when Dobbs went to sell them,67
14,איפההם ,Where are they ,where are they,100
15,הםבחורבותמחוץלעיר ,They're in the ruins outside town ,They are in ruins outside the city,75
16,בוא!,Come on!,Come on!,100
17,הזהבחזרלמקוםשבו מצאנואותו !,The gold has gone back to where we found it!,The gold goes back to where we found it!,85
18,היא שווה עשרה חודשי סבל ועבודה הבדיחההזאת!,This is worth ten months of suffering and labor this joke is!,She's worth ten months of suffering and this joke job!,78
19,ובכן האוורד מה עכשיו ,Well Howard what next I wonder ,Well Howard what now,72
20,אוכל שלוש ארוחות ביום חמש אם ארצה גג מעל ראשי ומשקה כל כמה זמן כדי לחמם אותי ,I'll have three meals a day five if I want  roof over my head and a drink now and then to warm me up ,I eat three meals on day five if I want a roof over my head and a drink every so often to keep me warm,81
21,יעריצואותי יאכילו ויתייחסו אליי כמו אל כוהן גדול על כך שאומר לאנשים מה שירצו לשמוע ,I will be worshipped fed and treated like a high priest  for telling people what they want to hear ,My exporters will feed and treat me like a high priest for telling people what they want to hear,84
22,מרפאים טובים נולדים כך לא לומדים ,Good medicine men are born not made ,Good healers are born so do not learn,64
23,אפילו אתה תסיר את כובעך כשתראה כמה מכבדים אותי ,Even you'll take off your hat when you see how respected I am ,Even you will take off your hat when you see how much I am respected,91
24,אני לא יודע מה זה אומר ,I don't know what that means ,I do not know what that means,95
25,לדעתי זה הכבוד הגדול ביותר שביכולתם להעניק ,I think it's the highest honor they can bestow ,I think this is the greatest honor they can give,74
26,מהאיתך ,How about yourself ,What about you,69
27,מה בכוונתךלעשות ,What do you aim to do ,What are you going to do?,80
28,אין לי מושג ,I haven't got any idea ,I have no idea,67
29,אתה צעיר ,You're young ,you are young,96
30,יש לך מספיק זמן להתעשר שלוש או ארבע פעמים ,You've got plenty of time to make three or four fortunes ,You have enough time to get rich three or four times,65
31,אתה יודע הרע מכול איננו כה נורא כשהוא סוף סוף קורה ,You know the worst ain't so bad when it finally happens ,You know the worst of all is not so terrible when it finally happens,80
32,מצבי אינו גרוע משהיה כשהייתי בטמפיקו ,I'm no worse off than I was in Tampico ,My condition is not worse than it was when I was in Tempico,68
33,איבדתי בשורה התחתונה כמאתיים דולר ,I'm out a couple of hundred dollars when you come down to it ,I lost about two hundred dollars in the bottom line,61
34,זה לא הרבה בהתחשב במה שדובסי איבד ,Not very much compared to what Dobbsie lost ,That's not much considering what Dobby lost,67
35,לא מבחינתי כל המקומות זהים ,No all places are the same to me ,Not all places are the same for me,88
36,תוכל להשאיר אצלך את האחוז שלי מרווח החמורים והעורות אם תשתמש בזה כדי לקנות כרטיס לדאלאס ,You can keep my share of what the burros and the hides'll bring  if you use it to buy a ticket to Dallas ,You can keep my percentage of donkeys and skins with you if you use it to buy a ticket to Dallas,75
37,בקר את אלמנתו של קודי ,See Cody's widow ,Visit Cody's widow,82
38,וחוץ מזה כעת יולי וקטיף הפירות ,And besides it's July and the fruit harvest ,And besides now July and the fruit picking,73
39,טוב בוא נזוז ,Well let's get going ,Well let's move,69
40,-להתראות קורטין ,- Goodbye Curtin ,- Goodbye Cortin,93
41,-בהצלחה  -גם לך ,- Good luck ,-good luck to you too,62
42,אנחנו עומדים לבנות שם בית ספר ,But there's a girl I know She can wait too ,We're about to build a school there,60
43,את בטוחה אני בטוחה -בסדר ,Maybe put your picture in the paper ,You're sure I'm sure - okay,60
44,"ולא איכפת לי אני לא רוצה ללמד בבי""ס כדי שהם בונים כדי שיוכלו לגנוב כסף ",I won't teach in a schoolhouse built so somebody can steal some money ,And I do not care I do not want to teach in school so they build so they can steal money,62
45,אז מה אתם עומדים לעשות ,You go right ahead ,So what are you going to do,62
46,רק תפיץ את השמועה על ווילי סטרק שניסה להביס את המושחתים בקרב יחיד ,I read your articles about Willie Stark Very convincing ,Just spread the word about Willie Stark trying to defeat the corrupt in a single battle,61
47,ווילי סטרק שיכל להציל את הילדים אם היינו רק מוכנים להקשיב לו ,It was Willie I couldn't have a man in class and Willie wanted to learn badly so I married him ,Willie Stark who could have saved the kids if we were just willing to listen to him,60
48,מצוין ,Excuse me l--,excellent,60
49,או כל דבר אחר לא תודה אני לא נראה לך ,-You don't love him Don't spoil anything ,Or anything else no thanks I do not look for you,64
