,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,אתה לא תאמין אבל זה אותו הדבר גם בשבילי,You won't believe this but I feel the same ,You will not believe but it is the same for me,70
1,-האלו,-Hello ,-Hello,100
2,צדקת כשאמרת שאני מאוהבת בו אני יודעת שהוא מתעב סקס הוא אמר לי את טועה ,You were right when you said I'm in love with him Your father hates sex I know that He told me ,You were right when you said I was in love with him I know he despises sex he told me you are wrong,82
3,שמעי סוזאנה תעזבי אותנו במנוחה בתור חברה אני פנטאסטית אבל בתור אוייבת אני הרבה יותר טובה,Susana leave us alone and stop being a pain I am a great friend but I can be even better an enemy ,Listen Susanna leave us alone as a friend I'm fantastic but as an enemy I'm much better,68
4,-ישמעו אותנו,-The passengers will hear us ,- They will hear us,73
5,אני בטוח ג'ינו ,I'm sure Gino ,I'm sure Gino,100
6,זה מה שאמרת לי אתמול ,That's what you told me yesterday ,That's what you told me yesterday,100
7,והייתי צריך לשלוח 12 אנשובים לבית לקוח ,I ended up driving 12 anchovies to a customer's house ,And I had to send 12 anchovies to a client's house,66
8,בגלל כתב היד הגרוע שלך ,That's 'cause of your lousy handwriting ,Because of your bad handwriting,72
9,אני לא מצליח לקרוא את הכתובות ,I can't read the address ,I can not read the addresses,85
10,אתה צריך להיות יותר בבית הספר  במקום לשייט לך עם בחורות במכונית שלי ,You ought to spend more time in school  instead of cruising around with broads in my car ,You should be more at school instead of cruising you with girls in my car,74
11,אז תלמד לקרוא ,Then you'd learn how to read ,Then you will learn to read,80
12,כעת בוא הזדרז ,Now come on hurry up ,Now come hurry,82
13,והפעם תחזיר לי את המכונית ,And this time bring the car back ,And this time return the car to me,67
14,ג'ינו אמרת שאוכל לקבל אותה הלילה מה אתה מנסה לעשות להרוס אותי ,Gino you said I could have it tonight What are you trying to do ruin me ,Gino you said I could get her tonight what are you trying to do to destroy me,82
15,אני לא בעסקי השכרת רכב ,I ain't in the rent-a-car business ,I'm not in the car rental business,76
16,בוא נלך הפיצה מתקררת ,Let's go The pizzas are getting cold ,Let's go The pizza cools down,74
17,ואל תמעך את הקופסאות ,And don't squish the boxes ,And do not crush the boxes,73
18,סע בזהירות!,Be careful how you drive!,Drive carefully!,67
19,"אקח ""דרך צדדית""",I'll take a rocky road ,"I will take a ""side road""",62
20,מסטיק ורוד בבקשה ,Pink bubble gum please ,Pink gum please,81
21,מסטיק ורוד ,Pink bubble gum ,Pink gum,70
22,כן זהו טעם החודש ,Yeah it's the flavor of the month ,Yes this is the taste of the month,69
23,הו תודה ,Oh thank you ,Oh thanks,76
24,מה אתה רוצה ,What do you want ,What you want,90
25,כן אתה מכיר אותה ,Yeah do you know her ,Yes you know her,83
26,אתה מכיר את שלושת הבחורות שמה ,Hey You know those three chicks over there - Where ,You know the three girls by her name,62
27,אתה לא מתכוון לשלושת היצורים החיזריים האלה  יושב שם אה ,You don't mean those three alien creatures  sitting over there do you ,You do not mean these three alien creatures sitting there ah,84
28,דייויד בדיוק סיפר לי שאפשר להשכיב אותן בקלות ,David's just telling me that they're easy lays ,David just told me that they can be laid down easily,63
29,אני לא מדמיין תקשיב גארי  אחיו של טומי מתייחס לבלונדה הזאת כאילו היא שייכת לו ,I'm not imagining Listen Gary  Tommy's brother screws that blonde like he owns her ,I can not imagine Tommy's brother Gary listening to this blonde as if she belonged to him,68
30,תראה אותן הן בתולות ,They're virgins ,Look at them both virgins,60
31,הן לא ,They're not ,They are not,70
32,אני יכול להבחין בכך בצורה שהן הולכות ,I can tell by the way they walk Right Rick ,I can tell by the way they go,76
