,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,אאל תדאג בקשר אלאליו אדוני ,- DDon't worry about hihim sir ,Do not worry about Alaliu sir,67
1,זוז כבר אף גדול ,Get a move on Big Nose ,Move already big nose,70
2,יש כאן אנשים שמחכים להיצלב ,There's people waitin' to be crucified out here ,There are people here waiting to be crucified,88
3,לא אבל אני רומאי ,- No but I'm a Roman ,No but I'm Roman,94
4,אין חוש הומור ,No sense of humor ,No sense of humor,100
5,אני מצטער ,- I'm sorry ,I'm sorry,100
6,לך ישר החוצה השורה בצד שמאל צלב לכל אחד ,Can you go straight out Line on the left one cross each Now,Go straight out the row on the left and cross to each,77
7,זהמשהושאמרתי ,Was it something I said ,That's something I said,83
8,דממה!,- Silence!,silence!,100
9,האיש הזה מפקד על לגיוןווומאי!,"This man commands a ""cwack"" legion!",This man is in command of the Legion Womai!,65
10,מחלקת צליבה ,Crucifixion party ,Crucifixion Department,82
11,בוקר טוב ,Morning ,Good Morning,74
12,יצפו בנו כשנצעד דרך העיר אז בואו נשמור על ההופעה ,Now we will be on a show as we go through the town so let's not let the side down ,We will be watched as we walk through the city so let's save the show,68
13,שימרו על קו ישר שלושה אורכים בינך והאיש שלפניך  וקצב קבוע ,Keep in a straight line three lengths between you and the man in front  and a good steady pace ,Maintain a straight line three lengths between you and the man in front of you and a constant pace,77
14,צלבים מעבר לכתף שמאל ואם תחזיקו את הגב צמוד לקורת הצלב ,Crosses over your left shoulders and if you keep your backs hard up against the cross beam ,Crosses over the left shoulder and if you hold your back close to the crossbar,77
15,מחלקת צליבה עודלא!,Crucifixion party ,Crucifixion department no more!,68
16,מחלקת צליבה לפיהשמאל קדימהצעד !,Crucifixion party by the left forward!,Crucifixion Department by Left Forward Step!,75
17,ממזריםברימזל!,You lucky bastards!,Bastards good luck!,72
18,תן לי להטות כתף אחי ,Let me shoulder your burden brother ,Let me tilt my brother's shoulder,71
19,תודה לך ,Oh thank you ,Thank you,86
20,מהאתהחושבשאתהעושה ,- HHey! Hey! - Hey what do you think you're doing ,What do you think you're doing?,82
21,זה לא הצלב שלי ,- Uh it's not my cross ,This is not my cross,80
22,שתוק והמשך לזוז ,- Shut up and get on with it!,Shut up and keep moving,65
23,זה ילמד אותך לקח ,That'll teach you a lesson ,It will teach you a lesson,73
24,אני אתן לכם עוד הזדמנות אחת ,I'm gonna give you one more chance ,I'll give you one more chance,86
25,הפעם אני לא רוצה לשמוע על וואובנים ,"This time I want to hear no ""Weubens """,This time I do not want to hear about Woven,79
26,או ווג'ינלדים ,"no ""Weginalds """,Or Vaginalds,75
27,כן ,- Yes sir ,Yes,60
28,אדוני יש אה יש לנו בראיין מה ,- Sir we uh we have got a Brian sir ,Sir there is ah we have an interview what,62
29,שלחת אותו לצליבה אדוני ,- What Uh you just sent him for crucifixion sir ,You sent him for crucifixion sir,83
30,רגע רגע ,Wait wait ,Wait a minute,73
31,כן אדוני ,- Yes sir ,Yes sir,100
32,או שתהיה בצרות ,- Or what - Or you'll be in trouble ,Or you'll be in trouble,85
33,תפסיקו לי את הצליבות אחרהצהריים שתוק!,You mean I might have to give up being crucified in the afternoons ,Stop me the crucifixions in the afternoon shut up!,63
34,לא יהיה לי מה לעשות ,I wouldn't have nothing to do ,I will have nothing to do,85
35,אה תודה ,Oh thank you ,Oh thanks,76
36,הוא מ הוא מ הוא מ הוא מט הוא מט,He's ma He's m He's ma He's mm He's mm,He m he m he m he is matte he is matte,63
37,הוא מטורף אדוני ,- He's mad sir ,He's crazy sir,62
38,תמשיך עם הסיפור ,- Anyway get on with the story ,Keep up with the story,64
39,אני מציע שנזוז בלי עיכובים נוספים ,I propose we go without further ado ,I suggest we move without further delays,69
40,כן ,- Yes sir ,Yes,60
41,אוילא!,Oh no!,Oh no!,100
42,רומאיםארורים!,- Bloody Romans!,Damn Romans!,67
43,נשארו עדיין כמה צלבים ,There's still a few crosses left ,There are still some crosses left,86
44,הנה אתה עולה אף גדול ,Up you go Big Nose ,Here you go up a big nose,84
45,אני לעולם לא שוכח פנים ,Don't worry I never forget a face ,I never forget a face,78
46,אני אכה אותך כל כך חזק רומאיטיפש!,- No I warn you I'm gonna punch you so hard you Roman git!,I'm going to hit you so hard Romantic!,63
47,שתוק חתיכתיהודי!,Shut up you Jewish turd!,"Shut up, Jew!",65
48,אנילאיהודי!,I'm not Jewish!,I am not jewish!,83
49,אנישומרוני!,- A Samaritan ,Anishamaroni!,61
50,שומרוני ,- A Samaritan ,Samaritan,90
51,זו אמורה להיות חלקה יהודית ,This is supposed to be a Jewish section ,This is supposed to be a Jewish plot,88
52,זה לא משנה ,It doesn't matter ,It does not matter,91
53,כולכם תמותו בתוך יום או יומיים ,You're all gonna die in a day or two!,You will all die in a day or two,79
54,אולי לך זה לא משנה רומאי אבלזהבהחלטמשנהלנו נכון יקירתי ,It may not matter to you Roman but it certainly matters to us doesn't it darling ,Maybe to you it does not matter Roman but it is definitely our manager right darling,70
55,לפי תנאי הכיבוש הרומי זו זכותנו להצלב בחלקה יהודית טהורה ,- Under the terms of the Roman occupancy we're entitled to be crucified in a purely Jewish area ,Under the conditions of Roman occupation it is our right to cross in a purely Jewish plot,62
