,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,לא!,No  ,No!,100
1,מוטב שנשאיר אותו איתנו ,It is best we keep him with us ,We better leave it with us,71
2,אני לא מצטרף לחבורה של גנבים ,I join no band of thieves ,I'm not joining a bunch of thieves,78
3,אבל אני אנהיג אתכם נגדהמונגולים ,But I will lead you against the Mongols ,But I will lead you against the Mongols,100
4,הו העכברהקטןינהיגאותנו!,The little mouse shall lead us!,Oh the little mouse will lead us!,84
5,הילד מדבר כמו מלך ,The boy speaks like a king ,The boy speaks like a king,100
6,אני עונד את החותם של בגדאד ,I wear the Seal of Baghdad ,I wear the seal of Baghdad,100
7,כל מי שיכול לגנוב קמיע שכזה הואאכןנחשבלגנב ,Anyone that could steal that amulet is a thief indeed ,Anyone who can steal such an amulet is indeed considered a thief,74
8,אתה הגנב החכם ביותר בינינו ,You are the cleverest thief among us ,You're the smartest thief among us,86
9,אני לא גנב החותם שייך לי ,I am no thief The Seal belongs to me ,I'm not a seal thief belonging to me,83
10,אבי הכליף נתן לי את זה לפני שהוא  לפני שהוא מת בידיים שלהמונגולים ,My father the Caliph gave it to me before he  before he died at the hands of the Mongols ,My caliph father gave it to me before he died before the Mongols,85
11,הכליף מת ,The Caliph is dead ,The caliph is dead,100
12,כן  הוא נבגד על ידי הנסיך קאסים ,He was betrayed by Prince Cassim ,Yes he is betrayed by Prince Kasim,76
13,עכשיו אתה מאמין לי ,Now do you believe me ,Now you believe me,92
14,עכשיואתהתבואאחריי ,Now will you follow me ,Now you will come after me,75
15,אין בנו אהבה למונגולים ,We have no love for the Mongols ,We have no love for the Mongols,100
16,אם הם ייפשטו על בגדאד עםדבריםששווהלגנוב אנחנו בקרוב נשדוד אותם ,If they've stripped Baghdad of everything worth stealing we will soon rob them ,If they raid Baghdad with things worth stealing we will soon rob them,73
17,אנחנו נרכב ביחד ואתה עבדאללה תהיההשומרוהמגןשלו ,We will ride together and you Abdulla shall be his guard and protector ,We will ride together and you Abdullah will be his guard and protector,91
18,אני עבדאללה ,Me Abdullah ,I am Abdullah,83
19,הטרוריסט של בגדאד יישמשכאחותלתינוקמייבב ,The terror of Baghdad nurse to a whimpering infant ,Baghdad's terrorist will be used as a nurse for a baby whining,61
20,הילד הזה לעולם לא ייבב ,The boy will never whimper ,This kid will never whine,75
21,ואם הוא ייצא לדרך רעב אתהתגוועברעב ,And should he go hungry you will starve ,"And if he sets out hungry, you will starve to death",74
