,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,היישר מהמופע הנצחי שלהם בדרום פילדלפיה חשבת שלא תראה אותם עוד אבל הנה הם!,Direct from their endless engagement in South Philadelphia You thought you'd never see them but here they are!,Straight from their timeless show in south philadelphia you thought you would never see them again but here they are!,72
1,כדורי הבסיס!,It's the baseballs!,Baseballs!,67
2,אימא שלך שלחה אותם ,Your mom sent them ,Your mother sent them,87
3,היית מאמין ,Can you believe it ,You would believe,69
4,בחייך זהו זה!,Come on! This is it!,"Come on, this is it!",100
5,זה הסיכוי האחרון שלך!,This is your last chance!,This is your last chance!,100
6,אתה חייב לתת לי איזו תגובה!,You got to give me some kind of reaction!,You must give me some response!,63
7,נו כבר!,Come on!,Come on!,100
8,אני זקוק לך!,I need you!,I need you!,100
9,אם וייס יציץ לתוך ראשי הוא יאש פז גם אותי ,If Weiss gets a look inside my head he's going to lock me up too ,If Weiss peeks into my head he's Pash me too,61
10,אני פוחד בירדי ,I'm scared Birdy ,I'm scared of Birdie,83
11,אני פוחד עכשיו יותר מאשר במלחמה  ושם פחדתי יותר מכל האחרים ,I'm more scared now than I was in the war  and I was more scared there than anybody I knew ,I am scared now more than in the war and there I was scared more than anyone else,85
12,דבר איתי שוב ,Talk to me again ,Talk to me again,100
13,היי בירדי איפה אתה ,Hey Birdy where are you ,Hi Birdy Where are you?,93
14,אוי לא!,Oh no!,Oh no!,100
15,נו נו  מה קרה לך ,Well now! What happened to you ,Oh well what happened to you,95
16,אם אימא שלך תראה אותך ככה היא תחטוף שבץ ,If your old lady saw you like this she'd have a stroke ,"If your mother sees you like that, she's going to have a stroke",72
17,טוב קזנובה ספר לי על דוריס עם הרבה פרטים ,Okay lover-boy! Tell me about Doris with plenty of details ,Well Casanova told me about Doris with a lot of details,75
18,אין מה לספר ,There's nothing to tell ,There is nothing to tell,89
19,אל תתחיל עם קטע הכבוד הג'נטלמני ,Don't give me this gentleman-of-honour crap ,Do not start with the gentlemanly section of honor,60
20,אני רוצה לשמוע על אתמול ,I want to hear about last night ,I want to hear about yesterday,66
21,אני לא בטוח שאני יכול להסביר לך ,I'm not sure I can explain it to you ,I'm not sure I can explain to you,96
22,ספר לי מה קרה ,Tell me what happened ,Tell me what happened,100
23,לא איתה איתי ,Not with her With me ,Not with her with me,100
24,אתמול בלילה עפתי ,Last night I flew ,Last night I flew,100
25,אני יודע איך זה לעוף ,I know what it feels like to fly ,I know what it's like to fly,87
26,עפת ,Oh you flew ,You flew,84
27,איך עפת ,How you flew ,How you flew,100
28,אני לא בטוח ,I'm not sure ,I'm not sure,100
29,כשאני עף זה כאילו בחלום ,When I fly it's like in a dream ,When I fly it's like in a dream,100
30,אבל זה לא חלום ,Only it's not a dream ,But this is not a dream,68
31,אי אפשר לנסח את זה במילים ,You can't put it into words ,It cannot be put into words,78
32,אתה עף כמו ציפור ,You can fly like a bird ,You fly like a bird,90
33,כשאני עף אני ציפור ,When I fly  I am a bird ,When I fly I'm a bird,88
34,זה נהיה מוזר מדי ,This is getting too weird ,It's getting weird too,89
35,חשבתי שתבין ,I thought you would understand ,I thought you would understand,100
36,אני לא מבין ,I thought you would understand ,I do not understand,61
37,-אני לא רוצה לשמוע על זה ,- I don't want to hear about it ,- I do not want to hear about it,95
38,-למה ,- Why ,-Why,100
39,כי נמאס לי מזה!,Because I'm tired of it!,Because I'm tired of it!,100
40,פעם היינו עושים חיים יחד ,We used to have fun together ,We used to make a living together,79
41,היום אתה תמיד מתבודד  עף בתוך הראש המזוין שלך!,Now you're always off by yourself  flying around inside your goddamn head!,Today you are always a loner flying inside your fucking head!,67
42,אני מקווה שהחלום הזה או מה שזה לא יהיה יסתלק ,I hope this dream or whatever it is goes away ,I hope this dream or whatever it is will go away,92
43,לא הייתי צריך לעזוב אותך ,I shouldn't have left you then ,I did not have to leave you,63
44,זה פועל הוא רק צריך עוד קצת זמן ,It's working He just needs a little more time ,It works he just needs some more time,80
45,אני לא עיוור ,I'm not blind ,I'm not blind,100
46,אני מצטער ש כדורי הבסיס לא עזרו ,I'm sorry the baseballs didn't work ,I'm sorry the base balls didn't help,76
47,אין טעם להמשיך בזה ,There's no sense in going on with this ,There is no point in continuing this,65
48,מצבו מידרדר ,His condition is deteriorating ,His condition is deteriorating,100
49,הוא בקושי זז הוא הפסיק לאכול ,He hardly moves anymore He's stopped eating ,He barely moved he stopped eating,76
50,נצטרך לחבר לו עירוי ,We'll have to put him on an IV ,We'll have to connect him to an infusion,69
51,-אוכל להישאר ו  ,- I could stay and  ,- I can stay and,80
52,-אתה צריך לחזור לפורט דיקס ,- You should be back at Fort Dix ,- You need to get back to Fort Dix,61
53,אני רק רוצה להיפרד ,I just want to say goodbye ,I just want to say goodbye,100
54,נתראה אחר כך במשרדי ,I'll see you in my office afterwards ,See you later at my office,71
55,פרטה תחזרי!,Perta! Come back!,Perta come back!,100
56,אל תדאג ,Don't worry ,Do not worry,87
57,לא אעזוב אותך שוב ,I'm not leaving you again ,I will not leave you again,78
58,"ד""ר וייס ביקש שאבוא לקרוא לך ",Doctor Weiss asked me to come and get you ,Dr. Weiss asked me to come and call you,84
59,אני לא עוזב אותו ,I'm not leaving him ,I'm not leaving him,100
60,-למה לא ,- Why not ,-Why not,100
61,אתה לא צריך לחזור לבית החולים ,Don't you have to go back to the hospital ,You do not have to go back to the hospital,96
62,אני לא חוזר ,I'm not going back ,I'm not coming back,92
