,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,דיוויד אל תשכח להאכיל את ברוזר ,- David Don't forget to feed Bruiser ,"David, do not forget to feed Bruzer",91
1,בוא ברוזר ,Come on Bruiser ,Come on the browser,76
2,ילד טוב זה יהפוך אותך לגדול וחזק ואתה תוכל לזכות באליפות ,Good boy That'll make you big and strong so you can win that championship ,This good boy will make you grow and be strong and you will be able to win the championship,72
3,דיוויד ,David ,David,100
4,דיוויד האם אתה יכול ללכת לאסוף את ג'ף ,David Oh would you go meet Jeff ,David Can you go pick up Jeff?,67
5,הג'ונסונים אומרים שהוא עזב לפני 5 דקות ,The Johnsons said he left about five minutes ago ,The Johnsons say he left 5 minutes ago,84
6,הוא בן 8 אמא ,- He's eight years old Mom ,He is an 8 year old mother,60
7,אני יודעת אבל אני לא אוהבת שהוא עובר דרך היער לבד ,- I know But I don't like him going through the woods alone ,I know but I do not like it passing through the forest alone,75
8,אני חושב שהוא יכול לעשות את זה וללכת חצי מייל לבד ,I think he can make it a half-mile on his own ,I think he can do it and walk half a mile alone,63
9,ועכשיו תמהר ואנחנו נשיג לנו כמה המבורגרים ואנחנו הולכים להפעיל מהזיקוקים האלה שלך ,Now you hurry up And we're gonna get some burgers and we're gonna set off those fireworks of yours ,And now hurry up and we'll get ourselves some burgers and we'm going to run from these fireworks of yours,77
10,בסדר ,- OK ,OK,100
11,בסדר ,- OK ,OK,100
12,בוא ברוזר ,Come on Bruiser ,Come on the browser,76
13,"מה זה ""מאצ'ו"" שכמותך ",What is it macho man ,"What is a ""macho"" like you?",68
14,אתה לא מפחד מרוח קטנה נכון ,Not afraid of a little wind are you ,You're not afraid of a little wind right,83
15,רואה ברוזר ,See Bruiser ,See the browser,69
16,זה מה שבנות אוהבות ,That's what girls like ,This is what girls love,71
17,בוא ילד ,Come on boy ,Come boy,84
18,אתה יודע מה הבעיה האמיתית שלי ,Wanna know my real problem ,You know what my real problem is,79
19,אני לא יודע מה אני רוצה מחיי יותר ,I don't know what I want out of life anymore ,I do not know what I want from my life anymore,84
20,אתה כלב קטן ואולי יהיה לך קשה להבין אבל ,As a young dog you might find that hard to understand but ,You are a small dog and you may have a hard time understanding but,67
21,חזור לאחור ג'ק!,Get back Jack!,Go back Jack!,88
22,יש לי אקדח!,I've got a gun!,I have a gun!,62
23,הו! ,- Oh!,Oh!,100
24,אני אהרוג אותך!,I'll kill you!,I'll kill you!,100
25,ברוזר ,Bruiser ,Browser,71
26,מה זה ברוזר ,What is it Bruiser ,What is a browser?,74
27,קדימה ילד עדיף שנחזור הביתה ,Come on boy We'd better get home ,Come on boy it's better we go home,85
28,ברוזר!,Bruiser ,Browser!,71
29,כאן ברוזר ,Here Bruiser ,Here's a browser,71
30,ברוזר כאן ברוזר ,Bruiser Here Bruiser ,Bruzer here is a bruzer,74
31,תפתח! חסר ערך קטן שכמותך אתה שומע ,Open up you little punk!,Open up! A little worthless like you,62
32,אמרתי תפתח!,I said open up!,I said open up!,100
33,מי את ,- Who are you ,Who are you,100
34,מי אתה ,- Who are you ,Who are you,100
35,אני דיוויד אני מתגורר כאן ,Uh I'm David I live here ,I'm David I live here,93
36,אני חושבת שטעית בבית יקירי ,Think you have the wrong house dear ,I think you were wrong in my dear home,68
37,איפה אמא שלי ,- Where's my mom ,Where is my mother?,69
38,אין לי מושג ,- I have no idea ,I have no idea,100
39,הו הלכת לאיבוד ,Oh are you lost ,Oh you got lost,80
40,היי מה אתה חושב שאתה עושה ,Hey! Where do you think you're going ,Hey what do you think you're doing,90
41,עכשיו רק דקה! אתה עושה טעות!,Now just a minute You've made a mistake!,Now just a minute! You're making a mistake!,90
42,הו!,- Oh!,Oh!,100
43,לארי!,Larry!,Larry!,100
