,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,﻿מירנדה התעמתה איתו וזה לא לקח הרבה עד שהוא התקפל ,Miranda confronted him and it didn't take him long to fold ,Miranda confronted him and it did not take long until he folded,89
1,אני אובססיבי ,I'm obsessed ,I'm obsessed,100
2,-אובססיבי עם דוגמניות ,- Obsessed with models - Correct ,-Obscible with models,67
3,אז מה אני הזקן האינלקטואלי בשבילך ,Your intellectual beard for the evening ,So what am I the intellectual old man for you,62
4,את חייבת להודות שפגשת כמה אנשים נחמדים ,You gotta admit you met some nice people ,You have to admit you met some nice people,88
5,היה לך יופי של זמן אוקי ,You had a good time Okay ,You had a beauty of time ok,71
6,היית בדייט עם דוגמן  ואפילו לא ידעת על זה ,You were on a date with a modelizer  and you didn't even know it ,You were on a date with a model and did not even know about it,83
7,אם גבר כמו ניק יוצא עם דוגמניות איזה צאנס יש לנשים הפשוטות ,If men like Nick are dating models what chance do ordinary women have ,If a man like Nick goes out with models what a chance ordinary women have,83
8,את חייבת להיות דוגמנית על כדי להשיג דייט בניו יורק ,Do you have to be a supermodel to get a date in New York ,You must be a supermodel to get a date in New York,85
9,הם צעד אחד אחרי נואפים  שישכבו עם כל דבר שלובש חצאית ,They're a step beyond womanizers  who will sleep with just about anything in a skirt ,They are one step behind adulterers who will sleep with anything wearing a skirt,71
10,דוגמנים לא אובססיבים עם נשים אלא עם דוגמניות שברוב הערים מצאות על לוחות מודעות ובמגזינים  אבל במנהטן למעשה מתרוצצות ברחובות ,Modelizers are obsessed not with women but with models  who in most cities are safely confined to billboards and magazines  but in Manhattan actually run wild on the streets  turning the city into a virtual Model Country Safari  where men can pet the creatures in their natural habitat ,Models are not obsessed with women but with models that in most cities are found on billboards and magazines but in Manhattan actually run around the streets,68
11,הם טיפשים ועצלנים וצריך לירות בהם אני יצאתי עם המון גברים  והם אומרים שאני יפה כמו דוגמנית אבל אני עובדת למחייתי ,They're stupid and lazy and should be shot on sight I've been out with lots of guys  and they say I am just as beautiful as a model but I work for a living ,They are stupid and lazy and need to be shot I went out with a lot of men and they say I am beautiful as a model but I work for a living,81
12,אני כמו ובכן  אני כמו דוגמנית שלקחה את הדרך הגבוהה ,I'm like well-- I'm like a model who's taken the high road ,I'm like well I'm like a model who took the high road,90
13,"היתרונות של דוגמנית ושל נשים יפות בד""כ כ""כ לא צודק זה גורם לי להקיא ",The advantages given to models and to beautiful women in general  are so unfair it makes me puke ,The benefits of being a model and of beautiful women are usually so unfair it makes me vomit,70
14,"-מותק את כ""כ חמודה ",- Sweetheart you are so cute ,- Baby you're so cute,58
15,-חמודה לא נחשב בעיר הזאת ,- Cute doesn't cut it in this town ,-Cute is not considered in this city,57
16,איך חמודה משתווה לדוגמנית-על ,What's cute compared to supermodel ,How cute compares to a supermodel,81
17,"אין שום דבר ששווה כמו להעלות את נושא בין ארבע נשים רווקות כדי ""לתבל"" ערב של יום שלישי משעמם ",There's nothing like raising the subject of models among four single women  to spice up an otherwise dull Tuesday night ,"There's nothing like raising the issue between four single women to ""spice up"" a dull Tuesday night",79
18,יש להם את המבט המרוחק הסקסי ,They have this distant sexy look ,They have the sexy distant look,92
19,זה רעב במסעדות הכי טובות ,That's starvation in the best restaurants ,It's hungry in the best restaurants,66
20,מה שאני רוצה לדעת זה  מתי כל הגברים התאספו והחליטו  שהם יצאו רק עם גירפות עם חזה ענק ,What I wanna know is  when did all the men get together and decide  that they would only get it up for giraffes with big breasts ,What I want to know is when all the men got together and decided they were just going out with giraffes with huge breasts,74
21,בתרבויות מסוימות נשים כבדות עם שפם נחשבות יפות ,In some cultures heavy women with mustaches are considered beautiful ,In some cultures heavy women with mustaches are considered beautiful,100
22,את מסתכלת עלי בזמן שאת אומרת את זה ,You're looking at me while you're saying that ,You look at me as you say this,69
23,אנחנו חייבות להודות שאנחנו נמצאות בעידן  שקידום דורש סטנדרטים של יופי,We should just admit that we live in a culture  that promotes impossible standards of beauty ,We must admit that we are in an age where promotion requires standards of beauty,64
24,-חוץ מגברים שחושבים שהכל אפשרי ,- Except men think they're possible - Yeah ,-Except men who think anything is possible,68
25,-כן  לא משנה כמה טוב אני מרגיש עם עצמי  iאם אני רואה את כריסטי ארלינגטון אני רוצה להיכנע ,No matter how good I feel about myself  if I see Christy Turlington I just wanna give up ,-Yes no matter how good I feel about myself if I see Christy Arlington I want to surrender,76
26,אני רוצה להכריח אותה לאכול שומן אבל זה ההבדל ביני ובינך ,I wanna force-feed her lard but that's the difference between you and me ,I want to force her to eat fat but that's the difference between me and you,84
27,על מה את מדברת ,What are you talking about ,What are you talking about,100
28,תסתכלו על שתיכן אתן יפיפיות ,Look at you two You're beautiful ,Look at you both you will be beautiful,77
29,"-אוי באמת  אני לא יכולה לפתוח מגזין בלי לחשוב ""ירכים ירכיים ירכיים""","I can't even open a magazine without thinking ""thighs thighs thighs ""","-Oh really I can not open a magazine without thinking ""hips hips hips""",62
30,אני אקח את הירכיים שלך ירים לך את הסנטר ,I'll take your chin and raise you a-- What ,I'll take your hips and lift your chin,69
31,אני אקח את הסנטר וירים לך את  מה ,I'll take your chin and raise you a-- What ,I'll take your chin and shoot you what,87
32,אוי באמת ,Well not yet ,Oh really,57
33,אני במקרה אוהבת את איך שאני נראית ,I happen to love the way I look ,I happen to love the way I look,100
34,את משלמת מספיק בשביל זה ,You paid enough for it ,You pay enough for it,93
35,אני לא מאמינה בניתוח פלסטי ,I do not believe in plastic surgery ,I do not believe in plastic surgery,100
36,-ובכן עדיין לא ,Well not yet ,-Well not yet,100
37,"אני מוצאת את זה מרתק שארבענשיםיפות  יכולות להרגיש מאויומות ע""י פנטסיות לא מציאותיות",I find it fascinating that four beautiful flesh and blood women  could be intimidated by some unreal fantasy ,I find it fascinating that beautiful beauties can feel intimidated by unrealistic fantasies,71
38,אני מתכוונת תסתכלי ,I mean look Look at this ,I mean look,63
39,סתכלי על זה האם זה באמת מפחיד אתכן ,Is this really intimidating to any of you ,Look at it if it's really scaring you,59
40,-אני שונאת את הירכיים שלי ,- I hate my thighs ,- I hate my hips,60
41,יש לי את השמלה הזאת ,I have that dress ,I have this dress,88
42,פתאום נהייתי מסוקרנת ,Suddenly I was interested ,I suddenly became intrigued,65
43,אם דוגמנים יכולים לגרום לנשים רציונליות  להתקפל למראן אז כמה באמת חזק כוחו של היופי ,If models could cause otherwise rational individuals  to crumble in their presence exactly how powerful was beauty ,If models can make rational women fold into Maran then how really powerful is the power of beauty,60
44,יש שתי טיפוסי גברים שמעונינים בנשים יפות ,There are two types of guys that fall for beautiful women ,There are two typical men who are interested in beautiful women,63
