,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,אלוהים ינצור את המלכה,God save the queen,God will cast the queen,63
1,את מדברת יותר מדי!,You talk too much,You're talking too much!,85
2,אם היית יודע כמה דיברת לא הייתי מתעורר מהתרדמת שלי,If I'd known how much you talked I'd never have come out of my coma,If you knew how much you hadn't been wake up from my coma,63
3,הדבר הזה שוקל טון!,- This thing weighs a ton,This is weighing a tone!,78
4,כמה ברי מזל אתם עורכי הדין!,How lucky you lawyers are,How lucky you are the lawyers!,93
5,כמעט התחתנתי עם עורך דין,I almost married a lawyer,I almost got married with a lawyer,85
6,הייתי נוכחת בניתוח התוספתן שלו והתארסנו בדיוק בתקופה בה הוא יכול היה לשבת ואז הוא קיבל צפקת והוא הלך ככה  הוא בהחלט היה עורך דין בר מזל,I was in attendance for his appendectomy and we became engaged as soon as he could sit up And then peritonitis set in and he went like that He certainly was a lucky lawyer,I was present in his appendicium and we got engaged exactly the time he could sit and then he got a constellation and he went like this he was definitely a lucky lawyer,67
7,תזכור היה לנו התקף לב קטנטן,Remember we had a teeny-weeny heart attack,Remember we had a tiny heart attack,88
8,ויליאמס המקל שלי,Williams my cane,My stick Williams,67
9,הנה הוא בא!,Here he comes!,Here he comes!,100
10,אחר צהריים טובים,Good afternoon,good afternoon,100
11,תודה רבה לכולכם,Thank you very much,thank you all,62
12,סר וילפריד אם לא אכפת לך ארצה לקרוא שיר לברך את שובך,Sir Wilfrid if you don't mind I'd like to read you a poem to welcome you back,Sir Wilfried if you don't mind Israel to read a song to greet your return,67
13,נוגע ללב,Very touching,Touching,76
14,תוכלי לדקלם אותו אחרי שעות העבודה בזמנך הפנוי,You can recite it after office hours in your own time,You can recite it after working hours in your spare time,77
15,עכשיו לחזור לעבודה,Now back to work,Now go back to work,91
16,-כלום,Nothing,-is nothing,82
17,אל תדאגי הם לא יקבלו אותו בחזרה,They won't take him back,Don't worry they won't get it back,66
18,הוא לא באמת השתחרר את יודעת הוא גורש כיוון שהתנהג לא ראוי בתור חולה לב!,He wasn't really discharged you know he was expelled for conduct unbecoming a cardiac patient,"He did not really let go of you, he was expelled because the behavior is unworthy as a heart patient!",60
19,שימי את אלה במים פה-גדול!,Put these in water blabbermouth!,Put these in a big mouth!,62
20,כנס קרטר,Come on in Carter,Carter conference,65
21,תסתכל על החדר הזה,Look at this room,Look at this room,100
22,הוא מכוער זקן ומעופש,It's ugly old and musty,Is an old and beloved ugly,61
