,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,מה קרה ,Charlotte what happened ,What happened,72
1,זה זז ,Is it moving ,It's moving,78
2,-לא ,-No ,-No,100
3,איך עוצרים את זה ,How does it stop ,How to stop it,73
4,שארלוט!,Charlotte!,Charlotte!,100
5,עם המעצור יד ,With the handbrake ,With hand stop,69
6,אל תדחף תמשוך ,Don't push pull ,Do not push and pull,74
7,הוא שואל איך עוצרים ,He's asking how it stops ,He asks how to stop,70
8,זה עצר ,It stopped ,It stopped,100
9,תמשוך את המוט האמצעי!,Pull the middle lever down ,Pull the middle rod!,67
10,אני לא שומע דבר ,I don't hear anything Nothing ,I hear nothing,65
11,העץ!,My tree ,The tree!,67
12,בעלי ישלם על הנזק ,My husband will pay for all the damage ,My husband will pay for the damage,94
13,מצטער ,Sorry ,Sorry,100
14,אני לא יודע איך עוצרים ,I don't know how it stops ,I do not know how to stop,80
15,עם המוט!,With the handbrake ,With the pole!,65
16,תקבל טרקטור חדש ,You'll get a new tractor ,You'll get a new tractor,100
17,תמשוך את המוט!,Pull the lever down ,Pull the pole!,75
18,שארלוט!,Charlotte!,Charlotte!,100
19,אני אתן לך סם הרגעה ,I'll give you a tranquillizer ,I'll give you a sedative,72
20,האורות דולקים!,The lights are on ,The lights are on!,100
21,אני לא שומע!,I can't hear anything ,I can not hear!,69
22,הוא רוצה ללכת אחורה לגינה ,He wants to go to the back in the garden ,He wants to go back to the garden,90
23,הוא יפסיק במוקדם או במאוחר כשיגמר לו הדלק ,It will stop sooner or later When it runs out of petrol ,He will stop sooner or later when he runs out of gas,82
24,שמעתי שהיה לך אי הסכמה עם מר פורסשום ,I heard you had a disagreement with Mr Fourchaume ,I heard you had a disagreement with Mr. Forschom,94
25,אי הסכמה ,Disagreement ,Disagreement,100
26,שארלוט סיפרה לך שיש לי הצעה בשבילך ,Did Charlotte tell you I have a proposition to make ,Charlotte told you I have an offer for you,67
27,לא היה לנו זמן לדבר על כך ,We didn't have time to talk about that yet ,We did not have time to talk about it,81
28,אני אתקע בחצוצרה כשאסיים ,I'll toot when I'm done ,I'll stick the trumpet when I'm done,71
29,קראת את החוזה שהכנתי ,Did you read my contract ,You read the contract I made,81
30,איזה חוזה ,Which contract ,What a contract,76
31,זה שהדפסתי אצל הדוקטור נתתי אותו לשארלוט ,The one I typed at the doctor's I gave it to Charlotte ,The one I printed at the doctor's I gave it to Charlotte,87
32,הדפסתי אותו בעצמי ,I typed it myself ,I printed it myself,83
33,מה קורה ,What's happening ,What's going on,65
34,הוא משוגע!,He's crazy ,He's crazy!,100
35,-סליחה!,Sorry ,-Sorry!,100
36,אתה לא יכול לעזוב אותי לנפשי ,Can't you leave me alone ,You can not leave me alone,96
37,אני רק רוצה קצת שקט ושלווה ,I want some peace and quiet ,I just want some peace and quiet,92
38,תודה גב פורסשום ,Thanks Mrs Fourchaume ,Thanks Ms. Porschom,62
39,לא נתת לאנדרי את החוזה ,Didn't you give André my contract ,You did not give Andre the contract,87
40,אלוהים אדירים מה קרה ,Good God what happened ,My God what happened,81
41,אני אעזור לך ,I'll help you ,I'll help you,100
42,לא צריך ,No need ,Do not need,78
43,תן יד ,Give me a hand ,Give a hand,88
44,מר פורסשום טובע ,Mr Fourchaume's drowning ,Mr. Forschum is drowning,81
45,אלוהים אדירים לואיס-פיליפ ,Oh my God Louis-Philippe ,"My God, Louis-Philip",88
46,מה קרה ,What's happening ,What happened,76
47,מר פורסשום נפל פנימה ,Mr Fourchaume fell in ,Mr. Forschom fell inside,77
48,הכובע! הכובע ,They can't hear me ,the hat! the hat,61
49,הוא צריך להיות איפשהו שם ,He must be there somewhere ,He needs to be somewhere,76
50,תן לי יד ,Give me a hand ,give me your hand,77
51,הראש שלי ,My head ,my head,100
52,זה כואב יקירי ,Darling does it hurt ,It hurts darling,83
53,מה קרה לאנדרי ,What happened to André ,What happened to Andrei?,95
54,החבר האיטלקי שלך רציני ,Is your friend from Italy serious ,Your Italian boyfriend is serious,82
55,לא יודע ,I don't know ,Do not know,78
56,"הוא הציע לי הצעה בקשר ל""מתרחץ הקטן"" ",He made me a proposition regarding the Little Bather ,"He made me an offer regarding the ""little bather""",85
57,ומה ענית ,Did you hear anything ,And what did you answer,64
58,אני אשמור את הקייק שלי בשבילך ,But I'll reserve my kayak for you ,I'll keep my cake for you,62
59,אני לא רוצה את הקייק ,I don't want the kayak ,I do not want the cake,68
60,"חתמת על החוזה של ה""מתרחץ הקטן"" ",Did you sign for the Little Bather ,"You signed the contract of the ""little bather""",74
61,איך זה יכול להיות ,How can that be ,How can it be,86
62,החוזהשלי  אני אלך להביא אותו ,My contract  I'll go get him ,My contract I'll go get it,94
