,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,מה  ,What ,what,100
1,פומפי הבא שתיים שלוש קופסות צבע ,Pompey bring two or three of those paint cans ,Next pump two three color boxes,61
2,יש לך אקדח נכון ,- You have a gun right ,You have the right gun,86
3,-כן ,- Yes ,-Yes,100
4,פגע בקופסה ,Hit that can ,Hit the box,61
5,צליין אתה צריך לדרוך ,- Pilgrim you got to cock it ,Pilgrim you need to step on,64
6,-שכחתי ,- I forgot ,-I forgot,100
7,אזן אותו בקלילות בידך ואל תמשוך את ההדק בפתאומיות ,Balance it light in your hand and don't jerk the trigger ,Balance it lightly in your hand and do not pull the trigger abruptly,81
8,תסחט אותו ,Squeeze ,Squeeze it,82
9,אתה לא צריך ללמד אותי ,You don't have to coach me ,You do not have to teach me,72
10,תן לי את הדבר הזה ,Give me that thing ,Give me this thing,78
11,אראה לך עד כמה זה קל ,I'll show you how easy it is ,I'll show you how easy it is,100
12,קח את הקופסות האלה ,Take these cans ,Take these boxes,77
13,הנח אותן על שלושה העמודים ,Put them on those three posts ,Place them on the three pillars,70
14,זהו זה ,That's it ,that's it,100
15,בעמוד הראשון ,On the far post ,On the first page,69
16,שם ,- There ,There,100
17,לא שם!,Not there!,not there!,100
18,על העמוד המרוחק ,On the far post ,On the far page,80
19,כעת הנח את האחרונה במרכז ,Now put that last one in the middle ,Now place the last one in the center,68
20,צליין ,Pilgrim ,Pilgrim,100
21,אני שונא תכסיסים צליין אבל זה מה שמחכה לך בהתמודדות עם ואלאנס ,I hate tricks pilgrim but that's what you're up against with Valance ,I hate pilgrim tricks but this is what awaits you in dealing with Valance,78
22,הוא מהיר כמעט כמוני ,He's almost as fast as I am ,He's almost as fast as I am,100
23,גם אני עצמי לא אוהב תכסיסים אז אנחנו תיקו ,I don't like tricks myself so that makes us even ,I myself do not like tricks so we are a draw,63
24,צליין שכחת את אקדח הפקקים שלך ,Pilgrim you forgot your popgun ,Pilgrim you forgot your corkscrew,73
25,רוף מקמארד ,Ruf McMard ,Roof McMard,86
26,קיינטאק ,Kaintuck ,Kentuck,80
27,קיינטאק!,Kaintuck ,Kentuck!,80
28,השאר פה את הקנקן ,Leave the jug ,Leave the jar here,71
29,אני גאה בו כל כך ,I am so proud of him ,I'm so proud of him,87
