,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,מעניין אם אני דומה לקפלן ,I wonder if I look like Kaplan ,I wonder if I'm similar to Kaplan,76
1,"ידידנו שנמצא בעצרת האו""ם ",Our friend who's assembling the General Assembly this afternoon ,Our friend who is at the UN General Assembly,69
2,אל תהיי עצבנית ,Don't be nervous ,Do not be nervous,91
3,חדשות : לקפלן יש קשקשים ,Bulletin Kaplan has dandruff ,News: Kaplan has dandruff,73
4,לדעתי עלינו להסתלק ,Roger I think we should go ,I think we should get away,73
5,מאוחר מדי ,Too late ,too late,100
6,קראתלי אדוני ,-Elsie sir ,Cratley sir,60
7,מהשמך ,-What's your name ,What is your name,85
8,-אלסי ,-Elsie sir ,- Elsie,71
9,אתיודעתמי אני ,-Do you know who I am ,You know who I am,92
10,-אתה מר קפלן ,-You're Mr Kaplan ,- You're Mr. Kaplan,100
11,היכןראיתאותילראשונה ,When did you first see me ,Where did you first see me?,94
12,מחוץ לדלת ,Outside the door ,Outside the door,100
13,במסדרון לפניכמהדקות ,Out in the hall a couple of minutes ago ,In the hallway a few minutes ago,76
14,אתהלאזוכר ,Don't you remember ,do you remember,91
15,אתה לא נמצא כאן מר קפלן ,-You're Mr Kaplan ,"You're not here, Mr. Kaplan",78
16,איךאתיודעתשאנימרקפלן ,Then how do you know I'm Mr Kaplan -What ,How do you know that I'm Markplan,75
17,מה - איך את יודעת שאני מר קפלן ,Then how do you know I'm Mr Kaplan -What ,What - how do you know I'm Mr. Kaplan,93
18,זהוחדר796 לא ,This is Room 796 isn't it ,This room 796 no,73
19,ואתההאדוןבחדר796 נכון ,So you're the gentleman in Room 796 aren't you ,And you're the master in room 796 right,61
20,תודה אלסי ,All right Elsie thanks ,Thanks Elsie,71
21,לתלותזאתבארון ,-Should I hang it in the closet Mr Kaplan ,Hang it in the closet,69
22,אמור לי  מתינתתילך את החליפההזו ,Tell me   What time did I give you that suit ,Tell me when I gave you this suit,77
23,נתתילךאותהאישית ,-Did I give it to you personally ,I gave it to you personally,90
24,טוב לפגוש אותך מר קפלן ,Nice to meet you Mr Kaplan ,Good to meet you Mr. Kaplan,81
25,אני חושב שאיש במלון לא ראה את קפלן ,I'm beginning to think that no one in the hotel has actually seen Kaplan ,I think no one at the hotel saw Kaplan,67
26,אולי חליפתו עושה אותו רואה ואינו נראה  בואי נראה משהו ,Maybe he has his suits mended by invisible weavers Let me see something ,Maybe his suit makes him see and does not look let's see something,63
