,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,מאת המלך!,From the king ,By the King!,75
1,-כן!,Yea!,-Yes!,67
2,-כ  כן ,- Y-yea ,"- Yes, yes",67
3,"""האם עמד הוא בכל מבחני הגבורה """,Hath he passed all test of valor ,"""Did he pass all the tests of heroism""",65
4,"""האם עטור הוא כעת באצילות אמיתית """,Now doth he flower with true nobility ,"""Is crowned is now in true nobility""",62
5,"""גלוהו כעת בפני שליטו הריבוני """,Reveal him now to his sovereign liege ,"""Exile now before his sovereign ruler""",60
6,-מהר יותר ,Faster ,-Faster,100
7,-מהר יותר ,Faster ,-Faster,100
8,-מהר יותר ,Faster ,-Faster,100
9,אבל אני  ,B-but I!,but I,83
10,"""אמונים נאמנות   הרטיבו שפתיו ביין האמיצים """,Fealty loyalty moisten his lips with the vigorous wine ,"""Loyal loyalties wet his lips with the brave wine""",69
11,-כן!,- Yea!,-Yes!,67
12,"""כעת כסמל הכבוד וההגינות בואו נעטר קסדתו בציצית """,Now as the symbol of honor and dignity let us beplume him and helmet his brow ,"""Now as a symbol of honor and fairness let's crown his helmet with a tassel""",72
13,בהתחשב בנאמנות המוסרית שהפגנת ומעשי הכבוד שעשית -מאחר ונמצאת ראוי לכבוד הזה -אבל אדוני  כמו תמיד כמצווה עליך וכנתין טוב ונאמן  אני ממנה אותך כעת לאביר הממלכה ,Considering the virtuous fidelity you have shown and the honorable exploits that you have done having given proof of that honor having given proof of that honor  as always as is the part of a good and faithful subject ,Considering the moral loyalty you have shown and the acts of honor you have done -because you are worthy of this honor -but my lord as always as a mitzvah for you and as a good and faithful subject I now appoint you to the Knight of the Kingdom,63
14,קום סר ג'אקומו!,Arise Sir Giacomo ,Get up Sir Giacomo!,74
15,כעת אם מי מהאבירים כאן מתנגד לנשואין אלו שיאמר את דברו כעת או שינצור את לשונו לעולם ,Now if any knight present objects to this marriage let him now step forward or forever hold his tongue ,Now if any of the knights here oppose this marriage he will say his word now or keep his tongue forever,68
16,גם אני אוהב את הנסיכה ואלחם על ליבה ,I too love the princess and would fight for her heart ,I too love the princess and will fight for her heart,95
17,אני מזמן בזאת את ג'אקומו לקרב של חיים ומוות!,I hereby challenge in mortal combat Giacomo!,I hereby summon Giacomo to a battle of life and death!,60
18,ג'אקומו!,Giacomo!,Giacomo!,100
19,אביר הממלכה!,Knight of the realm!,Knight of the Kingdom!,65
20,מגן הארץ!,Defender of the soil!,Shield of the land!,68
21,ושומר הכתר!,And protector of the crown!,And the crown guard!,67
22,לא תיאלץ להלחם אשלח הודעה השועל השחור יבוא וילחם במקומך!,You won't have to fight I'll send a message the Black Fox will come and fight in your place!,You will not have to fight I will send a message The black fox will come and fight for you!,83
23,השועל השחור ,The Black Fox ,The black fox,100
24,קום וקבל את האתגר!,Get up accept the challenge!,Get up and accept the challenge!,93
25,השועל השחור נכון ,The Black Fox ,The black fox is right,74
26,-הוא יבוא וילחם במקומי ,Eh  he'll come and fight in my place ,- He will come and fight in my place,84
27,-כן ,- Yes ,-Yes,100
28,את בטוחה שהוא יבוא ,You're sure he'll come ,You're sure he's coming,80
29,ובכן אם ברצונך בדו קרב עד מוות אז דו קרב למוות תקבל! ומידיו של ג'אקומו אביר הממלכה! מגן הארץ ושומר הכתר  שומר הכתר!,Well if it's mortal combat you want then mortal combat you shall have and at the hands of Giacomo knight of the realm defender of the soil protector of the crown  protector of the crown!,Well if you want a duel to the death then a duel to the death you will get! And from the hands of Giacomo the Knight of the Kingdom! Magen Ha'aretz and the Crown Guard The Crown Guard!,61
30,מאוד מחוכם אבא ,Very clever father ,Very clever Dad,79
31,האבירות מחייבת את יודעת ,Well chivalry is chivalry you know ,Chivalry requires you to know,60
32,כן אני יודעת ,Yes I know ,Yes I know,100
33,זיכרי זאת ,Remember this ,Remember that,85
34,אם הוא ימות תמותי את ,if he dies you die ,"If he dies, you'll die",92
35,יש לנו טרף גדול יותר ,We have bigger game ,We have bigger prey,74
36,תיפסו אותו!,Get him!,Catch him!,62
37,-כן ,- Yes,-Yes,100
38,העלמה ג'ין מבקשת שתבוא ותלחם במקומו ,The maid Jean requests that you come and fight in his stead ,Miss Jin asks you to come and fight in his place,69
39,העצים נפלו וסלעים גדולים חסמו את המעבר!,The timbers have fallen and great rocks block the passage!,The trees fell and large rocks blocked the passage!,79
40,-בלתי אפשרי!,- Impossible!,-Impossible!,100
41,ללא המעבר לא נצליח לבצע פעולת הסחה וללא פעולת הסחה לא תהיה התקפה!,With no passage we can make no diversion and with no diversion no attack!,Without the transition we will not be able to perform a diversion and without a diversion there will be no attack!,62
42,האם ישנו איזה פתח ,Is there any opening ,Is there any opening,100
43,לא יותר מזה אדוני ,No more than that sir ,No more than that sir,100
44,ילד ילד  או אולי  ,A child a child  or perhaps  !,Child child or maybe,61
45,סוסי!,My horse!,Horses!,71
46,לאן תלך ,Where go you ,Where are you going?,77
47,להציל את הוקינס ,To save Hawkins ,Save Hawkins,89
48,לא להציל את אנגליה!,No to save England!,Do not save England!,81
49,אז נגזר על הוקינס למות!,Then Hawkins must die!,So it was up to Hawkins to die!,63
50,כן ,Yes ,Yes,100
51,אך אם תכניתי תצליח אני יכול להבטיחך שיוברט הוקינס לא ימות לשווא!,But if my plan succeeds I assure you Hubert Hawkins will not have died in vain!,But if my plan succeeds I can assure you that Hubert Hawkins will not die in vain!,91
52,בפקודת הלורד הריבון הוד מלכותו המלך רודריק הראשון הטורניר המלכותי הזה נפתח רשמית!,By order of his sovereign lord highness King Roderick the First this royal tournament is officially begun!,By order of Lord Sovereign His Majesty King Roderick I this royal tournament officially opens!,80
53,איפה השועל השחור מה מעכב אותו ,Where's the Black Fox What's delayed him ,Where is the black fox what is holding him back,78
54,גשם יורד בגבעות יתכן והנהר עלה על גדותיו ,There's rain in the hills perhaps the river is swollen ,Rain falling in the hills It is possible that the river overflowed,63
55,הוא בטח יגיע בדרך החוף ,He'll be taking the coast road ,He'll probably get there by the coast,69
56,עדיף שתעיפי מבט ,You better have a look ,You better take a look,77
57,ההתמודדות הראשונה תהיה קרב עד מוות על ידה של גוונדלין הנאווה ,The first contest will be a battle to the death for the hand of the fair Gwendolyn ,The first confrontation will be a battle to the death by Gwendolyn Nava,75
58,הקרב יהיה בין סר גריזוולד ממאקלוין וסר ג'אקומו מאיטליה ,It will be fought by Sir Griswold of Mackalwane and Sir Giacomo of Italy ,The battle will be between Sir Griswold of Macloin and Sir Giacomo of Italy,79
59,שני האבירים האמיצים יבחרו את נשקם ויכנסו לזירת הכבוד וילחמו בדו קרב עד מותו של אחד מהם ,These two bold knights will choose weapons and enter upon the field of honor and fight in mortal combat until one of them lies dead ,The two brave knights will choose their weapons and enter the arena of honor and fight in a duel until the death of one of them,77
60,לא הם  יתפסו אותי לבסוף ויהרגוני ,No they'd  they'd only catch me and kill me ,No they will finally catch me and kill me,72
61,התוכל אי פעם לסלוח לי ,Can you ever forgive me ,Can you ever forgive me,100
62,אין על מה לסלוח ,There's nothing to forgive ,There is nothing to forgive,91
63,הוקינס היקר ,Dear Hawkins ,Dear Hawkins,100
64,סר ג'אקומו!,Sir Giacomo!,Sir Giacomo!,100
65,ומקומך העלמה ג'ין ביציע ,And you maid Jean in the stands ,And Miss Jin's place in the stands,71
66,אם אמות אנא התפללי שאמות בגבורה ,If I die just pray that I die bravely ,"If I die, please pray that I will die heroically",62
67,לא תמות ולא תצטרך להלחם בו ,You'll not die you'll not have to fight him ,You will not die and you will not have to fight him,79
68,מה ,What ,what,100
69,הקשב שמתי כמוסת רעל באחד מכלי הקיבול ,Listen I have put a pellet of poison in one of the vessels ,Listen I put a poison capsule in one of the containers,68
70,-באיזה מהם ,Which one ,-Which of them,73
71,-בזה בעל דמות העלי ,- The one with the figure of a pestle ,- In it has the figure of the leaf,63
72,-הכלי עם העלי ,The vessel with the pestle ,-The tool with the leaves,68
73,-כן ,- Yes ,-Yes,100
74,אך אסור לך לשתות מהכלי עם העלי אתה תשתה מהגביעון מהארמון ,But you don't want the vessel with the pestle you want the chalice from the palace!,But you must not drink from the vessel with the leaves you will drink from the cup from the palace,68
75,לא אשתה מהכלי עם העלי אשתה מהגביעון מ  ,I-I don't want the vessel with the pestle I want the chalice from the what ,I will not drink from the vessel with the leaves I will drink from the calyx from,65
76,הגביעון מהארמון!,The chalice from the palace!,The trophy from the palace!,72
77,אז בגביעון מהארמון נמצאת כמוסת הרעל ,Th-the chalice from the palace have the pellet with the poison ,So in the cup from the palace is the poison capsule,65
78,לא כמוסת הרעל נמצאת בכלי עם העלי ,The vessel with the pestle ,No poison capsule is in the vessel with the leaves,66
79,הו העלי עם הכלי ,The vessel with the pestle ,Oh the leaves with the tool,64
80,הכלי עם העלי ,The vessel with the pestle ,The tool with the leaves,68
