,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,לא ,No ,No,100
1,מרגישה רע מפני שאמריקאי לא אכפת לו ממך ,Are you in a bad mood because the American doesn't care about you ,Feels bad because an American does not care about you,78
2,קדימה אני ידאג לך ,She can't take her eyes off you ,Come on I'll take care of you,60
3,ריקרדו!,Ricardo!,Ricardo!,100
4,למה אתה נתת אותה לאמריקאי הממזר ,And you would give her to that bastard American!,Why did you give it to the bastard American?,76
5,תודה ג'נגו ,Thank you Django ,Thanks Django,83
6,זו הפעם השניה שאתה מציל את חיי אני לא ישכח את זה ,You saved my life once more I won't forget it ,This is the second time you're saving my life I will not forget it,65
7,ותראה את מריה ,Look at Maria ,And look at Maria,87
8,תראה אותה ,Look at her ,Look at her,100
9,היא לא מסוגלת להסיר את עיניה ממך ,She can't take her eyes off you ,She can not take her eyes off you,91
10,קח אותה ,Take her!,Take her,100
11,היא מתנה בשבילך ,You see Maria ,She's a gift for you,61
12,לא תודה ,Thanks ,No thanks,80
13,אני מעדיף את זו ,The Gringo prefers the dark one!,I prefer this one,62
14,עשיתי כימטב יכולתי אבל האמריקאי לא רוצה אותך ,Are you in a bad mood because the American doesn't care about you ,I did my best but the American does not want you,60
15,אל תבכי עליו בואי תשתי איתנו ,Don't be hurt Come and drink with us!,Do not cry over him come drink with us,68
16,תתפשטי ,Get undressed ,Undress,70
17,אל תשימי לב מה אני עושה ,Don't pay attention to what I'm doing ,Do not pay attention to what I do,86
18,האם היא לא יפה הא ,Isn't she beautiful ,Is not she beautiful ha,81
19,היא יפה ,Isn't she beautiful ,She is beautiful,91
20,אני אומר שהיא יפה ,Isn't she beautiful ,I say she's beautiful,80
21,היי רק רגע ,Just a minute!,Hey just a minute,87
22,הסוסים!,The horses are fleeing!,The horses!,62
23,הסוסים בורחים!,The horses are fleeing!,The horses are running away!,61
24,אתה תצטרך גם לקחת אותי ג'נגו ,You have to take me with you Django!,You'll also have to take me to Django,81
25,בסדר מריה תעלי לעגלה ,This is a great night!,"All right, Maria, get on the cart",62
26,אתה צריך למהר ג'נגו אנחנו חייבים לזוז ,You have to take me with you Django!,You have to hurry Django we must move,69
27,קחי את העגלה דרך העמק זה קיצור דרך להעיירה הבאה ,Go through the valley and you'll get to the pass ,Take the cart through the valley it's a shortcut to the next town,60
28,שם את תהיי בטוחה ,You'll be safe there ,There you will be safe,81
29,ואתה ,And you ,And you,100
30,הפעם אני חייב לחצות הגשר הזה ,It's time for me to cross that bridge ,This time I must cross this bridge,73
31,חיכיתי מספיק זמן מספיק זמן שאני יכול סוף סוף לקבור את ג'נגו בארון הזה ,I waited a life an entire life waiting to bury Django in this casket ,I've been waiting long enough long enough that I can finally bury Django in this closet,61
32,תשאיר את כל הזהב כאן ג'נגו ,Let go of that gold Django!,Leave all the gold here Django,61
33,מה שחשוב נוכל להתחיל בחיים חדשים ,We'll start a new life together ,What matters is we can start a new life,60
34,ואתה תשכח מה קרה כאן ,And maybe you wouldn't make me forget ,And you will forget what happened here,67
35,אני אוהבת אותך ג'נגו ,I love you Django ,I love you Django,100
36,אם אני יקח אותך איתי  ואת  בטח גם תהרגי ,You have to take me with you Django!,If I take you with me and you're probably killed too,64
37,ג'נגו!,Oh Django!,Django!,80
38,ובכן אמיגו אנחנו נפגשים שוב ,Now that we meet again Django  ,Well Amigo we meet again,72
39,איפה הזהב ,Where is the gold ,Where is the gold,100
40,הסוס נבהל וארון נפל אני מניח שזה הגורל גנרל ,A horse stumbles a casket slips  lt's fate General ,The horse was startled and Arun fell I guess it's fate General,61
41,אנחנו חוזרים למקסיקו בכל אופן נכון ,We'll go back to Mexico anyway right ,We're coming back to Mexico anyway right,84
42,כן עכשיו אנחנו שווים ג'נגו ,Now we are even Django ,Yes now we are equal to Django,73
43,נכון מיגל ,Right Miguel ,That's right Miguel,77
44,תטפל טוב בידיים שלך ,Django your  your hands ,Take good care of your hands,64
