,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-אני מצטער על ההפרעה אבל אני מבין שאת חברה של דייוויד רוברטסון ,- I'm sorry to intrude like this but I understand you're a friend of David Robertson ,- I'm sorry for the interruption but I understand you're a friend of David Robertson,87
1,- של מי ,- Who ,- Whose,75
2,-של דייוויד רוברטסון ,- David Robertson ,- by David Robertson,91
3,כן במידה מסוימת אבל מי אתה ,Yes in a way but who are you ,Yes to some extent but who are you,71
4,חשבתי שאולי תדעי איפה הוא ,I thought you might know where he was ,I thought you might know where he is,90
5,אמרו לי במלון שאלה הדברים שלו ,I gather from the hotel that these are his things ,I was told at the hotel that these were his things,73
6,-כן ,- Yes ,-Yes,100
7,-אני מצטער ,- I'm sorry ,-I'm sorry,100
8,שמי מרטין נייט ,My name's Martin Knight ,My name is Martin Knight,89
9,אני מפיק טלוויזיה מאנגליה ,I'm a television producer from England ,I'm a TV producer from England,88
10,באתי עד הנה כדי לדבר איתו אבל אני לא מוצא אותו ,I've come all the way out to talk to him but I can't find him ,I came this far to talk to him but I can not find him,74
11,-אני אקח אותך אליו ,- Well I'll take you to him ,- I'll take you to him,89
12,-באמת ,- Really ,-really,100
13,זה נחמד מאוד מצדך ,That would be very kind ,That's very nice of you,65
14,אבל נראה שהיתה איזו אי הבנה ,I left a message for him at the Avis office but there seems to have been some misunderstanding ,But there seemed to be some misunderstanding,61
15,אני חושבת שהוא הזכיר אותך ,I think he mentioned you ,I think he mentioned you,100
16,אני צריכה לאסוף עוד מישהו שגם לו יש דברים ,I have to pick up somebody else with some more stuff ,I need to pick up someone else who has things too,69
17,טוב תודה רבה ,Thank you so much that's very kind of you ,"I'm good, thank you very much",61
18,זה נחמד מאוד מצדך ,Thank you so much that's very kind of you ,That's very nice of you,66
19,-תודה ,- Thank you ,-Thanks,67
20,-בוא ,- Come on ,-Come on,100
21,זאתהמזוודהשלך ,Is that your suitcase ,This is your suitcase,90
22,אנייכולהלשאולאותךשאלה עכשיו ,Can I ask you one question now ,I can ask your question now,91
23,-שאלה אחת כן ,Can I ask you one question now ,-One question yes,61
24,-רק אחת תמיד אותה שאלה ,- Only one always the same ,-Only always the same question,79
25,ממה אתה בורח ,What are you running away from ,What are you running away from?,100
26,תפני את הגב שלך למושב הקדמי ,Turn your back to the front seat ,Turn your back to the front seat,100
27,ברחתי מהכל ,I've run out of everything ,I ran away from everything,62
28,מאשתי ,My wife ,From my wife,74
29,מילד מאומץ ,An adopted child ,From an adopted child,86
30,מהכל חוץ מכמה הרגלים רעים שלא יכולתי להיפטר מהם ,Everything except a few bad habits I couldn't get rid of ,From everything except some bad habits I could not get rid of,85
31,היתה תאונה ,There was an accident ,There was an accident,100
32,כולם חשבו שאני מת ,Everyone thought I was dead ,Everyone thought I was dead,100
33,נתתי להם לחשוב ככה ,I let them think so ,I let them think that way,77
34,איןשוםדרךלהסביראתזה נכון ,There is no way to explain it is there ,There is no way to explain it correctly,75
35,אני חושב להיות מלצר בגיברלטר ,Now I think I'm going to be a waiter in Gibraltar ,I'm thinking of becoming a waiter in Gibraltar,76
36,בולט מדי ,Too obvious ,Too conspicuous,69
37,-אולי סופר בקהיר ,- Maybe a novelist in Cairo ,-Perhaps a writer in Cairo,60
38,-רומנטי מדי ,- Too romantic ,- Too romantic,100
39,-דמיוני מדי ,- Too romantic ,- Too imaginative,67
40,אז תלוי לצד מי אתה ,Then it depends on which side you're on ,So it depends on who you are,66
41,כן ,Yes ,Yes,100
42,כרגע מכרתי 000 5 רימוני יד 009 רובים והמון תחמושת לכמה אנשים  המנהלים מלחמה חשאית באיזשהו מקום בעולם ,I just sold 5000 hand grenades 900 rifles and a great deal of ammunition to some people fighting a secret war in an obscure part of the world ,I just sold 000 5 hand grenades 009 rifles and lots of ammunition to some people waging a secret war somewhere in the world,77
