,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-לקחתי את הילדים לטיול חופשה ,I took the children on a trip a holiday ,-I took the kids on a vacation trip,63
1,-אה כן ,Yes ,-Oh yes,67
2,מקום נחמד ,Very nice ,nice place,63
3,-כן מאוד נחמד ,Very nice ,"- Yes, very nice",82
4,מה את טווה ,- What's that you're sewing - Shirts ,What are you weaving,62
5,אני טווה להם חולצות קטנות האין הן חמודות ,I'm sewing them all little shirts Aren't they sweet ,I weave them little shirts that are not cute,65
6,זה נחמד ,That's nice ,It's nice,60
7,הם יאהבו אותן ,Yes they'll love those ,They will love them,63
8,אתה מסתורי מאוד ,You're being very mysterious ,You are very mysterious,82
9,לגבי מה ,What about ,about what,100
10,-הילדים היכן הילדים ,The children Our children ,-The children where the children,79
11,רצית שאהיה אימם אבל איזו אימא תסבול לא לדעת לאן הלכו ילדיה ,You want me to be their mother  but what mother can tolerate not knowing where her children have gone to I just want them to have a secret holiday It makes it special ,You wanted me to be their mother but what mother would suffer not to know where her children went,65
12,ואם משהו יקרה להם ,But what if something should happen to them ,And if something happens to them,75
13,אז מה יקרה ,Or happen to you ,So what will happen,63
14,או משהו שיקרה לך ,But what if something should happen to them ,Or something that will happen to you,66
15,אז זהו סוף העניין ,Still let that be an end to it ,So that's the end of it,60
16,לא רוצה לדבר על זה זכותך ,If you don't want to talk about it that's your right ,Do not want to talk about it your right,79
17,אלה הילדים שלך ,They're your children ,These are your children,77
18,אני סתם אם חורגת!,I'm just the stepmother!,I'm just a stepmother!,86
19,אבל המכשפה לא התכוונה לשים סוף לסיפור ,But the witch had no intention of letting that be an end to it ,But the witch did not intend to put an end to the story,65
20,היא ראתה אותו מגלגל את חוט הקסמים ובהינף קליל של ידה גנבה אותו לעצמה ,And with sly sleight of hand she stole it for herself ,She saw him rolling the magic thread and with a light wave of her hand stole it for herself,60
21,ובמהרה ראתה אותו מתגלגל בדרך קסם אל הילדים ,And soon she watched it wind its secret way towards the children ,And soon saw him rolling in a magical way to the children,61
22,היא נשאה את החולצות את הקללה הכירה בעל פה ,Shirts she carried  and a chill curse she knew by heart ,She wore the shirts and the curse she knew by heart,72
23,דגתם אותם בעצמכם ,Have you caught these fish yourselves ,You fished them yourself,69
24,כמה מחוכם!,How clever ,How clever!,100
25,איך מצאת אותנו ,How did you find us here ,How did you find us?,88
26,-היכן אבינו ,- Where's our father ,- Where is our father?,86
27,הוא כבר מגיע ,- He's just coming ,He's already coming,63
28,ראו הבאתי לכם מתנות ,Look I've brought you presents ,See I brought you presents,86
29,האין הן נחמדות ,Aren't they nice ,Aren't they nice,100
30,כל אחת עבודת ידי ,- I sewed each one by hand ,Each one is my handiwork,62
31,תודה לך ,- Thank you ,Thank you,100
32,-לבשו אותן שאביכן יוכל לראות!,Put them on Then your father can see them ,- Wear them that your father can see!,77
33,אבל איך יוכל אביהם לראותם כשחוט זה לא יעבוד ,But how can their father see them  when this thread won't work ,But how could their father see them when that thread would not work,80
34,היכן אחותכם ,Where's your sister ,Where is your sister?,97
35,אני מתגעגעת אליה ,I miss her ,I miss her,100
36,היא אמורה להיות כאן ,She should be here ,She's supposed to be here,70
37,החולצות ,Your shirt ,The shirts,60
38,-בנתיים המלך מאבד דרכו ביער וצועק: ילדים!,And all the while the king stumbles  lost in the forest and cries out ,-In the meantime the king loses his way in the forest and shouts: Children!,66
39,ילדים!,- Children!,Children!,100
40,והנסיכה רצה לחפש עזרה!,And the princess runs ,And the princess wanted to seek help!,63
41,בתי ,My daughter ,My daughter,100
42,בתי ,My daughter ,My daughter,100
43,-מה עוללת ,What have you done ,- What did you do?,67
44,כלום ,Nothing ,is nothing,82
45,מה מעשיך כאן ,What are you doing here ,What are you doing here,100
46,זהו המקום הסודי שלי ,This is my secret place ,This is my secret place,100
47,היכן הילדים שלי ,Where are my children ,Where are my children?,100
48,-האם הילדים נמצאים כאן ,Are the children here ,- Are the children here?,100
49,איני מסוגל להביט בך ,I can't look at you ,I can not look at you,95
50,-בבקשה הבט!,Please do ,-Please look!,80
