,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,הערב הכי חשוב בחיי  עד עכשיו ,The most important night of my life  until now ,The most important evening of my life so far,67
1,מצאתי את עצמי הולכת בערב הבא ובערב הבא ובבא אחריו ,I found myself going the next night and the next and the next ,I found myself going the next evening and the next evening and coming after it,66
2,ואז כשההצגה עברה מזרחה עברתי מזרחה ,Then when the show went East I went East ,Then when the show moved east I moved east,73
3,-איב למה שלא תתחילי בהתחלה ,- Eve why don'tyou start at the beginning ,- I hate why you should not start at the beginning,67
4,אני משערת שזה התחיל בבית ,I guess it started back home ,I guess it started at home,93
5,כלומר בוויסקונסין ,Wisconsin that is ,"That is, in Wisconsin",92
6,היינו רק אמא ואבא ואני ,It was just Mom and Dad and me ,We were just Mom and Dad and me,82
7,הייתי בת יחידה ,I was an only child ,I was an only child,100
8,הייתי מדמיינת המון כשהייתי ילדה ,I used to make believe a lot when I was a kid ,I used to imagine a lot when I was a kid,80
9,שיחקתי כל מיני דברים ,Acted out all sorts of things ,I played all sorts of things,70
10,אבל איכשהו משחק ודמיון החלו למלא את חיי יותר ויותר ,But somehow acting and make-believe began to fill up my life more and more ,But somehow play and imagination began to fill my life more and more,72
11,בדיה נראתה לי אמיתית יותר  ,Except that the unreal seemed more real to me  ,Fiction seemed more real to me,67
12,-אני מדברת ג'יבריש נכון ,- I'm talking a lot of gibberish aren't I ,- I'm speaking gibberish right,63
13,-בכלל לא ,- Not at all ,-Not at all,100
14,חקלאים היו עניים בימים ההם ,Farmers were poor in those days ,Farmers were poor in those days,100
15,זה מה שאבי היה חקלאי ,That's what Dad was a farmer ,This is what my father was a farmer,70
16,הייתי מוכרחה לעזור ,I had to help out ,I had to help,87
17,אז עזבתי את בית הספר עברתי למילווקי והפכתי למזכירה במבשלת בירה ,So I quit school went to Milwaukee became a secretary  in a brewery ,So I left school and moved to Milwaukee and became a secretary at a brewery,78
