,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,פעם ראיתי סרט בו הגיבור הראשי לא דיבר בחצי השעה הראשונה ,I once saw a film in which the main character didn't speak for the first half an hour ,I once saw a movie where the main character did not speak for the first half hour,84
1,כמונו ,Like us ,Like us,100
2,האם כל הדקות שהיינו יחד מסתכמות לחצי שעה ,Do all the minutes we've been together add up to half an hour ,Do all the minutes we were together add up to half an hour,92
3,הייתי שקוע לחלוטין במה שעלול לקרות כי הכל היה אפשרי ,I was completely absorbed as to what would happen because anything was possible ,I was completely immersed in what might happen because anything was possible,75
4,ואז ,And then ,and then,100
5,הוא קילקל את זה - הוא דיבר ,He spoilt it - he spoke ,He spoiled it - he spoke,93
6,-ו ,- And ,-and,100
7,-בתוך חמש דקות איבדתי עניין ,- Within five minutes I'd lost interest ,- In five minutes I lost interest,82
8,אז עכשיו פצית את פיך אתה מצפה שאאבד עניין ,So now you've opened your mouth do you expect me to lose interest ,So now you have opened your mouth you expect me to lose interest,91
9,עכשיו דיברנו דקה שלמה ,Erm now we've been talking for one minute ,Now we talked for a whole minute,68
10,נותרו לנו 4 דקות לפני שתאבד עניין ,We've got four minutes left before you lose interest ,We have 4 minutes left before you lose interest,83
11,ארבע דקות ,Four minutes ,Four minutes,100
12,זה מספיק ,That's enough ,It is enough,80
13,היכן הפצצה ,Where's the bomb ,Where's the bomb?,100
14,הוא אה  ,He's er  ,He's ah,71
15,הוא אוכל אבוקדו וסרטנים ,He's eating avocado vinaigrette and prawns ,He eats avocados and prawns,72
16,באצבעות שלו ,With his fingers ,With his fingers,100
17,נשקי אותי ,Kiss me ,Kiss me,100
18,-המסעדה שלך רועשת ספיקה ,- Your restaurant's noisy Spica ,- Your restaurant is noisy,79
19,-היא פופולרית בימי ראשון בערב ,- It's popular on a Sunday night ,-It is popular on Sunday evenings,74
20,אני אוהב מסעדה שקטה עם מופעי בידור ,I like a quiet restaurant with floor shows ,I love a quiet restaurant with entertainment shows,78
21,בוארסט הוא אמן קוליניארי לא בדרן מהודר ,Boarst is a culinary artist not a fancy entertainer ,Boerst is a culinary artist not a fancy entertainer,98
22,אבל אנחנו כאן לספק אותך טרי ,But we're here to please you Terry ,But we are here to provide you fresh,63
23,נשיג לך מופע בידור ,We'll get you a floor show ,We'll get you an entertainment show,72
24,קורי טלפן לסנטיני ,Oory phone Santini ,Corey phoned Santini,89
25,5 בנות - חשפניות ,Five girls - strippers ,5 girls - strippers,86
26,הבת שלי נוכחת ,My daughter's present ,My daughter is present,88
27,חמש בנות רוקדות עם מוזיקה ,Five dancing girls with music ,Five girls dancing with music,100
28,ושיהיה שקט ,And make it quiet ,And let it be quiet,78
29,אני רוצה להשאיר את האוזניים שלי עד גיל 90 ,I want to keep my ears till I'm 90 ,I want to keep my ears open until the age of 90,67
