,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,בסטיאן מצאת את האומץ ,Bastian you have You've found courage ,Bastian found the courage,77
1,זההקולשלו !,That's his voice ,That's his voice!,100
2,כעת תביע משאלה עמוק מן הלב ,Now make a wish from your heart ,Now make a heartfelt wish,75
3,אני מבקש ללכת הביתה ולספר לאבי שאני אוהב אותו ,I wish to go home and tell my dad that I love him ,I ask to go home and tell my father that I love him,84
4,בהצלחה בסטיאן ,Good luck Bastian ,Good luck Bastian,100
5,-דאגתי לך ,- I was worried about you ,-I was worried about you,100
6,-אני מצטער ,- I'm sorry ,-I'm sorry,100
7,חזרת!,You're back ,you're back!,100
8,- עזרת לי נכון ,You helped me didn't you ,- You helped me right,70
9,- שמעת אותי ,You heard me ,- Did you hear me,81
10,ודאי ששמעתי אותך ,Of course I heard you ,Of course I heard you,100
11,אני אוהב אותך ,I love you ,I love you,100
12,אני אוהב אותך מאוד מאוד ,I love you very very much ,I love you very very much,100
13,גם אני אוהב אותך אבא ,I love you too Dad ,I love you too Dad,100
14,לעזאזל אתה כל כך מטומטם זאפ יש לי מפתח לזה,Shit you're so fuckin' dumb Zap I got the keys!,Damn you're so dumb zap I have a key to this,65
15,אני צריכה את זה,I need it ,I need it,100
16,תקבלי את זה מותק,You'll get it baby ,You'll get it baby,100
17,הזדרז אני אתחיל בלעדיך,Get a move on I'll start without you ,Hurry up I'll start without you,69
18,זה יגרום להם להפסיק להתעסק איתנו,This'll stop them messing us about ,It will make them stop messing with us,64
19,אני צריכה את זה,I need it ,I need it,100
20,! זה מגיע!,It's coming!,! it's coming!,100
21,! לעזאזל,Can it!,! damn it,77
22,האור ,The light!,the light,100
23,אתם משוגעים,You're back ,You're crazy,70
24,מה אתם עושים  חוץ מצרות,What are you shits after  apart from trouble ,What are you doing besides trouble,62
25,זה אבא שלך קויוט,is that your old man Coyotte ,This is your dad Coyote,67
26,אבא  זה לא אתה,Dad  lt's not you ,"Dad, it's not you",94
27,אנחנו צריכים סם,We need a fix ,We need a drug,74
28,הולך לירות בילד שלך,Going to shoot your baby boy ,Going to shoot your child,75
29,זה הכל ,is that it ,that's it,74
30,שמי ריקו !,My name's Rico ,My name is Rico!,83
31,לך על זה זאפ לך על זה,Go for it Zap go for it!,Go for it Zap go for it,100
32,זה הולך להיות טוב ריקו,It's gonna be good Rico!,This is going to be good Rico,77
33,! זה הולך להיות טוב,It's gonna be good!,! It's going to be good,82
34,לא,No  ,No,100
35,! שקט,Quiet!,! Quiet,100
36,! שקט,Quiet!,! Quiet,100
37,ידיים מאחורי הגב ! פשקי רגליים יותר,Hands behind your back!,Hands behind your back! More leg spasms,73
38,החוצה!,Cutie!,outside!,67
39,שם מלא,Full name ,full name,100
40,ניקיטה,Nikita ,Nikita,100
41,הנה עצה קטנה מותק שתפי פעולה אני לא חושב שהחרא הזה מצחיק,Here's a word of advice cutie Just play it cool I don't think this bullshit's funny ,Here's a little tip baby cooper I do not think this shit is funny,65
42,מבינה !,Understand ,Understand !,100
43,אולי אנחנו צריכים לחכות מספיק אני מכיר את החארות האלו,Maybe we should wait  Cool it I know what these jerks are like ,Maybe we should wait long enough I know these shit,68
44,זה הכל הצגה עיפרון,It's all for show Pencil ,It's all a pencil show,87
45,התרכזי כיתבי את שם המשפחה והשם הפרטי,Concentrate Put your name and first name ,Concentrate on writing your last name and first name,83
46,"אחרי דיון במקרה סיינט דניס אנו מוצאים את הנאשמת אשמה ברצח מכוון של ג""ורג"" הנרי",After considering the St-Denis case we find the accused guilty  of the wilful murder of Georges Henri  ,"After a hearing in the St. Dennis case we find the accused guilty of the premeditated murder of ""George"" Henry",78
47,גרגורי אנדרסון ומייקל טרלין שלושתם שוטרים,Grégoire Andersen and Michel Terlin  all three law-enforcement officers ,Gregory Anderson and Michael Trellin are all cops,63
48,בנוגע לסוגיית נסיבות מקלות חבר המושבעים השיב בשלילה,In reply to the question of extenuating circumstances  the jury has replied in the negative ,Regarding the issue of mitigating circumstances the jury replied in the negative,69
49,לפיכך הנאשמת נידונה בהתאם לסעיף 403 למאסר עולם,Therefore the accused is sentenced according to article 304  to life imprisonment ,The defendant was therefore sentenced in accordance with section 403 to life imprisonment,75
50,עם מינימום של 30 שנה לפני בחינת שחרור מוקדם,With a 30-year minimum before review for parole ,With a minimum of 30 years prior to early release examination,65
51,אתם לא יכולים לעשות את זה,You can't do this ,You can not do that,83
52,אני לא רוצה למות ככה,I don't wanna go like this ,I do not want to die like this,75
53,אתם צריכים לספר לאמא שלי,You gotta tell my mother ,You have to tell my mother,80
54,אז למה היא לא כאן,So why ain't she here ,So why is she not here,70
55,למה אמא שלי לא כאן,Why ain't my mother here ,Why is my mother not here,82
56,אי אפשר לחכות עוד קצת,Can't we wait a bit longer ,Can't wait any longer,81
57,אמא,Motherfucker!,mother,67
58,אמא,Motherfucker!,mother,67
59,איך קוראים לך,What's your name ,what is your name,85
60,ניקיטה,Nikita ,Nikita,100
61,שם יפה ,Nice name ,nice name,100
62,מאיפה הוא,Where's it from ,Where is he from?,84
63,אדוני  זה גן עדן או לא,Mister  is this Heaven here or not ,Sir it's heaven or not,65
64,זה יכול להיות,Cool it ,it could be,67
65,מתת בשבת בשעה 17:,You died Saturday at 5p m ,Died Saturday at 5 p.m .:,85
66,00 רופא הכלא אישר התאבדות באמצעות מנת יתר של סם הרגעה נקברת,The prison doctor confirmed  suicide after an overdose of tranquillizers ,00 Prison doctor confirmed suicide using an overdose of a sedative sedative,73
67,במייסון אלפורט שורה 8 חלקה 30,You're buried  in Maisons-Alfort row 8 plot 30 ,In Mason Alport Row 8 Part 30,70
