,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-דעה חופשית בגיל 17 ,Freethinkers at 17 ,-Free opinion at age 17,60
1,-מצחיק אני אף פעם לא הייתי משייך אותך לציניות ,Funny I never pegged you as a cynic ,-Funny I would never associate you with cynicism,68
2,-לא ציניות ,Not a cynic ,- No cynicism,73
3,-מציאות ,A realist ,-reality,75
4,תראה לי את הלב שלא קשור לחלום טיפשי  ואני אראה לך אדם מאושר ,"""Show me the heart unfettered by foolish dreams and I'll show you a happy man """,Show me the heart unrelated to a stupid dream and I will show you a happy person,69
5,-אבל רק בחלום אדם יכול להיות חופשי באמת ,"""But only in their dreams can men be truly free ",-But only in a dream can a person be truly free,83
6,-זה תמיד היה ותמיד יהיה ,"'Twas always thus and always thus will be """,-It has always been and always will be,81
7,-טניסון ,Tennyson  No ,-Tennison,74
8,-היי אני מצאתי את עלון התלמידים של השנה שלו בספרייה ,Hey I found his senior annual in the library Listen to this ,-Hey I found his student newsletter of the year in the library,70
9,- העורך של העיתון של הבית ספר  ,Editor of the school annual ,- The editor of the school's newspaper,63
10,"""האדם שהכי סביר שיעשה כלום""","""Man Most Likely To Do Anything ""","""The person most likely to do anything""",78
11,-אני לא יודע ,- I don't know ,-I do not know,88
12,-יש שם תמונה בעלון - לא -כלום ,- Is there a picture in the annual ,- There is a picture in the leaflet - nothing,71
13,-הבחורים שם  תראו אותי אחרי ארוחת הצהרים ,- That boy there see me after lunch ,- The guys there will see me after lunch,82
14,-מר קיטינג ,Mr Keating ,-Mr Keating,100
15,-מר קיטינג !,Mr Keating ,- Mr. Keating!,100
16,תגיד משהו ,- Say something ,say something,100
17,-או רב חובל רב חובל שלי ,- Oh Captain my Captain ,-Or my captain,71
18,-רבותי ,- Gentlemen ,Gentlemen,100
19,-או אלוקים שלי ,- Oh my God -,- Or my G-d,67
20,-לא זה לא אני ,- No that's not me ,"- No, it's not me",73
21,"-סטנלי ""הכלי"" וילסון ","Stanley ""The Tool"" Wilson ","-Stanley ""The Tool"" Wilson",100
22,-למה ,Why ,-Why,100
23,מה זה ,What was it ,What is,78
24,-רבותי אתם יכולים לשמור סוד -וודאי כן ,- Gentlemen can you keep a secret ,"Gentlemen, you can keep a secret",100
25,"המשורר המת מוקדש ל""מציצת לשד החיים""",The Dead Poets were dedicated to sucking the marrow out of life ,"The dead poet is dedicated to ""sucking on the demon of life""",79
26,-זה ביטוי מאת טורו שהיינו משתמשים בו בתחילת כל מפגש ,That's a phrase from Thoreau we'd invoke at the beginning of every meeting ,- This is a phrase by Toro that we would use at the beginning of each session,67
27,-ובהתפעלות של הרגע היינו נותנים לקסם של השיר לעבוד ,And in the enchantment of the moment we'd let poetry work its magic ,-And in the admiration of the moment we would let the magic of the song work,69
