,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,- כן ‫תגיד אתה לא לוקח את זה קשה מדי ,Say you're not taking it too hard ,- Yes say you do not take it too hard,79
1,‫חכה רגע ,Wait a minute ,Wait a moment,77
2,- הלו ‫ - זהו לורה ,- This is Laura ,- Hello - this is Laura,81
3,I've-- ‫אל תגיד שום דבר בטלפון ,Don't say anything on the phone ,I've-- Do not say anything on the phone,85
4,‫פגוש אותי מייד ,Meet me right away ,Meet me right away,100
5,‫אני אחכה לך במכונית שלי ‫מול וליט של ,I'll wait for you in my car in front of Bullitt's ,I'll wait for you in my car in front of a,89
6,‫ - היה that-- ‫,- Was that-,- was that--,100
7,‫Dames תמיד ‫משיכת מתג עליך ,Dames are always pulling a switch on you ,Dames always pull a switch on you,90
8,‫Stand by ,Stand by ,Stand by,100
9,‫אתה הולך אחריה ,You follow her ,You follow her,100
10,‫האם אתה לוקח אותו ‫או לשים אותו קרפנטר ,Are you taking it down or putting it away Carpenter ,Do you take it or put it in a carpenter,80
11,‫ - כן אני הרגתי כמה שפנים עם זה ,I killed some rabbits with it ,- Yes I killed some rabbits with it,94
12,אני לא יודע בדיוק ,I don't know exactly ,I do not know exactly,93
13,‫אתה יודע על רובים ‫לא ,You know about guns don't you - Yes ,You know about guns no,76
14,‫היא לא רוצה את זה ‫אבל אני התעקשתי ,She didn't want it but I insisted ,She does not want it but I insisted,82
15,‫הבית הזה הוא לא מבודד ‫כפי שאתה רואה ,This house is rather isolated as you see ,This house is not isolated as you can see,86
16,‫ - האם ללמד אותה איך להשתמש בו ,- Did you teach her how to use it ,- Do teach her how to use it,88
17,- מס ' ‫ - היא יודעת איך ,- Does she know how ,- No. - She knows how,73
18,‫ - אני לא יודע ,I don't know ,I do not know,88
19,זה לא עלה בדעתי לשאול ,It didn't occur to me to ask ,It did not occur to me to ask,88
20,‫אתה סוג מעורפל של בחור ‫אתה לא קרפנטר ,You're a vague sort of a fellow aren't you Carpenter ,You're a vague kind of guy you're not a carpenter,73
21,‫ביליתי מעט מאוד זמן בהתבוננות ‫האופי שלי מר מקפרסון ,I've spent very little time in observing my own character Mr McPherson ,I spent very little time observing my character Mr. McPherson,92
22,‫אתה לא רק להחזיר אותו הערב ‫אתה ליווית אותי כאן ,You haven't borrowed it lately You didn't just bring it back tonight ,You did not just bring it back tonight you accompanied me here,71
23,‫אתה ראית אותי מגיע ב ,You saw me come in You ought to know ,You saw me coming in,64
24,אתה צריך לדעת ‫אתה אה מבין ‫מקום אתה נמצא ב קרפנטר ,You're a vague sort of a fellow aren't you Carpenter ,You need to know you ah understand where you are in Carpenter,62
25,‫לקח שנערה מסכנה ‫לדירתה של גברת האנט ,You took that poor girl to Miss Hunt's apartment ,He took a poor girl to Mrs. Hunt's apartment,81
26,‫אתה ידעת כל הזמן ‫היא שנרצחה ,You knew all along it was she who was murdered ,You knew all along she was murdered,86
27,‫לא ידעת לורה האנט יבוא ‫לחזור בכל יום ולשפוך את כל העניין ,Didn't you know Laura Hunt would come back any day and spill the whole thing ,Didn't you know Laura Hunt would come back every day and pour the whole thing over,86
28,‫או שאתה מתכנן ‫להרוג אותה יותר מדי  ‫להסתיר מקום גוף ‫ולחפות על הפשע הראשון שלך ,Or did you plan to kill her too  hide the body someplace and cover up your first crime ,Or you plan to kill her too much to hide a body space and cover up your first crime,89
29,‫אתה להיות פנטסטי ‫מקפרסון ,You're being fantastic McPherson ,You're being fantastic McPherson,100
30,‫אתה לקח בקבוק השחור הפוני ‫לביתה יום שישי בערב ,You took a bottle of Black Pony to her house Friday night ,You took the black bottle of pony to her house Friday night,95
31,‫לקחתי אותו לשם ‫לפני יותר משבוע ,I took it there over a week ago ,I took him there more than a week ago,82
32,‫בסי אמר שהיא לא הייתה שם ביום שישי ‫הלילה ,Bessie said it wasn't there Friday night It was Saturday morning ,Bessie said she was not there Friday night,70
