,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,‫תודה רבה לך אדוני ,Thank you very much sir ,Thank you very much sir,100
1,‫עברית ,Hebrew ,Hebrew,100
2,‫זהו זה אדוני ,This is it sir ,This is it sir,100
3,‫זהו סמל עברית לדם ,It's a Hebrew symbol for blood ,This is a Hebrew symbol for blood,89
4,‫אה אני רואה ,Oh I see ,Oh I see,100
5,‫חלק מG'Tach ,Part of the G'Tach ,Part of G'Tach,88
6,‫ - מה אדוני ,- The what sir ,"- What, sir?",80
7,‫ - G'Tach ,- The G'Tach ,- G'Tach,75
8,‫10 הקללות ביקרו ‫על הפרעונים לפני יציאת מצרים ,The 10 curses visited upon the Pharaohs before Exodus ,The 10 curses visited the pharaohs before the Exodus from Egypt,84
9,‫ - הנה אני אראה לך ‫,- Here I'll show you ,- Here I'll show you,100
10,- תודה לך אדוני ,- Thank you sir ,- Thank you sir,100
11,‫כולם היו הקללות העתיקות  ‫קללות חגיגיות  ‫נידוי  ‫איחלו על ‫הפרעונים לשמירה על בני ישראל בשעבוד ,They were all ancient maledictions  solemn curses  anathemas  wished upon the Pharaohs for keeping the Israelites in bondage ,All were the ancient curses Festive curses Excommunication wished the pharaohs to keep the children of Israel in bondage,66
12,‫אה הנה זה ,Ah here it is ,Oh here it is,77
13,‫אבל אה כל זה יהיה רק מיתוס ‫כמובן אדוני ,But uh all this would just be myth of course sir ,But oh all this will be just a myth of course sir,87
14,‫ - אה אני חושב שלא ,- Oh I think not ,- Oh I think not,100
15,‫ - לא ,- No ,No,100
16,‫אני רואה ,I see ,I see,100
17,ובכן מה צורת ‫היו הקללות לקחת אדוני ,Well what form would the curses take sir ,Well what shape were the curses to take sir,72
18,‫אה כגון הקללה של שחין ‫של עטלפים  ‫,Oh such as the curse of boils of bats  ,Ah such as the curse of boils of bats,92
19,- צפרדעים ,- Frogs ,Frogs,100
20,‫ - צפרדעים כן ,- Frogs yes ,Frogs Yes,100
21,‫והקללה של דם  ‫אני רואה אדוני כן ,And the curse of blood  I see sir yes I see ,And the curse of blood I see sir yes,92
22,‫אה 10 הקללות האלה היו הם בצעו ‫סדר מסוים ,Uh these 10 curses would they follow any particular order ,Oh these 10 curses were they performed a certain order,67
23,‫אה זה הוא נקודה ‫שחוקרי תלמוד התווכחו ‫במשך דורות ,Oh that is a point that Talmudic scholars have debated for generations ,Oh this is a point that Talmudic scholars have debated for generations,97
24,‫אבל אין ספק ש ‫מסורת הקלסית ‫היא הקללה של שחין עטלפים ‫צפרדעים הקללה של דם ‫הקללה של חולדות ‫ברד של חיות ‫הארבה כמובן ‫מותו של הבכור ,But there is no doubt that the classical tradition is the curse of boils bats frogs the curse of blood the curse of rats hail of beasts the locusts of course the death of the firstborn ,But there is no doubt that the classical tradition is the curse of boils bats frogs the curse of blood the curse of hail rats of locusts of course the death of the eldest,94
25,‫ואז סוף סוף של חושך ,and then finally of darkness ,Then finally of darkness,92
26,- כן ,- Yes ,- Yes,100
27,‫הקללה הסופית על ‫האדמה לסיים לנצח השינה של אדם ,The final curse upon the land to end forever the sleep of man ,The ultimate curse on earth to end a person's sleep forever,62
28,‫האהבה שלי ,My love ,My Love,100
29,‫מלכה מתוקה ואישה אצילית ,Sweet queen and noble wife ,A sweet queen and a noble woman,81
30,‫אני לבד תישאר ‫להביא משלוח של הכאב שלך ,I alone remain to bring delivery of your pain ,I will be left alone to fetch delivery of your pain,71
31,‫נותק המתוק שלי מהר מדי ‫מהחיים האלה ‫שריפות נמשכות וזכרונות נפגש ,Severed my darling too quickly from this life of fires drawn and of memories met ,My sweetie was cut off too quickly from this life and fires continued and memories met,80
