,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,אני רוצה לראות דברים עובדים לשם שינוי ,I'd like to see these things work ,I want to see things work for a change,62
1,-מה זה לעזאזל ,- What the hell is this ,-what the hell is this,100
2,-פשוט תעקוף את הדבר המחורבן ,Just bypass the damn thing ,- Just get around the damn thing,75
3,-בן זונה ,- Son of a bitch ,- Son of a bitch,100
4,-טרימבל הסבלנות שלי פוקעת ,- Trimble my patience is wearing thin ,-Trimble my patience is running out,72
5,אדוני נראה כי ראש הפרוייקט הזה מצא לנכון להתקין סיסמה ,Sir it seems the head of this project has seen fit to install a password ,Sir it seems that the head of this project has found it appropriate to install a password,82
6,-מרטין התקין סיסמה ,- Martin has installed a password ,-Martin set a password,65
7,כן אדוני ,Yes sir ,Yes sir,100
8,אנחנו לא יכולים להכנס למערכת בלעדיה ,We can't access the system without it ,We can not enter the system without it,75
9,טוב שים בה מילים אקראיות ,Well feed it words at random ,Well put random words in it,76
10,הניחוש הלא נכון הראשון שנעשה יימחק אוטומטית את התוכנה ,The first wrong guess we make would automatically erase the programming ,The first incorrect guess made will automatically delete the software,66
11,"""מהי מילת הקסם"" ","""What is the magic word"" ","""What is the magic word""",100
12,"""אברה קדברה"" זאת מילת הקסם ","""Abracadabra "" That's the magic word ","""Abra Kadbra"" is the magic word",77
13,כולם יודעים זאת ,Everybody knows that ,Everyone knows that,87
14,לא ,No ,No,100
15,לא יש מילת קסם אמיתית  ורק מרטין יודע אותה  זאת המילה שגורמת להכל לקרות ,No there is a real magic word and only Martin knows what it is This is the word that makes it all happen ,There is no real magic word and only Martin knows it is the word that makes everything happen,83
16,לעזאזל!,Damn!,damn it!,73
17,פיקח ,Clever ,Clever,100
18,-מרטין!,- Martin!,-Martin!,100
19,או אלוהים ,Oh my God ,or God,67
20,מה קרה ,What happened ,What happened,100
21,לא ידעתי לאן ללכת ,I didn't know where else to go ,I did not know where to go,86
22,אתה צריך את התרופה שלך ,You need your medication ,You need your medicine,91
23,אין תרופה למה שיש לי ,There's no medication for what I have ,There is no cure for what I have,75
24,מה ,What ,what,100
25,מעולם לא היתה ,There never was ,She never was,86
26,הם כולם רק חיכו  שזה ,They were all just waiting for  ,They were all just waiting for it,95
27,יקרה  הייתי חייב לראות אותך בת',For this to happen I had to see you Beth ,Dear I had to see you Beth,70
28,את רוצה שאני אלך ,Do you want me to go ,You want me to go,92
29,לא ,No ,No,100
30,אז תעזרי לי ,Then help me ,So help me,73
31,כן ,Yes ,Yes,100
32,תומאס תעלה למעלה ,Thomas go upstairs ,Thomas will go upstairs,88
33,כריס בוא תעזור ,Chris help out ,Chris come help,69
34,רק חתול ,Only a cat ,Just a cat,60
35,לך תבדוק את הרציף ,Go check the dock ,Go check the platform,68
36,כריס לך איתו ,Chris go with him ,Chris you with him,80
37,הבחורה ,The girl ,The girl,100
38,אני חושב שהיא הלכה איתו ,She went with him ,I think she went with him,81
39,תחזור לכאן כמה שיותר מהר ,Well get back here as soon as you can ,Get back here as soon as possible,69
40,כן ,Yes ,Yes,100
41,אל תדאג אדוני נשיג אותו ,Don't worry sir we'll get him ,Do not worry sir we will get it,73
42,זה רק עניין של זמן ,It's just a matter of time ,It's only a matter of time,81
43,זה לצערי מותרות שאין לנו ,That sadly is a luxury we don't have ,This is unfortunately a luxury we do not have,72
44,לכו מפה ,Go away ,go away,100
45,-אנחנו צריכים לדבר איתך אדוני ,- We have to talk to you sir ,"- We need to talk to you, sir",88
46,-אמרתי תעופו מפה!,- I said piss off!,- I said fly away!,60
47,סת' בראנדל היה אבא שלי ,Seth Brundle was my father ,Seth Brandel was my father,92
48,דמיון משפחתי מרשים ,Striking family resemblance ,Impressive family resemblance,64
49,קצת גדול בשביל ילד בן 5 ,Little big for 5 years old ,A little big for a 5 year old boy,85
50,אני גדל במהירות מואצת ,I'm growing at an accelerated rate ,I am growing at an accelerated rate,93
51,זה מרתק ,That's fascinating ,It's fascinating,76
52,אולי כדאי שאני אזמין אותך פנימה ,Perhaps I should invite you in ,Maybe I should invite you in,83
53,ראיתי אותך בקלטת וידאו ,I saw you on the videotape ,I saw you on videotape,92
54,אל תשב שם!,Don't sit there!,Do not sit there!,84
55,אתה היית שם בלילה שאבא שלי מת ,You were there the night my father died ,You were there the night my father died,100
56,הוא עבד על תרופה ,He was working on a cure ,He was working on a cure,100
57,זאת הסיבה שגררת את עצמך לפה ,That's why you dragged yourself out here ,That's why you dragged yourself here,95
58,לגלות על תרופה ,To find out about a cure ,Find out about medicine,60
59,אתה התקווה היחידה שלי ,You're my only hope ,You are my only hope,82
60,או ילדון  הדבר האחרון שאני זה תקווה אחרונה של מישהו ,Oh kid the last thing I am is anybody's hope ,Or kid the last thing I want is someone's last hope,67
61,אתה ממש לא רוצה לשמוע על זה ,You really don't want to hear about this ,You really do not want to hear about it,81
62,אני חייב לדעת ,I have to know ,I must know,64
63,בראנדל גנב את הבחורה שלי ,Brundle stole my girl ,Brandel stole my girl,90
64,אמא שלך ,Your mother ,Your Mother,100
65,הכניס אותה להריון גרם למותה ,Got her pregnant caused her death ,Putting her pregnant caused her death,83
66,אין בי שום אהבה לבחור ,I had no love for the man ,I have no love to choose,65
67,הוא עיצבן אותי ,He bugged me ,He annoyed me,64
68,בקשר לתרופה שהוא עבד עליה  הוא גרר את אמא שלך    בועטת וצורחת לתוך  מיכל השיגור הזה  שאולי הם ייתמזגו  ,As for the cure he was working on he dragged your mother kicking and screaming into that telepod that they might be fused together in one beautiful body ,Regarding the drug he was working on he dragged your mother kicking and screaming into this launch container that they might merge,70
