,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,רוצה ביצים ,Want some eggs ,Want eggs,78
1,-את חושבת שמותר לי ,- You think I can take 'em ,- You think I'm allowed,68
2,בוודאי זה טוב בשבילך ,Sure they'll be good for you ,Surely this is good for you,76
3,טוב ,Good ,are good,67
4,זה טוב ,That's good ,It is good,76
5,אפשר לעזור לך במשהו שם ,Can I help you with any of that business ,I can help you with something there,64
6,אתה יכול למזוג לך קפה אם אתה רוצה לשתות ,You can pour the coffee if you want some ,You can pour yourself coffee if you want to drink,74
7,יהיה איכפת לך אם אשאל אותך שאלה אישית ,Do you mind if I ask you a personal question ,You will care if I ask you a personal question,82
8,לא ,No ,No,100
9,איפה את ישנת בלילה ,Where did you sleep last night ,Where you sleep at night,89
10,על הספה ,On the couch ,on the couch,100
11,זה נורא ,That's terrible ,It is terrible,69
12,-מה נורא ,That's terrible ,- What a terrible thing,78
13,הייתי צריך ללכת למלון ולא לבוא לכאן ולהטריח אותכם ,I should have had enough sense to go to a hotel and not come here bothering you ,I should have gone to the hotel and not come here or bothered you,79
14,לא הטרחת אף אחד פרד ,You didn't bother anybody Fred ,You did not bother anyone Fred,87
15,אנחנו מאוד שמחים שאתה כאן ,We're very glad to have you here ,We are very glad you are here,69
16,וחוץ מזה לא היית יכול להשיג חדר במלון ,Besides you couldn't have gotten a room in a hotel ,"And besides, you could not get a hotel room",80
17,זה טוב ,That's good ,It is good,76
18,מפני שאני את מבינה נשוי ,Cos you see I'm married ,Because I understand you are married,61
19,כן אני יודעת ,Yes I know ,Yes I know,100
20,לא היה לך כלום נגד אבי ,You had nothing on my dad ,You had nothing against my father,69
21,מי הוא ,Who's he ,who is he,94
22,אתה לא זוכר אל ,Don't you remember Al ,You do not remember to,84
23,אה כן אל ,Yes I know ,Oh yes to,63
24,איפה הוא ,Where is he ,where is he,100
25,-עדיין ישן אני משערת ,- Still asleep I guess ,-I'm still asleep I guess,91
26,אני מרגיש הרבה יותר טוב ,I feel a lot better ,I feel much better,76
27,-זה טוב ,That's good ,-It is good,76
28,את נשואה פגי ,Are you married Peggy ,You're married to Peggy,77
29,-לא ,- No ,-No,100
30,בקושי היה לך זמן ,You've hardly had time ,You barely had time,68
31,לא ,- No ,No,100
32,למה לא ,Why not ,Why not,100
33,מה קורה עם הבנים כאן בסביבה ,What's the matter with the guys around here ,What's going on with the boys around here?,74
34,אני משערת שהטובים שבהם כבר נשואים ,I guess the best of 'em are already married ,I guess the best of them are already married,91
35,בוקר טוב פרד ,Good morning Fred ,Good morning Fred,100
36,-בוקר טוב גברת  השם הוא מילי ,- Good morning Mrs uh  ,"- Good morning, the lady's name is Millie",60
37,-תודה מילי ,Thank you Fred ,-Thank you Millie,73
38,לא סיימת אפילו את ארוחת הבוקר ,You're not going You haven't even finished your breakfast ,You did not even finish breakfast,64
39,אין לי הרבה תיאבון ,I haven't got much of an appetite ,I do not have much appetite,83
40,וחוץ מזה אני צדיך ללכת למרכז העיר ,Besides I've got to get downtown ,"And besides, I'm on your side to go downtown",69
