,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,כן זה היה סינר איתן  ,Yes it was an apron ,Yes it was a solid apron,84
1,הם כבר מצאו אותה ,Have they found her yet ,They had already found her,69
2,עדיין לא ,Not yet ,Not yet,100
3,עדיין לא ,Not yet ,Not yet,100
4,שקט ממילא הולכים לישון ,It's time for bed anyway ,Quiet going to bed anyway,69
5,הנה נסה ללבוש את אלה ,Here try these on ,Here try to wear these,72
6,אמא מכינה תרנגול הודו לארוחת ערב מחר ,Ma's having turkey for dinner tomorrow ,Mom prepares a turkey for dinner tomorrow,76
7,לורי בואי ,Laurie come ,Lori Come,80
8,תני לבחורים ללכת לישון ,Let the boys get to bed ,Let the guys go to sleep,68
9,בסדר אבא ,All right Pa ,All right Dad,88
10,לילה טוב מרטי ,-Good night Marty ,Good night Marty,100
11,-לילה טוב לורי ,-Good night Laurie ,- Good night Lori,88
12,לילה טוב מר אדוארדס ,-'Night Mr Edwards ,Good night Mr. Edwards,86
13,-לילה טוב העלמה ג'ורגנסן ,-'Night Ms Jorgensen ,- Good night Miss Jorgensen,84
14,ג'ורגנסן מטפל בבקר שלי יחד עם שלו ,Jorgensen's been runnin' my cattle with his own ,Jorgensen takes care of my cattle together with his,70
15,הבקר שלך ,Your cattle ,Your controller,69
16,הוא הסכים להעסיק אותך ולהתחלק בגידול בעדר שלי בעת היעדרי ,He's agreed to take you on and split the increase in my herd while I'm gone ,He agreed to employ you and share the increase in my herd while I was away,78
17,אני ממשיך הלאה מחר ,I'm pushin' on tomorrow ,I'm moving on tomorrow,77
18,ובכן אני בטח לא מתכוון להישאר פה!,Well I sure ain't gonna stay here!,Well I'm probably not going to stay here!,63
19,יצאתי לדרך בחיפוש אחר דבי אני מתכוון להמשיך ,I started out lookin' for Debbie I intend to keep on ,I set out in search of Debbie I intend to continue,63
20,-למה ,Why ,-Why,100
21,למה ,Why ,Why,100
22,ובכן בגלל שהיא  היא כלום בשבילך!,Well because she is my--,Well because she is nothing for you!,70
23,היא בכלל לא קרובת משפחה שלך ,She's your nothing! She's no kin to you at all!,She's not your relative at all,61
24,תמיד חשבתי עליה ככזו ,I always kind of thought she was ,I always thought of her as such,73
25,האופן בו הוריה קלטו אותי וגידלו אותי  זה לא הופך אותך לקרוב משפחה ,The way her folks took me in and raised me   That don't make you no kin ,The way her parents absorbed me and raised me it does not make you a relative,67
