,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,-האם אני נראה לך מוכר ,- Do I look familiar to you ,- Do I look familiar to you?,100
1,-אתה ,- You ,-are you,60
2,לא ,No ,No,100
3,כי אתה נראה לי מוכר מאוד ,Because you sure look familiar to me ,Because you seem very familiar to me,81
4,-מאין אתה הובס ,- Where you from Hobbs ,- Where are you from?,74
5,רגע שיחקת אי-פעם בקבוצה של ליגת קרדינל ,Wait You ever play in a Cardinal organization ,You've ever played in a Cardinal League team,70
6,איריס איך היה סוף השבוע שלך ,Hi Iris How was your weekend ,Iris how was your weekend,94
7,מה אוכל להביא לך ,What can I get you ,What can I bring you,74
8,אחד כזה ספל קפה ,One of those cup of coffee ,One such cup of coffee,79
9,-אל האם קראת את מכתבו של מרפי ,- Al did you read Mercy's article ,- Did you read Murphy's letter?,61
10,-למה לי לקרוא אותו ,- Why should I read it ,-Why should I read it,100
11,שמעתי אותו ,I heard it ,I heard him,86
12,זה ודאי היה הגשם ,Must've been the rain ,It must have been the rain,77
13,אבל הגשם החל רק אחרי שהוא חבט בכדור ,It didn't start to rain till after he hit the ball ,But the rain only started after he hit the ball,74
14,-הכדור היה פגום ,- The ball was defective ,- The ball was damaged,71
15,-פגום ,- Defective ,-defective,100
16,הוא הכין ממנו מטעמים ,He made a meal out of it ,He made delicacies out of it,73
17,-מה השם של המחבט שלו ,- What's the name of his bat ,- What's the name of his bat?,100
18,-נער פלא!,- Wonderboy!,- No wonder!,67
19,"""נער פלא"" ",- Wonderboy!,"""Wonder Boy""",63
20,הבחור הזה הובס עוד לא ראיתם כלום ,This guy Hobbs you ain't seen nothing yet ,This guy was defeated you have not seen anything yet,67
21,יש לי תחושה ,I got a feeling ,I have a feeling,77
22,נער פלא ,- Wonderboy!,Wonder boy,63
23,להתראות אחר-כך אל ,See you later Al ,See you later Al,100
24,חדשות הספורט מאת מקס מרסי רוי הובס האיש שבא משום מקום,Sport Beat by Max Mercy ROY HOBBS MAN FROM NOWHERE,Sports News by Max Mercy Roy Hobbes The Man Who Comes Out of Nowhere,73
