,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,ג'וסי אני רוצה להודות לך ,- Josey I want to thank you ,Juicy I want to thank you,88
1,על מה ,- For what ,What,67
2,שהצלת את חיי ,For saving my life ,You saved my life,63
3,אתה יודע מה ג'וסי ,- Josey I want to thank you ,You know what Juicy is,64
4,אינני פוחד יותר ,I ain't scared no more ,I'm not scared anymore,73
5,הגיע הזמן לזוז ילד ,I ain't scared no more ,It's time to move on kid,61
6,הגשם יתן לנו יתרון  הנער הזה גדל  לתקופה של דם ומוות ולא הכיר משהו אחר ,This rain is giving us the- This boy was brought up in a time of blood and dying and never questioned a bit of it ,The rain will give us an advantage this boy grew up to a period of blood and death and knew nothing else,61
7,רכבתי לצידו אין לי טענות אליו ,I rode with him I got no complaints ,I rode next to him I have no complaints to him,72
8,כחולי המדים יקברו אותך טוב יותר ממני ילד ,The bluebellies will give you a better burial than I can boy ,The uniformed blues will bury you better than me boy,71
9,שמעתי את השם הזה ,I've heard of that name ,I heard that name,85
10,היו שאמרו שפניך מועדות לכאן ,Some said you'd be headed this way ,Some have said that your face is headed here,69
11,הם אמרו שאדם יכול להתעשר מכספי הפרס  ששמו על ראשך ,And they said a man could get rich on reward money if he could kill you ,They said a person can get rich from the prize money they put on your head,62
12,נראה שתכננת לזכות בכסף ,Seems like you was looking to gain some money here ,Looks like you're planning to win money,61
13,למעשה ניסיתי לזכות ביתרון ,Actually I was looking to gain an edge ,I was actually trying to gain an advantage,72
14,תיארתי לעצמי שאתה אחד מאלו שתתגנב מאחורי עם רובה ,I thought you might be someone who would sneak up behind me with a gun ,I imagined you're one of those people who would sneak up behind me with a rifle,66
15,מאיפה קיבלת רעיון כזה ,Where'd you ever get an idea like that ,Where did you get such an idea,74
16,חוץ מזה חשבתי שקשה להתגנב מאחורי אנדיאני ,It ain't supposed to be easy to sneak up behind an Indian ,"Besides, I thought it was hard to sneak up behind Andiani",62
17,אמנם אני אנדיאני אבל כאן בשמורה קוראים לנו השבט המתורבת ,I'm an Indian all right But here in the Nation they call us the civilized tribe ,"Although I am an Indian, here in the reserve we are called the civilized tribe",72
18,קוראים לנו מתורבתים כי קל להתגנב מאחורינו ,They call us civilized because we're easy to sneak up on ,We are called civilized because it is easy to sneak up behind us,78
19,הלבנים מתגנבים מאחורי גבנו כבר שנים ,White men have been sneaking up on us for years ,The whites have been sneaking behind our backs for years,72
20,שבט הצ'ירוקי ,Cherokee huh ,The Cherokee Tribe,67
21,התגנבו מאחורינו וסיפרו לנו שלא נהיה מאושרים במקום שלנו ,They sneaked up on us and they told us we wouldn't be happy here ,Sneaked up behind us and told us we would not be happy in our place,70
22,הם אמרו שנהיה מאושרים יותר בשמורה האנדיאנית ,They said we would be happier in the Nations ,They said we would be happier in the Andean Reserve,80
23,אז הם לקחו מאיתנו את אדמתנו ושלחו אותנו לפה ,So they took away our land and sent us here ,So they took our land from us and sent us here,88
24,הייתה לי אשה טובה ושני בנים ,I have a fine woman and two sons ,I had a good wife and two sons,71
25,"אבל כולם מתו ב""נתיב הדמעות"" ",But they all died on the Trail of Tears ,"But they all died in the ""Path of Tears""",81
26,וכעת האדם הלבן מתגנב מאחורי  עוד פעם ,And now the white man is sneaking up on me Again ,And now the white man is sneaking up behind me once more,85
27,נראה שאסור לנו לבטוח באדם הלבן ,Seems like we can't trust the white man ,It seems we must not trust the white man,76
28,לבשתי את  החליפה הזאת בוושינגטון ,I wore this frock coat in Washington ,I wore this suit in Washington,76
29,לפני המלחמה ,Before the war ,Before the war,100
30,לבשנו אותם כי השתייכנו לחמשת השבטים המתורבתים ,We wore them because we belonged to the five civilized tribes ,We wore them because we belonged to the five civilized tribes,100
31,התלבשנו כמו הנשיא אברהם לינקולן ,We dressed ourselves up like Abraham Lincoln ,We dressed like President Abraham Lincoln,82
32,ואז נפגשנו עם שר הפנים ,We got to see the Secretary of the Interior ,Then we met with the Minister of the Interior,61
33,והוא אמר לנו  ,And he said:,And he told us,64
34,"""בחיי אתם באמת נראים מתורבתים""","""Boy! You boys sure look civilized!""","""In my life you really look civilized""",62
35,הוא בירך אותנו והוא חילק לנו מדליות כי נראינו מאוד מתורבתים ,He congratulated us and he gave us medals for looking so civilized ,He greeted us and he handed us medals because we looked very civilized,68
36,סיפרנו לו איך גנבו לנו את אדמותינו ואיך אנשינו גוססים למוות ,We told him about how our land had been stolen and our people were dying ,We told him how our lands had been stolen from us and how our people were dying,87
37,כאשר סיימנו לדבר הוא לחץ לנו את הידיים ואמר ,When we finished he shook our hands and said:,When we finished talking he shook our hands and said,92
38,את ג'ון המקפץ צ'ילי מקינטוש באפלו הגיבן ג'ים פקמרק ואותי ,They stood us in a line John Jumper Chilly McIntosh Buffalo Hump and Jim Pock Mark and me ,John Bouncing Chili Macintosh Buffalo was backed by Jim Pacmark and me,60
39,ובעיתון נכתב ,And the newspaper said:,And the newspaper wrote,76
40,חשבנו על כך זמן רב ,We thought about it for a long time ,We thought about it for a long time,100
41,ולאחר שחשבנו על כך מספיק זמן הכרזנו מלחמה על מדינות הצפון ,And when we had thought about it long enough we declared war on the Union ,And after thinking about it long enough we declared war on the northern states,70
42,הסמל אומר שהנער הזה דהר אל המחנה ,Sergeant said this kid tried to ride through their camp ,The sergeant says this boy galloped to the camp,61
43,הם פגעו בו ,They got him ,They hit him,67
44,הם עמדו על המשמר יום וליל ,They've had men on guard here night and day ,They stood guard day and night,71
45,לאן לעזאזל אתה הולך פלטשר ,Where are you going Fletcher ,Where the hell are you going to Fletcher,82
46,אני הולך לארץ האנדיאנים ,I'm heading into the Indian Nations ,I'm going to the land of the Indians,62
47,"למה שלא תישאר פה ""אדום"" ",Why don't you stay here Redlegs ,"Why not stay here ""red""",65
48,וולס עלול לחזור בעוד שנה או שנתיים ,Wales may be back in a year or two ,Wells may return in a year or two,72
49,כאשר נגיע לארץ האנדיאנים אני רוצה שכולכם תתפרשו ,When we get to the Nations I want you men to fan out ,When we reach the land of the Indians I want you all to be interpreted,64
50,הקרפדה המקרינה מסוגלת לומר לך באיזה דרך לבחור ,A horned toad can tell you which way to go ,The radiating toad is able to tell you which way to choose,68
51,ידעתי את הדברים הללו כאשר הייתי צעיר ,I used to know these things when I was young ,I knew these things when I was young,88
52,אבל משהפכתי למתורבת שכחתי את כל הדברים הללו ,But when I got civilized I forgot all these things ,But when I became civilized I forgot all these things,89
53,לא ידעתי לאן לפנות ,I didn't know which way to go ,I did not know where to turn,67
54,הקרפדה המקרינה אומרת שעלינו ללכת למקסיקו ,The horned toad says we should go to Mexico ,The radiating toad says we must go to Mexico,67
55,ובכן מר לון ווטי  אתה מוזמן לקחת את הקרפדה איתך למקסיקו ,Well Mr Lone Watie you can take your horned toad down Mexico way ,Well Mr. Lon Wotti you are welcome to take the toad with you to Mexico,65
56,לי יש עניין לא גמור במדינת מיזורי ,I've got some unfinished business in Missouri ,I have an unfinished business in the state of Missouri,75
57,שמעתי שגנרל ג'ו שלבי וחלק מאנשיו סירבו להיכנע ,I heard General Joe Shelby and some men refused to surrender ,I heard that General Joe Shelby and some of his men refused to surrender,91
58,אני חושב אולי להצטרף אליהם ,I think I'll join them ,I think maybe join them,80
59,לא ידעתי שיש עוד שסירבו להיכנע ,I didn't know others hadn't surrendered ,I did not know that there were others who refused to surrender,61
60,גם אני לא נכנעתי אבל הם לכדו את סוסי ואילצו אותו להיכנע ,I didn't surrender neither But they took my horse and made him surrender ,I did not give up either but they captured my horse and forced him to surrender,62
61,אז אין לך אפילו סוס ,You haven't got a horse ,So you don 't even have a horse,75
62,אז מה תיכננת לעשות לצעוד ברגל למקסיקו ,What do you plan on doing walking to Mexico ,So what did you plan to do to walk to Mexico,76
63,בטח יש להם סוסים למכירה ,You haven't got a horse ,They must have horses for sale,60
64,יש לך אוכל פה ,You have any food here ,You have food here,90
65,כל שיש לי הוא איזה ממתק קשה כמו אבן ,All I have is a piece of hard rock candy ,All I have is some hard candy like a stone,78
66,נו שיהיה  אני אשיג לך סוס ,You haven't got a horse ,Let me get you a horse,71
67,מה יש לך שם ,What have you got there ,What do you have there?,93
68,מוסקראט ,Muskrat ,Muscat,77
69,מוסקראט ,Muskrat ,Muscat,77
70,לא לא אדוני ,No No sir ,No no sir,100
71,בונה ,- Beaver ,Beaver,100
72,תביא לי עשרה מוסקראטים ושלושים פרוות בונה ואני אתן לך בד אדום ,Get me 10 muskrats and 30 beaver pelts and I'll give you red cloth ,Bring me ten muscats and thirty beaver furs and I'll give you a red cloth,73
73,שתו לכם קצת מזה ותחשבו על כך ,You go have a drink and think about it ,Drink some of it and think about it,68
74,מה לגבי פרוות הפומה ,What about these cougar pelts ,What about the cougar furs,84
75,את המשקאות האלו תגיש לאנדיאנים ,This is what you give those Indians ,You will serve these drinks to the Indians,65
76,איפה המשקה האמיתי ,Where's the real stuff ,Where is the real drink,62
77,כמה אתה רוצה בשביל האנדיאנית ,What do you take for the squaw ,How much do you want for the Andean,65
78,היא עובדת פה ,She works here ,She works here,100
79,אני מחפש סוס ,I'll be looking for a horse ,I'm looking for a horse,84
80,סוס ,A horse ,horse,83
81,הסוסים האלו שייכים לאדונים הללו ,The horses belong to these gentlemen ,These horses belong to these masters,72
82,למכור לך אחד מהם ,- That is I'm sure they'd sell you one ,Sell ​​you one of them,61
83,על חשבון הבית ,It's on the house ,on the House,83
84,לדעתך האדונים הללו יתפנו לדבר איתי על עסקים בקרוב ,You suppose these gentlemen will be available to discuss business before long ,You think these gentlemen will be free to talk to me about business soon,63
85,תפסתי אותו!,I got him!,I caught him!,76
86,-רגע אבל זה המקום שלי ,Wait a minute! He's in my place ,- Wait a minute but this is my place,84
87,גם אני זיהיתי אותו ,I recognized him too ,I recognized him too,100
88,האיש שכולם כה פוחדים ממנו  ובכן אדון רעם  רק תעיז להזיז שריר או להניע אצבע ,Well the one that everyone's so scared of Well Mr Lightning move a muscle twitch a finger and I'll splatter your guts all over the wall ,The man everyone is so afraid of well Lord of Thunder will only dare to move a muscle or move a finger,62
89,כעת שמוט את ידיך!,Now just ease your hands down ,Now drop your hands!,71
90,הוצא את האקדחים הקת לפנים כך שיוק יוכל להחזיק בהם ,Take them guns out butt first so's you can get hold of them ,Take the butt guns out so that Yuk can hold them,79
91,הבנת ,You understand ,Understanding,74
92,כעת הוצא את האקדחים לאט!,Now ease them pistols out ,Now take out the guns slowly!,64
93,אני משתפר בלהתגנב מאחוריך ,I'm getting better at sneaking up on you like this ,I'm getting better at sneaking up behind you,79
94,רק אנדיאני מסוגל לעשות דבר כזה ,Only an Indian can do something like this ,Only an Indian can do such a thing,75
95,רק אנדיאנית מסוגלת לעשות דבר כזה ,Only an Indian can do something like this ,Only an Indian can do such a thing,75
96,פעם היה לי כוח ,I used to have power ,I used to have power,100
97,לדעתי מדובר בהרגלים ישנים ופחות בזיקנת השנים ,I think it's more like old habits than old age ,In my opinion these are old habits and less so in the old age,65
98,מי האישה הזאת ,Who the hell is this woman ,Who is this woman?,79
99,נתקלתי בה בתחנת המסחר ,She was back at the trading post ,I came across it at the trading post,62
100,היא הסתבכה בצרות ,Got in some kind of trouble ,She got into trouble,77
101,היא לא באה איתנו למכסיקו!,- She's not going to Mexico with us ,She's not coming with us to Mexico!,96
102,רגע השגתי לך סוס ,Now wait a minute I got you a horse ,I just got you a horse,70
