,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,רומק תגיד לו שביותר מדי מלח מקבלים לחץ דם גבוה ,Romek tell him that too much salt gives you high blood pressure!,Romek will tell him that too much salt gets high blood pressure,92
1,הלו ,Hello ,Hello,100
2,הלו ,Hello ,Hello,100
3,שלום תמי ,Hi Tammy ,Hello Tammy,74
4,את יכולה לרדת רגע למטה ,Could you come down for a second ,You can go down for a moment,63
5,בשביל מה ,- What for ,for what,100
6,אני רוצה לדבר איתך ,I want to talk to you ,I want to talk to you,100
7,מה רצית להגיד לי יהודל'ה ,What did you want to tell me Yehuda'le ,"What did you want to tell me, Yehudah?",95
8,רציתי להגיד לך שיש פה מישהו שנורא רוצה לראות אותך מי ,I wanted to say that someone here really wants to see you ,I wanted to tell you that there is someone here who really wants to see you who,78
9,שלום תמי ,Hello Tammy - Hello ,Hello Tammy,79
10,מה שלומך ,How are you ,How are you,100
11,אתם רוצים לעלות אליי הביתה ההורים שלי לא בבית ,My parents aren't at home I'm sorry ,"You want to come to my house, my parents are not at home",64
12,אני נורא מצטער אני לא יכול ,My parents aren't at home I'm sorry ,I'm so sorry I can not,60
13,אני צריך ללכת עם ההורים שלי לפגוש את דודה שלי ,I'm going with my parents to visit my aunt She's sick ,I need to go with my parents to meet my aunt,72
14,אתה רוצה לעלות בסדר ,Would you like to come up ,You want to get up fine,62
15,טוב ,How are you ,are good,63
16,להתראות יהודל'ה ,Bye Yehuda'le ,Goodbye Yehudah,71
17,אתה רעב ,Are you hungry ,you are hungry,100
18,לא ,- No ,No,100
19,רוצה לשתות משהו ,Would you like something to drink -Yes ,Want to drink something,67
20,כן קפה או תה ,Coffee or tea ,Yes coffee or tea,87
21,קפה ,- Coffee ,coffee,100
22,מה את מחייכת ,Why are you smiling ,What are you smiling at?,86
23,מה אתה מחייך ,Why are you smiling ,What are you smiling at?,86
24,שמח להיות איתך ,- I'm happy to be with you ,Glad to be with you,74
25,התגעגעת אליי ,Did you miss me Did you miss me ,did you miss me,65
26,התגעגעת אליי ,Did you miss me Did you miss me ,did you miss me,65
27,כן ,Yes ,Yes,100
28,תמי ,Tammy ,Tammy,100
29,אני במטבח ,- I'm in the kitchen ,I'm in the kitchen,100
30,לא ,- No ,No,100
31,אני מצטערת שאמא שלי באה ,I'm sorry my mom came home ,I'm sorry my mom came,89
32,אני באמת מצטערת ,I'm really sorry ,I'm really sorry,100
33,לילה טוב ,- Good night ,Good night,100
34,אהלן ,Hello ,Hello,100
35,אהלן יהודל'ה תבוא רגע ,- Yehuda'le come here a second ,"Hi Yehuda, come a moment",71
36,מה העניינים בנצי ,What's up Bentzi ,What matters to Benzi,70
37,לך הביתה תשים בלוק קרח בתוך האמבטיה שב בפנים איזה חצי שעה וצ'יק צ'ק זה יעבור לך אתה בטוח ,Go home put an ice block in the bathtub sit there for a half an hour and it will go away ,"Go home, put an ice block in the bath, sit inside for about half an hour and it's going to be a check.",77
38,בנצי וזהר שהתחת שלך לא יצטנן,Bentzi make sure your ass doesn't catch cold!,Benzi and Zohar that your ass will not catch a cold,63
39,בנציל'ה זה אתה ,Bentzi dear  is that you ,Benzilla is you,68
40,את רוצה שאני אבוא להגיד שלום לאורחים ,Want me to come say hello to the guests ,You want me to come say hello to the guests,95
41,לא לא לא ,-No no!,no no no,77
42,לך לישון ,Go to sleep Ok good night ,Go to sleep,61
43,טוב לילה טוב ,- Good night ,Good good night,80
44,לילה טוב ,- Good night ,Good night,100
45,כמה פעמים אני אמרתי לך לא לשתות לי את כל המיץ מהקומפוט ,How many times have I told you not to drink all the compote juice ,How many times have I told you not to drink all the juice from my compote?,94
46,מה כבר סיפרת להם ,What have you told them ,What have you already told them?,85
47,אבא שלה עושה ביד ,What's her father's job - Hand jobs ,Her father makes by hand,60
48,נו טוב ,Hello ,Oh well,67
49,רומק לך תראה מה עם הילד ,Romek go see what the boy is doing ,Romek you will see what about the child,63
50,מה אתה מסתכל תשחק תשחק בנצי ,- What are you talking about ,What are you looking at?,78
51,מה ,- What ,what,100
52,מה קורה שם שום דבר ,What's going on in there ,What's going on there is nothing,86
53,אתה לא מתבייש לצעוק ככה כשיש לי אורחים מה את רוצה ממני ,Aren't you ashamed to yell like that in front of the guests ,You are not ashamed to shout like that when I have guests what do you want from me,68
54,בנצי מה עם הקרפיונים שלי ,What's up Bentzi ,"Benzi, what about my carp?",60
55,הם נשכו אותי ,- They bit me Where ,They bit me,79
56,איפה בביצים ,- They bit me Where ,Where in the eggs,65
57,בביצ ,- In the b  ,In the egg,78
58,אוי הילד הזה יעשה לי התקפת לב ,Oh this boy is going to give me a heart attack ,Oh this kid will do me a heart attack,72
59,סוניה ,Sonja!,Sonia,80
60,שלום בבקשה לשבת כן ,Hello - Yes please ,Hello please sit down yes,78
61,זאת אומרת אשתי ואני התחתנו לפני חודש ,We  My wife and I got married a month ago ,I mean my wife and I got married a month ago,88
62,ומה אתם מחפשים איזה דירה ,So what kind of an apartment are you looking for ,And what are you looking for in an apartment?,87
63,דירה ,-An apartment ,Apartment,86
64,ריהוט בלי ריהוט ,Furnished non furnished ,Furniture without furniture,60
65,יש לי כמה דירות ,I've got some apartments ,I have some apartments,78
66,מיד נעשה חוזה ואני אתן לכם פה מפתח ,We'll draw up a contract and I'll give you the key ,A contract will be made immediately and I will give you a key here,60
67,אחד בבן יהודה המספרים גם כן למעלה ויש לי אחד בצפון ,One is on Ben Yehuda street the apartment number is written here and there's one north from that one ,One in Ben Yehuda the numbers are also up and I have one in the north,65
68,אוקיי תודה רבה ,Thank you very much ,OK thank you,65
69,מה נמאס עלייך ,What are you waiting for ,What are you tired of,76
70,אל תעשה את עצמך ראיתי אותך עם הפרה הזאת ,Stop pretending I saw you with this cow ,Do not do yourself I saw you with this cow,64
71,או שלי מה את עושה מזה עניין ,What have you told them ,Or mine what you make of it matter,60
72,מומו אני הולכת ,- Momo I'm leaving ,Momo I'm going,67
73,כשתגמור עם המטומטמת הזאת אתה יודע איפה למצוא אותי ,When your done with this moron you know where to find me ,When you end up with this idiot you know where to find me,81
74,למה אתה עומד ,- What are you talking about ,Why are you standing,70
75,את לא תגידי לי עם מי ללכת ועם מי לא ללכת כן ,Don't you tell me with whom I can or can't go!,You will not tell me who to go with and who not to go with,64
76,אתה תסתום ת'פה יהודל'ה ,- Shut up Yehuda'le ,"You'll shut up, Yehudah",82
77,אני אגמור ת'עסק הזה פעם אחת ולתמיד ,I'll put an end to this once and for all ,I'll finish this business once and for all,71
78,מה אתה חושב שאתה מפחיד אותי ,- What are you talking about ,What do you think scares me?,68
79,את רוצה לדעת מה אני חושב ,- Want to know what I think ,You want to know what I think,93
80,אתה בן-זונה ,You son of a bitch!,You're a son of a bitch,88
81,מה אתה רוצה מהחיים שלה ,What do you want from her ,What do you want from her life,91
82,אתה עוד מעיז לדבר ,- I don't want to talk to you ,You still dare to talk,61
83,זה לא מגיע לה ,She doesn't deserve that ,She does not deserve it,72
84,צדיק גדול ,Who are you to talk great righteous one ,A great righteous man,63
85,למה אתה לא מספר ליהודל'ה שזיינת את החברה שלו ,Why don't you tell Yehuda'le how you fucked his girlfriend ,Why don't you tell Jodhaleh that you fucked his girlfriend,83
86,תמי ,Tammy!,Tammy,100
87,תמי ,Tammy!,Tammy,100
88,אפשר לדבר איתך ,- I don't want to talk to you ,I can talk to you,68
89,מה אתה מצטער ,- What are you talking about ,What are you sorry about?,76
90,אתה לא מבין ,You don't understand ,You do not understand,93
91,שיהיה לך לבריאות ,You have the nerve to speak ,May you have health,61
92,אתה לא מבין יהודל'ה ,You don't understand ,You do not understand Judah,81
93,ועוד איך אני מבין ,You don't understand ,And more how I understand,62
94,אני הייתי עושה לך בדיוק אותו דבר אם הייתה לי הזדמנות ,I would do the same to you if I had the chance ,I would do the exact same thing to you if I had the opportunity,72
95,תפסיק לדבר שטויות אתה בחיים לא היית עושה לי כזה דבר ,Stop talking nonsense You'd never do this to me ,Stop talking nonsense you in life would not do such a thing to me,71
96,תשמע יהודל'ה לא לא קרה ביני לבין ברכה שום דבר ,Yehuda'le nothing happened between Bracha and me I swear ,"Listen, Yehudah, nothing happened between me and Bracha",88
97,אתה חושב שלא ידעתי כל הזמן שברכה מתה עלייך ,You don't think I knew she had a crush on you ,You think I did not know all along that a blessing died on you,62
98,אבל זה בסדר ,But it's ok ,but it's OK,100
99,אני כבר רגיל לזה ,I'm used to that ,I'm used to it,73
100,תראה אני חבר שלך יהודל'ה ,Look I  I'm your friend Yehuda'le ,"Look, I'm your friend, Judah",72
101,בואנ'ה כך סיגריה ,Here have a cigarette ,Buena so cigarette,62
102,אפשר להגיד לך מילה ,Would you like to dance ,I can tell you a word,64
103,אין לי על מה לדבר איתך ,- I don't want to talk to you ,I have nothing to talk to you about,65
104,תראי זה ממש לא מה שאת חושבת ,It's not what you think ,Look this is not really what you think,69
105,לא קורה ביני ולבין ברכה שום דבר ,Nothing happened between Bracha and me ,Nothing happens between me and Bracha,96
106,זה לא מעניין אותי ,She doesn't deserve that ,that does not interest me,65
107,את לא צריכה להאמין לכל מילה שמישהו מוציא מהפה ,You don't have to believe everything people say ,You do not have to believe every word that someone utters,69
108,שאני אבוא לקחת אותך מחר למסיבה ,Should I pick you up to go to the party tomorrow ,That I'll come pick you up for a party tomorrow,72
109,תשכח מזה ,-Forget it ,Forget it,100
110,מה יש את לא רוצה ללכת ,What do you want from her ,What's there you do not want to go,75
111,היי ,Why ,Hey,67
112,אני מצטער על מה שקרה אתמול שטויות ,Yehuda'le I'm sorry - About what Screwing Bracha ,I'm sorry for what happened yesterday nonsense,61
113,איפה תמי ,- It's ok Where's Tammy ,Where's Tammy?,76
114,לא יודע ,- I don't know ,Do not know,78
