,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,זה היה נפתר מעצמו אם השריף היה עוזב את העיר כפי שהבטיח ,That would've solved itself too if the sheriff had left town like he promised to ,It would have resolved itself if the sheriff had left the city as promised,69
1,אמרתי קודם ואגיד זאת שוב ,I said it before and I'll say it again ,I said before and I will say it again,85
2,הגברים בעיר הזו אינם אלא חבורת כלבים שפלים ופחדנים ,The men in this town are nothing but a bunch of low-down cowardly curs ,The men in this town are nothing but a bunch of lowly and cowardly dogs,89
3,כאביך אני נאלץ אולי לסבול דיבורים כאלה ממך אך כראש העיר הזו לא ולא לעזאזל ,As your father I may have to take that talk from you but as the mayor of this town I sure as hell don't ,Like your father I may have had to put up with such talk from you but as mayor this is neither and damn it,69
4,תזרקו אותה החוצה בחורים ,Throw her out boys ,Throw it out guys,74
5,ואל תהיו עדינים מדי איתה ,And don't be too gentle with her ,And do not be too gentle with her,95
6,אל תניחו לה לכבול את עצמה לעמוד ,Don't let her tie herself to that post ,Do not let her shackle herself to stand,75
7,תכסיס קטן משלה לכבול את עצמה לדברים כשהיא ממאנת לעשות משהו ,It's a trick of hers tying herself to things when she doesn't want to do something ,Her little ploy to bind herself to things when she refuses to do anything,63
8,מוות לכל העריצים!,- Death to all tyrants - What did she say ,Death to all the tyrants!,75
9,היא תמיד מאחלת מוות למישהו שהיא כועסת אליו ,She's always saying death to somebody she's mad at ,She always wishes death to someone she was angry with,60
10,זה מכסה בערך את כולם נכון ,- That takes care of just about everybody ,It covers just about everyone right,62
11,הם מסוגלים לזרוק בחורה לא חמושה מאסיפה ציבורית אבל לא להגן אפילו על עירם מפני אוסף רוצחים כמו הדאנבים ,They can throw a girl out of a meeting but they can't defend their town against a bunch of cutthroats like the Danbys ,They are able to throw an unarmed girl from a public assembly but not even defend their city from a collection of murderers like the Danes,62
12,מה אנחנו עושים עכשיו ,What are we gonna do now ,What are we doing now,84
13,אנחנו ,- We ,we,100
14,איך ג'ו ,- How's Joe ,I'm Joe,62
15,הוא עשה רושם שהוא חש איזה צער לאור העובדה שאנו עלולים להיהרג ,Did he seem to feel any sorrow over the fact that we might all be killed ,He seemed to feel some sorrow in light of the fact that we might be killed,78
16,לא יותר כאילו הוא מתכנן לרקוד ולירוק על קברינו ,No it's more like he planned to dance and spit all over our graves ,No more like he's planning to dance and spit on our graves,85
17,נשמע כמו ג'ו ,- Sounds like Joe ,Sounds like Joe,100
18,אינך חייב להישאר ,- You don't have to stay ,You do not have to stay,84
19,כי אני לקחתי את המשרה ,- I took the job ,Because I took the job,78
20,-כך גם אני ,- So did I ,-So I,67
21,אני אפילו אסע לאוסטרליה איתך אם עוזבים מיד ,I'll even go to Australia with you if we leave right now ,I will even travel to Australia with you if leaving immediately,69
22,ניסע לאוסטרליה אבל קודם יש לנו כמה דברים לעשות ,We'll go to Australia but first we got a few things to do ,We'll be going to Australia but first we have a few things to do,89
23,הגיע הזמן לפעול ,It's time we got started ,It's time to act,60
24,פרודי את באמת רוצה לעזור ,- Prudy do you really wanna help ,Prody you really want to help,81
25,קודם יש להוציא את ג'ו מפה ,First get Joe outta here ,Joe must first be taken out of here,68
26,-ואז מה ,- Then what ,-then what,100
27,-יש לי כמה רעיונות ,- I got a couple of ideas ,- I have some ideas,60
28,ממש אהבתי את הרעיון שלו לעזוב ,I sure liked his idea about leaving ,I really liked his idea of ​​leaving,78
29,פרודי לכי לבניין בית המשפט ,Prudy you go in the courthouse ,Prodi go to the courthouse,82
30,את יודעת איך להשתמש בזה ,Do you know how to use this ,You know how to use it,78
31,הנה תזדקקי לזה ,Here you'll need these ,Here you will need it,70
32,ג'ייק אתה שם ,- Jake are you there ,Jake you're there,80
33,אתה יודע מה אתה אמור לעשות ,- You know what to do ,You know what you're supposed to do,70
34,-הו כן ,- Oh yeah ,-Oh yes,77
35,ראש העיר ,- Mayor ,Mayor,100
36,יש לנו ישיבת חירום במועצה ,Emergency council meeting ,We have an emergency meeting of the council,74
37,-נראה לך שאני הולכת לירות מבעד החלון ,- I'm not gonna shoot through the window ,- Looks like I'm going to shoot through the window,77
38,הנה ,Here ,here,100
39,תשגיח על זה ,Take care of these ,Take care of it,73
40,הביאו את ג'ו ,Get Joe ,Bring Joe,62
41,אתם עצורים ,You're under arrest ,You are under arrest,82
42,לתפוס מחסה!,Take cover!,take cover!,100
43,לא שמעת על רק לפצוע מישהו ,- Haven't you heard of just wounding ,You have not heard of just injuring someone,65
44,-אני מכיר רק דרך אחת לירות ,- I only know one way to shoot ,- I only know one way to shoot,100
45,וזה להרוג ,That's to kill ,And that's to kill,88
46,ג'ייק איפה שמת את ג'ו ,- Jake where'd you put Joe - Upstairs ,Jake where you put Joe,80
47,לך תביא אותו ,Go get him ,Go get it,84
48,השיניים שלך ,Your teeth ,Your teeth,100
49,הן הצילו את חיי ,- They saved my life ,They saved my life,100
50,עם מה אני אמור ללעוס מעתה והלאה ,What am I supposed to jaw with from now on ,With what am I supposed to chew from now on,89
51,אני רוצה שכולכם תתירו את חגורות האקדחים ותשליכו את הרובים ,I want all you people to unstrap your gun belts and throw your rifles down ,I want you all to loosen your pistol belts and drop your guns,77
52,אתה לא חושב שתוכל לבלף אותי עם התותח הישן הזה ,You don't think you're gonna bluff me with that cannon ,You don 't think you can bluff me with this old cannon,79
53,זה אפילו לא טעון ,Why it ain't even loaded ,It's not even loaded,77
54,-תאמין לו אבא ,- Believe him Pa ,"- Believe him, Dad",76
55,אתה אל תתערב פחדן עלוב ,You stay outta this you miserable coward ,You do not interfere miserable coward,60
56,מה יהיה דאנבי ,What's it gonna be Danby ,What will be Danby,62
57,ג'ייק שחרר את ג'ו ,Jake let Joe loose ,Jake released Joe,74
58,זרוק את שאר החבורה לכלא ,- Throw the rest of that bunch in jail ,Throw the rest of the gang to jail,77
59,אני אהיה ממש אחריך ,I'll be right behind you ,I'll be right after you,81
60,זה לא טעון ,Why it ain't even loaded ,It's not loaded,62
61,אני סתם תקעתי פתיל מדומה לשם ,I just stuck that fake fuse in there ,I just stuck an imaginary thread in there,68
62,העסק שלי!,My business!,My own business!,85
63,-אני אגלה מי אחראי לשערוריה הזאת גם אם יהיה זה הדבר האחרון שאעשה מדאם אור ,I'll find out who's responsible for this outrage if it's the last thing I ever do ,- I'll find out who is responsible for this scandal even if it's the last thing I do Madame Orr,85
64,הפרעה לסדר זה מה שזה ,Disturbin' the peace that's what it is ,Disruption of order is what it is,60
65,זה היה דבר נורא לעולל לאותן נערות אומללות ,That was a terrible thing to do to them unfortunate girls ,It was a terrible thing to do to those miserable girls,68
66,בחיים לא עוללתי רע לנערה אומללה ,I never done anything to an unfortunate girl in my life ,I have never done any harm to a miserable girl in my life,66
67,כמה מהנערות האלה הן מידידותיי הקרובות ביותר ,Some of those girls are the closest friends I got ,Some of these girls are from my closest friends,83
68,-אנחנו יודעים מי זה ,- We know who it is ,- We know who it is,100
69,כל אחד באיזור יודע מיהו השריף שלנו בימים אלה ,Everybody knows who our sheriff is these days ,Everyone in the area knows who our sheriff is these days,83
70,אני משער שאתה האזרח הכי פופולרי ומכובד שיש לנו פה ,You're the most popular and respected citizen we've got here ,I guess you're the most popular and respected citizen we have here,87
71,נעים לשמוע ,That's nice to hear ,Nice to hear,77
72,-למעשה בדעתנו לשלוח משלחת לוושינגטון לדאוג להפיכת האיזור למדינה ,We're sendin' a delegation to Washington about turning this territory into a state ,-In fact we intend to send a delegation to Washington to take care of turning the area into a state,73
73,נהיה גאים אם תעמוד בראשה ,- We'd be proud if you'd head it ,We'll be proud of you if she heads it,78
74,לא לא ,- No no ,no no,100
75,אתם רוצים מישהו שיהיה פה ,You want somebody who will be here ,You want someone to be here,72
76,ג'ייסון אם אתה פגוע מאיתנו לגבי פרשת דאנבי  היינו מאחוריך כל הדרך ,Now Jason if you're upset with us about that Danby business  - We were behind you all the way ,Jason if you're offended by us about the Danby affair we've been behind you all the way,72
77,זה רק ש  מעולם לא הסתרתי את העובדה שאני בעצם בדרכי לאוסטרליה ,It's just that  I've never made any secret of the fact that I'm on my way to Australia ,It's just that I've never hidden the fact that I'm actually on my way to Australia,83
78,מה שמזכיר לי אצטרך שוב לחשוב על תזוזה באחד הימים  הואילו לסלוח לי רבותי ,Which reminds me I'm gonna have to think about getting started again Would you excuse me gentlemen A small crisis needs to be handled ,Which reminds me I'll have to think about moving again one day as forgive me gentlemen,60
79,קפצי מיס פרודי ,Jump Miss Prudy ,Miss Prodi jumps,84
80,קפצי!,Jump ,Jump!,100
