,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,הכל ,Everything ,Everything,100
1,לחלוטין הכל ,Absolutely everything ,Absolutely everything,100
2,טוב אין שום דבר דרמטי לספר ,Well there's nothing very dramatic to tell ,Well there is nothing dramatic to tell,88
3,טוב כשנשרתי מקיימברידג' ו  ליה-דה-פוטי ,Well since I've been down from Cambridge l-- Lya de Putti ,Good when I dropped out of Cambridge and Lia-de-Poti,60
4,אני מזעזעת אותך יקירי ,Do I shock you darling ,I'm shocking you darling,83
5,בכלל לא ,Not a bit ,Not at all,74
6,אני לא ,I don't ,I do not,80
7,מאז שאמא ניפטרה נהיינו קרובים יותר ,Since mother died we're even closer ,Since Mom passed away we have been closer,61
8,הוא שגריר אני מבין ,He's an ambassador I understand ,"He's an ambassador, I understand",100
9,מי סיפר לך ,Who told you that ,Who told you,83
10,פריץ וונדל ,Fritz Wendel ,Fritz Wendel,100
11,אה פריץ ,Oh Fritz ,Oh Fritz,100
12,הוא למעשה שגריר ,He's practically an ambassador ,He's actually an ambassador,63
13,איפה הוא עכשיו ,Where is he now ,where is he now,100
14,או מי יודע ,Oh who knows ,Or who knows,92
15,אז את לא רואה אותו הרבה ,Then you don't see much of him ,So you do not see him much,79
16,יקירי על מה את מדבר ,Darling what are you talking about ,"My dear, what are you talking about?",88
17,לריבירה לקפרי ,The Riviera Capri ,To Riviera to Capri,83
18,האם שכבת אי פעם עם ננסית ,Have you ever slept with a dwarf ,Have you ever slept with a dwarf,100
19,פעם אחת ללא המשכיות ביחסים ,Once but it wasn't a lasting relationship ,Once without continuity in a relationship,68
20,או אני יודעת שאני יכולה לשיר אבל מה שאני באמת רוצה זה להיות שחקנית ,Oh I know I can sing but what I really want to be is an actress ,Or I know I can sing but what I really want is to be an actress,98
21,ליה-דה-פוטי ,Lya de Putti ,Lia-de-Poti,78
22,אני חשבתי שהיא הפייבוריט שלך ,I thought you said she was your favorite ,I thought she was your favorite,87
23,היא עושה יותר מידי פרצופים ,She makes too many faces ,She makes too many faces,100
24,אתה רק חכה ,Just you wait ,You just wait,100
25,זה קרה בעבר ,It has happened before ,This has happened before,91
26,מה רק בשבוע שעבר איש שהוא חבר מאד טוב  UFA) של מנהל אולפן הקולנוע הגרמני) ביקש ממני להצטרף לשולחנו והוא ,What just last week a man who's a very good friend of the head of casting for UFA asked me to sit at his table and he's  ,What just last week a man who is a very good friend of UFA (of the director of the German film studio) asked me to join his table and he,80
27,בוא בוא ,Come on Come on ,come come,75
28,רוץ רוץ!,Run run!,Run Run!,100
29,לאן ,Where ,where,100
30,אתה יודע לפעמים אני באה לפה וסתם מחכה ,You know sometimes I come down here and just wait ,You know sometimes I come here and just wait,95
31,זאת אומרת במיוחד ,I mean just especially ,I mean especially,87
32,אתה צריך לנסות את זה פעם ,You should try it sometime ,You should try it once,71
33,כן ,Yes ,Yes,100
34,אתה ,Yes you ,are you,71
35,-לא ,-No ,-No,100
36,כן אתה ,Yes you ,Yes you,100
37,אני לא מסוגל ,No I don't ,I can not,74
38,אתה תרגיש מצויין אחר כך ,You'll feel terrific afterwards ,You will feel great afterwards,72
39,אתה יודע שאתה רוצה ,You know you want to ,You know you want to,100
40,לא אני לא ,No I don't ,No I do not,86
41,הנה באה אחת עכשיו ,Here comes one now ,Here comes one now,100
42,תעשה את זה ,No I don't ,do it,67
43,לא עדיין לא ,No not yet ,not yet,82
44,או קיי אתה מוכן ,Okay you ready ,Okay you're ready,90
45,עכשיו ,Now ,now,100
46,אני לא יכולה להבטיח לך שום דבר אבל אתה יכול לנסות ,I can't promise you anything but we can give it a try ,I can not guarantee you anything but you can try,73
47,יקירי אני רוצה שתפגוש את אדון לאודינג ,Darling I want you to meet Herr Ludwig ,"My dear, I want you to meet Mr. Lauding",75
48,הוא בדיוק חזר מהמבורג ,He's just back from Hamburg ,He had just returned from Hamburg,70
49,הוא גר בחדר ליד המטבח והוא מוציא לאור נפלא ,He lives in the room off the kitchen and he's a marvelous publisher ,He lives in a room next to the kitchen and he puts out a wonderful light,69
50,עכשיו תראה יש לו את הספר הזה והוא חייב להיות מתורגם ,Now look he's got this book and it's got to be translated ,Now look you have this book and it must be translated,76
51,איזה כותב מפורסם אתה  וזה 50 מרקים נכון ,And I told him what a famous writer you are and it's 50 marks Right ,What a famous writer you are and that's 50 soups right,74
52,זה יהיה לכבוד בשבילי לפגוש  בחור צעיר וכל כך מוכשר בכתיבה כמו שגברת בולז מספרת לי ,It will be an honor for me to associate with so talented a young man of letters as Miss Bowles tells me ,It will be an honor for me to meet a young guy who is as talented at writing as Mrs. Bulls tells me,77
53,הספר הזה אני מבטיח לך שהוא אמנותי ביותר ,This book I assure you is most artistic most artistic and color--,This book I assure you is extremely artistic,67
54,אני חושב אדון רוברטס שתמצא את הסגנון  נשארו מים חמים ,I think Herr Roberts you will find the style-- ls there any hot water left ,I think Mr. Roberts will find the style left in hot water,80
55,מים חמים ,-Hot water ,hot water,100
56,-כן קצת ,-Yes a little ,-Yes a little,100
57,אני חושב שתמצא את הסגנון ראוי להערצה  והנושא אני מרגיש אוניברסלי ,I think you will find the style admirable and the subject matter I feel is universal ,I think you will find the style admirable and the theme I feel is universal,89
58,סיגר ,-Cigar ,cigar,100
59,-לא תודה ,-No thank you ,-No thanks,76
60,"לא אתה חייב זה ""הוואנה"" משובח ",No you must lt's the finest Havana ,"No you owe it a fine ""Havana""",72
61,עשינו עסק ,It's a deal ,we made a deal,64
62,אדון לאודינג אני חושש שסאלי מעדיפה להגזים בכוחי ל  עשינו עסק ,Herr Ludwig I'm afraid that Sally's rather overestimated my powers of   lt's a deal ,Mr. Lauding I'm afraid Sally would rather exaggerate my power to do business,60
63,זהו זה ,That's it ,that's it,100
64,אתה יודע על מה הספרים האמנותיים והצבעוניים האלה ,Do you know what this artistic and colorful book's about No ,You know what these artistic and colorful books are about,86
65,זו פורנוגרפיה טהורה ,It's pure pornography ,This is pure pornography,89
66,אבל כמובן שזה זה יקירי ,But of course it is darling ,But of course that's it darling,83
67,כל הספרים של אדון לאודינג מלוכלכים ,All of Herr Ludwig's books are dirty books ,All of Mr. Lauding's books are dirty,78
68,איך זה נקרא ,What's this one called ,What's it called?,74
69,"""קליאו הגברת המצליפה"" ","""Cleo the Whip Lady ""","""Cleo the Whipping Lady""",90
70,שיקרת לגבי המים החמים ,You lied about the hot water ,You lied about the hot water,100
71,אני קופאת ,I'm freezing ,I'm freezing,100
72,אני קופאת למוות ,I'm freezing to death ,I'm freezing to death,100
73,חבק אותי ,Hug me ,hug me,100
74,אל תהיה כל כך מילולי ,Don't be so literal ,Do not be so literal,82
75,האין הגוף שלי מעורר בך תשוקה פראית ,Doesn't my body drive you wild with desire ,Is not my body arousing in you a wild desire,67
76,זה גוף נחמד מאוד ,It's a very nice body ,It's a very nice body,100
77,אתה באמת חושב כך יקירי ,Do you really think so darling ,You really think so darling,95
78,יש לו באמת סגנון מסויים נחמד ,It does have a certain kind of style ,He really has a certain nice style,66
79,זאת אומרת תראה זה מאוד שטוח כאן  אין הרבה ירכיים ו  כאן  זה קצת מוקדם בשביל דברים כאלה לא ,I mean look it's very flat here not much hips and here   lt's a little early in the day for this sort of thing isn't it ,I mean look it's very flat here there are not many hips and here it's a little early for things like that not,82
80,אולי אתה פשוט לא שוכב עם בחורות ,Maybe you just don't sleep with girls ,Maybe you just do not sleep with girls,91
81,אתה לא ,You don't ,You do not,84
