,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,לא אנחנו נבקר במסעדה יפנית קוראים לה קוב ,No we're going to visit a Japanese restaurant called the Kobe ,No we will visit a Japanese restaurant called Kobe,81
1,שתי ארוחות צהריים ביום ,Two lunches a day ,Two lunches a day,100
2,בעוד חודש המדריך יודפס  ואני יוכל להעביר את החברה לבן שלי  ,In one month the Guide will be out and I'll turn over the firm to my boy ,In a month the guide will be printed and I will be able to transfer the company to my son,68
3,אתה לא חושב שהוא מסוגל נכון ,You don't think my boy is capable is that it ,You do not think he is capable of right,72
4,אדוני לא אמרתי מילה ,Sir I haven't said a word ,Sir I did not say a word,65
5,הוא ילד מאוד מוכשר ,He's a very capable boy ,He is a very talented boy,62
6,גם אני ,Me too ,me too,100
7,ויקטור אני רוצה שתשתול נבטיי שעועית סויה ,Victor I want you to plant soy beans ,Victor I want you to plant soybean sprouts,77
8,שם שם ושם ,There there and there ,There and there,83
9,-שעועית סויה ,Soy beans ,-Soy beans,100
10,-שעועית סויה ,Soy beans ,-Soy beans,100
11,צהריים טובים אדוני ,Good afternoon sir ,Good afternoon sir,100
12,-רבותיי מה שלומכם ,Gentlemen how are you ,"Gentlemen, how are you?",100
13,-דובריל ,Dubreuil ,- Dobril,71
14,-כן אדוני ,Yes sir ,-Yes sir,100
15,-איך היתה הארוחה שלך במסעדת קולי דור ,- How was your meal at the Coquille d'Or ,-What was your meal at Coley Dor Restaurant,68
16,ארוחת צהריים מעולה שירות מעולה ,Excellent lunch very well served ,Excellent lunch and excellent service,61
17,טוב אדוני אולי הם הכירו אותי ,Too well sir maybe they recognised me ,Well sir maybe they knew me,69
18,"-אה טוב הכנת כבר את הדו""ח דוח ",Oh well have you made a report ,-Oh well you have already prepared the report report,67
19,-זה בדיוק כאן אדוני ,- It's right here sir ,"- It's right here, sir",100
20,-אולי כדאי לשלוח מישהו אחר ,Maybe we should send someone else ,-Maybe you should send someone else,93
21,-מרגריט ,Marguerite ,-Marguerite,100
22,-צהריים טובים אדוני ,- Good afternoon sir ,- Good afternoon sir,100
23,האם שיחת הטלפון שלי הגיע בזמן הנכון ,Did my telephone call come at the right time ,Did my phone call arrive at the right time,67
24,כיתבי בבקשה ,Please write ,Please write,100
25,מסעדת קוב היפאנית:,Japanese restaurant the Kobe:,Japanese Cob Restaurant:,75
26,לאחר מכן בדרך נס זה נופל לפנייך ,Then miraculously it drops down in front of you ,Then miraculously it falls before you,69
27,כן ,Yes ,Yes,100
28,הצלם מוכן ,The photographer's ready ,The photographer is ready,90
29,בסדר ,Ok ,OK,100
30,שלום רבותיי ,Hello gentlemen ,Hello gentlemen,100
31,-בסדר הכל מוכן ,Alright is everything ready ,"- All right, everything is ready",79
32,-כן אדון דושמין ,- Yes mister Duchemin ,"- Yes, Mr. Dushmin",79
33,קודם כל אני צריך קצת השראה: מוזיקה ,To begin with I need some inspiration: music ,First of all I need some inspiration: music,73
34,לא ,No ,No,100
35,אני אוהב את וגנר ,I love Wagner ,I love Wagner,100
36,אבל עבור הדברים הקטנים כמו לובסטר או עוף  אתה צריך משהו יותר  עדין רוחני מעודן ,But for the small things like chicken or lobster you need something more delicate spiritual subtle ,But for the little things like lobster or chicken you need something more subtle and refined,78
37,רולנד האם המדריך יהיה מוכן בהתאם ללוחות הזמנים ,Roland do we have the Guide ready by the date we announced ,Roland Will the guide be ready according to schedules,63
38,נותר לסווג עוד 100 מסעדות  אבל אם הפקחים שלנו ייתנו גז  נוכל לעמוד בלוח הזמנים שלנו ,There are still a 100 restaurants to classify but if our inspectors take big mouthfuls we'll be ready on schedule ,It remains to classify another 100 restaurants but if our inspectors give gas we can meet our schedule,69
39,"האם החליטו מה לגבי מסעדת ""וורסאי הקטנה"" האם אנו מסירים כוכב ",Have you decided about restaurant the Petit Versailles Do we remove a star ,"Have we decided what about the ""Little Versailles"" restaurant? Are we removing a star",82
40,קשה לומר ,It's hard to say ,Hard to say,81
41,אנחנו צריכים לחזור עוד פעם ,We have to go back another time ,We need to go back one more time,63
42,-התופר מחכה לך אדוני ,The tailor is waiting for you sir ,-The seamstress is waiting for you sir,80
43,-בסדר תודה ,- Alright thank you ,-Ok thank you,69
44,אם אתה רוצה קבלת פנים כמו של כלב באולם באולינג  לסכן את החיים שלך  כאשר אתה מקבל את החשבון  לך ישר למסעדת דליס דה לוסאן ,If you like being received like a dog in a bowling alley risking your life with every oyster you eat having a heart attack when you see the bill go straight to the Délices de l'Océan ,If you want a reception like that of a dog in a bowling alley risk your life when you get the bill you straight to the restaurant Delis de Lausanne,70
45,אם אתה מתעקש לזוז בצורה כזו  הכניסה שלך לאקדמיה  יכולה להיות הסוף של הקריירה שלי ,If you insist on moving around like that your entry into the Academy could be the end of my career ,If you insist on moving in this way your entry into academia could be the end of my career,85
46,-אני אפסיק לזוז ,I'll stop moving ,- I'll stop moving,100
47,-מר דושמין הסטודיו ,- Mister Duchemin the studio ,- Mr. Dushmin Studio,74
48,שלום כן לא  ,Hello yes no  ,Hello yes no,100
49,-רופא השיניים שלך ,Your dentist ,-Your dentist,100
50,-מה שלומך מר דושמין ,- How are you Mr Duchemin ,"- How are you, Mr. Dushmin?",93
51,אתה בטוח שקבענו להיום ,Are you sure the appointment was for today ,You're sure we've set for today,60
52,מר דושמין אתה לא הפציינט הכי קל שלי ,Mister Duchemin you're not my easiest patient ,"Mr. Dushmin, you're not my easiest patient",92
53,כן אבל אנחנו לא יכולים לקבוע למחר ,Yes but can't we make it tomorrow ,Yes but we can not determine tomorrow,83
54,כי אני מרגיש  מר דושמין תראה את כל הציוד הזה ,Because today I feel all  Mister Duchemin look at all that equipment ,Because I feel Mr. Dushmin will see all this equipment,72
55,הדברים האלה באמת נחוצים ,But is this stuff really necessary ,These things are really necessary,72
56,פתח את הפה מר דושמין ,Open your mouth Mr Duchemin ,Mr. Dushmin opened his mouth,74
57,הפה ,Your mouth ,the mouth,63
