,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,את אוהבת להיות כאן ,You like it around here ,You love being here,62
1,זה בסדר ,It's OK ,It's OK,100
2,משתעממת לפעמים ,Sometimes ,Bored sometimes,75
3,כן לפעמים ,Yeah sometimes ,Yes sometimes,89
4,לפעמים ,Sometimes ,sometimes,100
5,לפעמים מה ,Sometimes what ,Sometimes what,100
6,לפעמים משעמם או לפעמים יש מה לעשות ,Sometimes it's boring or sometimes there's something to do ,Sometimes boring or sometimes there is something to do,95
7,לפעמים משעמם ,Sometimes it's boring ,Sometimes boring,86
8,מה שמך ,- What's your name ,What is your name,85
9,-טרייסי ,- Tracy ,-Treaty,73
10,טרייסי אני ריי ,Tracy I'm Ray ,Tracy I'm Ray,100
11,אקח גי די בורגר וצי'פס ,I'll have a JD burger and some fries ,I'll take Guy the Burger and French fries,62
12,וקצת מלפפונים חמוצים ,And some extra pickles ,And some pickles,84
13,ובירה וקולה ,And a beer and a coke ,And beer and cola,79
14,-תודה ,- Thanks ,-Thanks,100
15,הי בחור משתמש בטלפון ,Hey fella you using the telephone ,Hi guy using the phone,65
16,שב תנוח ונביא לך קצת קפה ,Sit down and relax and we'll get you some coffee ,Sit down and get some coffee,74
17,דרליין קפה לג'ורג ,Darlene Coffee please for George ,Darlin Coffee to George,73
18,מה לגבי קינוח ,- How about dessert ,What about dessert,86
19,-רק קפה עבורי דרליין ,- Just a coffee for me Darlene ,-Only coffee for me Darlene,78
20,-לא איכפת לך נכון ריי ,- You don't mind do you Ray ,- You do not care right Ray,60
21,אינך יודע מה אתה עושה ,You don't know what you're doin' ,You do not know what you are doing,80
22,צ'ארלי!,Charlie!,Charlie!,100
23,כמעט התחלתי לחבב אותך צ'ארלי ,I'm almost starting to like you Charlie ,I almost started liking you Charlie,81
24,-תודה דרליין ,- Thanks Darlene ,- Thanks Darlene,100
25,אני רוצה את לולו ,I want Lulu ,I want Lulu,100
26,זה שמך השבוע ,Is that your name this week ,This is your name this week,93
27,לולו ,Lulu ,Lulu,100
28,כן ,Yes ,Yes,100
29,אתה יודע צ'ארלי היא לא תהיה ממש שמחה לנסוע בסטיישן ווגן במשך כל שארית חייה ,You know Charlie she's not gonna be too happy driving around in a station wagon the rest of her life ,You know Charlie she would not really be happy to ride a station wagon for the rest of her life,78
